,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
1833,ST LUKE'S WARREN HOSPITAL (310060),2015,Acute Care,Voluntary non-profit - Other,110.0,40.701628,-75.179608,NJ,10.0,1.0,9.0,9.0,5.5,6.725
1834,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY (310061),2015,Acute Care,Voluntary non-profit - Private,147.0,40.048632,-74.881982,NJ,6.0,5.0,6.0,6.0,5.5,5.675
1835,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV (310064),2015,Acute Care,Voluntary non-profit - Other,537.0,39.357791,-74.433942,NJ,8.0,8.0,2.0,2.0,8.0,5.9
1836,INSPIRA MEDICAL CENTER ELMER (310069),2015,Acute Care,Voluntary non-profit - Private,133.0,39.588142,-75.179457,NJ,6.0,1.0,4.0,4.0,3.5,3.675
1837,SAINT PETER'S UNIVERSITY HOSPITAL (310070),2015,Acute Care,Voluntary non-profit - Church,359.0,40.501846,-74.45913,NJ,9.0,8.0,9.0,9.0,8.5,8.675
1838,JERSEY SHORE UNIVERSITY MEDICAL CENTER (310073),2015,Acute Care,Voluntary non-profit - Private,577.0,,,NJ,5.0,8.0,4.0,4.0,6.5,5.625
1839,JERSEY CITY MEDICAL CENTER (310074),2015,Acute Care,Voluntary non-profit - Private,311.0,40.716666,-74.049952,NJ,2.0,7.0,2.0,2.0,4.5,3.625
1840,MONMOUTH MEDICAL CENTER (310075),2015,Acute Care,Voluntary non-profit - Private,329.0,40.295448,-73.983598,NJ,7.0,9.0,7.0,7.0,8.0,7.65
1841,SAINT BARNABAS MEDICAL CENTER (310076),2015,Acute Care,Voluntary non-profit - Other,571.0,40.764045,-74.302334,NJ,2.0,3.0,10.0,10.0,2.5,5.125
1842,INSPIRA MEDICAL CENTER WOODBURY (310081),2015,Acute Care,Voluntary non-profit - Private,256.0,39.843556,-75.149023,NJ,5.0,5.0,1.0,1.0,5.0,3.6
1843,EAST ORANGE GENERAL HOSPITAL (310083),2015,Acute Care,Voluntary non-profit - Private,196.0,40.753707,-74.213333,NJ,3.0,2.0,1.0,1.0,2.5,1.975
1844,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS (310084),2015,Acute Care,Voluntary non-profit - Private,237.0,40.074178,-74.21735,NJ,8.0,6.0,5.0,5.0,7.0,6.3
1845,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV (310086),2015,Acute Care,Voluntary non-profit - Private,520.0,39.828853,-75.008799,NJ,4.0,5.0,5.0,5.0,4.5,4.675
1846,MEMORIAL HOSPITAL OF SALEM COUNTY (310091),2015,Acute Care,Voluntary non-profit - Private,119.0,39.593404,-75.445855,NJ,9.0,10.0,3.0,3.0,9.5,7.225
1847,CAPITAL HEALTH SYSTEM-FULD CAMPUS (310092),2015,Acute Care,Voluntary non-profit - Private,185.0,40.235987,-74.752776,NJ,7.0,7.0,7.0,7.0,7.0,7.0
1848,"SAINT MICHAEL'S MEDICAL CENTER, INC (310096)",2015,Acute Care,Voluntary non-profit - Private,152.0,40.743034,-74.174503,NJ,7.0,9.0,3.0,3.0,8.0,6.25
1849,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY (310108),2015,Acute Care,Voluntary non-profit - Private,446.0,40.55787,-74.349499,NJ,6.0,8.0,10.0,10.0,7.0,8.05
1850,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON (310110),2015,Acute Care,Voluntary non-profit - Private,184.0,,,NJ,6.0,9.0,10.0,10.0,7.5,8.375
1851,CENTRASTATE MEDICAL CENTER (310111),2015,Acute Care,Voluntary non-profit - Private,259.0,40.23566,-74.312025,NJ,8.0,7.0,9.0,9.0,7.5,8.025
1852,BAYSHORE COMMUNITY HOSPITAL (310112),2015,Acute Care,Proprietary,161.0,40.404203,-74.193354,NJ,8.0,7.0,1.0,1.0,7.5,5.225
1853,SOUTHERN OCEAN MEDICAL CENTER (310113),2015,Acute Care,Voluntary non-profit - Private,156.0,39.721499,-74.287136,NJ,5.0,10.0,8.0,8.0,7.5,7.675
1854,HACKETTSTOWN REGIONAL MEDICAL CENTER (310115),2015,Acute Care,Voluntary non-profit - Church,83.0,40.861646,-74.81378,NJ,1.0,1.0,10.0,10.0,1.0,4.15
1855,MEADOWLANDS HOSPITAL MEDICAL CENTER (310118),2015,Acute Care,Proprietary,116.0,40.791805,-74.072099,NJ,4.0,10.0,8.0,8.0,7.0,7.35
1856,UNIVERSITY HOSPITAL (310119),2015,Acute Care,Government - State,372.0,40.74095,-74.19213,NJ,9.0,10.0,10.0,10.0,9.5,9.675
1857,UNM HOSPITAL (320001),2015,Acute Care,Voluntary non-profit - Other,557.0,35.087483,-106.618148,NM,6.0,7.0,8.0,8.0,6.5,7.025
1858,ST VINCENT HOSPITAL (320002),2015,Acute Care,Voluntary non-profit - Private,201.0,35.657789,-105.946946,NM,3.0,5.0,2.0,2.0,4.0,3.3
1859,ALTA VISTA REGIONAL HOSPITAL (320003),2015,Acute Care,Government - Hospital District or Authority,46.0,35.62215,-105.209851,NM,1.0,,4.0,4.0,1.0,2.05
1860,GERALD CHAMPION REGIONAL MEDICAL CENTER (320004),2015,Acute Care,Voluntary non-profit - Private,106.0,32.926862,-105.933917,NM,9.0,6.0,3.0,3.0,7.5,5.925
1861,SAN JUAN REGIONAL MEDICAL CENTER (320005),2015,Acute Care,Voluntary non-profit - Private,188.0,36.724323,-108.215501,NM,9.0,8.0,5.0,5.0,8.5,7.275
1862,EASTERN NEW MEXICO MEDICAL CENTER (320006),2015,Acute Care,Proprietary,162.0,33.4233,-104.527405,NM,7.0,10.0,5.0,5.0,8.5,7.275
1863,LOVELACE MEDICAL CENTER (320009),2015,Acute Care,Voluntary non-profit - Private,287.0,35.085622,-106.639765,NM,3.0,6.0,6.0,6.0,4.5,5.025
1864,PRESBYTERIAN ESPANOLA HOSPITAL (320011),2015,Acute Care,Voluntary non-profit - Private,60.0,35.997101,-106.086683,NM,1.0,1.0,4.0,4.0,1.0,2.05
1865,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (320013),2015,Acute Care,Voluntary non-profit - Private,38.0,,,NM,8.0,,10.0,10.0,8.0,8.7
1866,GILA REGIONAL MEDICAL CENTER (320016),2015,Acute Care,Government - Hospital District or Authority,58.0,32.795524,-108.260908,NM,10.0,,10.0,10.0,10.0,10.0
1867,LOVELACE WOMEN'S HOSPITAL (320017),2015,Acute Care,Government - State,164.0,35.131005,-106.591037,NM,3.0,3.0,3.0,3.0,3.0,3.0
1868,MEMORIAL MEDICAL CENTER INC (320018),2015,Acute Care,Proprietary,235.0,32.291993,-106.735018,NM,9.0,3.0,9.0,9.0,6.0,7.05
1869,PRESBYTERIAN HOSPITAL (320021),2015,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,9.0,6.0,8.0,8.0,7.5,7.675
1870,PLAINS REGIONAL MEDICAL CENTER (320022),2015,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,1.0,,6.0,6.0,1.0,2.75
1871,ARTESIA GENERAL HOSPITAL (320030),2015,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,,,8.0,8.0,,8.0
1872,LOS ALAMOS MEDICAL CENTER (320033),2015,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,,,9.0,9.0,,9.0
1873,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2015,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,6.0,,2.0,2.0,6.0,4.6
1874,SANTA FE PHS INDIAN HOSPITAL (320057),2015,Acute Care,Government - Federal,4.0,35.66695,-105.969665,NM,,,7.0,7.0,,7.0
1875,MESCALERO PHS INDIAN HOSPITAL (320058),2015,Acute Care,Government - Federal,8.0,,,NM,,,7.0,7.0,,7.0
1876,NORTHERN NAVAJO MEDICAL CENTER (320059),2015,Acute Care,Government - Federal,60.0,,,NM,,,8.0,8.0,,8.0
1877,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2015,Acute Care,Government - Federal,27.0,,,NM,,,6.0,6.0,,6.0
1878,GALLUP INDIAN MEDICAL CENTER (320061),2015,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,1.0,10.0,2.0,2.0,5.5,4.275
1879,CROWNPOINT HEALTHCARE FACILITY (320062),2015,Acute Care,Government - Federal,20.0,,,NM,,,7.0,7.0,,7.0
1880,CARLSBAD MEDICAL CENTER (320063),2015,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,1.0,1.0,2.0,2.0,1.0,1.35
1881,LEA REGIONAL MEDICAL CENTER (320065),2015,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,1.0,,2.0,2.0,1.0,1.35
1882,GUADALUPE COUNTY HOSPITAL (320067),2015,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,7.0,7.0,,7.0
1883,DHHS USPHS INDIAN HEALTH SERVICES (320070),2015,Acute Care,Government - Federal,6.0,,,NM,,,7.0,7.0,,7.0
1884,LOVELACE WESTSIDE HOSPITAL (320074),2015,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,4.0,,5.0,5.0,4.0,4.35
1885,ROOSEVELT GENERAL HOSPITAL (320084),2015,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,,,8.0,8.0,,8.0
1886,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2015,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,5.0,4.0,2.0,2.0,4.5,3.625
1887,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2015,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,,,3.0,3.0,,3.0
1888,UNM SANDOVAL REGIONAL MEDICAL CENTER (320089),2015,Acute Care,Voluntary non-profit - Private,66.0,35.307351,-106.677003,NM,1.0,,6.0,6.0,1.0,2.75
1889,ALBANY MEMORIAL HOSPITAL (330003),2015,Acute Care,Voluntary non-profit - Private,110.0,42.674685,-73.748861,NY,5.0,9.0,3.0,3.0,7.0,5.6
1890,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS (330004),2015,Acute Care,Voluntary non-profit - Private,146.0,41.92635,-73.995402,NY,2.0,1.0,2.0,2.0,1.5,1.675
1891,KALEIDA HEALTH (330005),2015,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,9.0,8.0,9.0,9.0,8.5,8.675
1892,ST JOSEPH'S MEDICAL CENTER (330006),2015,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,8.0,10.0,4.0,4.0,9.0,7.25
1893,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2015,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,,,8.0,8.0,,8.0
1894,BRONX-LEBANON HOSPITAL CENTER (330009),2015,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,5.0,6.0,7.0,7.0,5.5,6.025
1895,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC (330011)",2015,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,1.0,3.0,9.0,9.0,2.0,4.45
1896,ALBANY MEDICAL CENTER HOSPITAL (330013),2015,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,8.0,3.0,7.0,7.0,5.5,6.025
1897,JAMAICA HOSPITAL MEDICAL CENTER (330014),2015,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,10.0,10.0,3.0,3.0,10.0,7.55
1898,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2015,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,3.0,7.0,1.0,1.0,5.0,3.6
1899,VASSAR BROTHERS MEDICAL CENTER (330023),2015,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,4.0,6.0,3.0,3.0,5.0,4.3
1900,MOUNT SINAI HOSPITAL (330024),2015,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,2.0,6.0,8.0,8.0,4.0,5.4
1901,NASSAU UNIVERSITY MEDICAL CENTER (330027),2015,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,7.0,5.0,2.0,2.0,6.0,4.6
1902,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2015,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,3.0,6.0,9.0,9.0,4.5,6.075
1903,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2015,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,1.0,4.0,4.0,4.0,2.5,3.025
1904,"CHENANGO MEMORIAL HOSPITAL, INC (330033)",2015,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,5.0,,8.0,8.0,5.0,6.05
1905,SOUTHSIDE HOSPITAL (330043),2015,Acute Care,Voluntary non-profit - Private,294.0,40.724858,-73.240889,NY,10.0,6.0,8.0,8.0,8.0,8.0
1906,FAXTON-ST LUKE'S HEALTHCARE (330044),2015,Acute Care,Voluntary non-profit - Private,271.0,,,NY,7.0,9.0,8.0,8.0,8.0,8.0
1907,HUNTINGTON HOSPITAL (330045),2015,Acute Care,Voluntary non-profit - Private,287.0,40.879201,-73.417488,NY,9.0,7.0,2.0,2.0,8.0,5.9
1908,ST LUKE'S ROOSEVELT HOSPITAL (330046),2015,Acute Care,Voluntary non-profit - Private,814.0,40.770129,-73.987846,NY,8.0,6.0,10.0,10.0,7.0,8.05
1909,ST MARY'S HOSPITAL AT AMSTERDAM (330047),2015,Acute Care,Voluntary non-profit - Private,290.0,42.953648,-74.216041,NY,1.0,,1.0,1.0,1.0,1.0
1910,NORTHERN DUTCHESS HOSPITAL (330049),2015,Acute Care,Voluntary non-profit - Private,76.0,,,NY,5.0,,2.0,2.0,5.0,3.95
1911,MEDINA MEMORIAL HOSPITAL (330053),2015,Acute Care,Voluntary non-profit - Private,96.0,,,NY,6.0,,8.0,8.0,6.0,6.7
1912,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS (330055),2015,Acute Care,Voluntary non-profit - Private,484.0,,,NY,4.0,4.0,3.0,3.0,4.0,3.65
1913,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS (330056),2015,Acute Care,Voluntary non-profit - Private,292.0,40.689785,-73.9774,NY,8.0,9.0,9.0,9.0,8.5,8.675
1914,ST PETER'S HOSPITAL (330057),2015,Acute Care,Voluntary non-profit - Private,474.0,42.660176,-73.802382,NY,8.0,8.0,2.0,2.0,8.0,5.9
1915,GENEVA GENERAL HOSPITAL (330058),2015,Acute Care,Voluntary non-profit - Private,473.0,,,NY,5.0,1.0,8.0,8.0,3.0,4.75
1916,MONTEFIORE MEDICAL CENTER (330059),2015,Acute Care,Voluntary non-profit - Private,1501.0,40.879777,-73.879975,NY,9.0,4.0,10.0,10.0,6.5,7.725
1917,LAWRENCE HOSPITAL CENTER (330061),2015,Acute Care,Voluntary non-profit - Private,265.0,,,NY,9.0,7.0,3.0,3.0,8.0,6.25
1918,NIAGARA FALLS MEMORIAL MEDICAL CENTER (330065),2015,Acute Care,Voluntary non-profit - Other,134.0,43.093433,-79.050429,NY,4.0,8.0,1.0,1.0,6.0,4.25
1919,UNITED MEMORIAL MEDICAL CENTER (330073),2015,Acute Care,Voluntary non-profit - Private,131.0,43.003997,-78.177592,NY,3.0,1.0,4.0,4.0,2.0,2.7
1920,F F THOMPSON HOSPITAL (330074),2015,Acute Care,Voluntary non-profit - Private,277.0,42.875591,-77.288198,NY,9.0,1.0,6.0,6.0,5.0,5.35
1921,SISTERS OF CHARITY HOSPITAL (330078),2015,Acute Care,Voluntary non-profit - Private,462.0,42.92917,-78.849916,NY,5.0,8.0,1.0,1.0,6.5,4.575
1922,ADIRONDACK MEDICAL CENTER (330079),2015,Acute Care,Voluntary non-profit - Other,152.0,44.344548,-74.144597,NY,7.0,1.0,10.0,10.0,4.0,6.1
1923,LINCOLN MEDICAL & MENTAL HEALTH CENTER (330080),2015,Acute Care,Government - Local,344.0,40.817681,-73.924072,NY,4.0,9.0,1.0,1.0,6.5,4.575
1924,ALICE HYDE MEDICAL CENTER (330084),2015,Acute Care,Voluntary non-profit - Other,198.0,44.856658,-74.29193,NY,6.0,,8.0,8.0,6.0,6.7
1925,AURELIA OSBORN FOX MEMORIAL HOSPITAL (330085),2015,Acute Care,Voluntary non-profit - Other,198.0,,,NY,6.0,1.0,7.0,7.0,3.5,4.725
1926,MONTEFIORE MOUNT VERNON HOSPITAL (330086),2015,Acute Care,Voluntary non-profit - Private,94.0,40.912754,-73.840011,NY,1.0,9.0,10.0,10.0,5.0,6.75
1927,EASTERN LONG ISLAND HOSPITAL (330088),2015,Acute Care,Voluntary non-profit - Private,90.0,41.110951,-72.361459,NY,,,5.0,5.0,,5.0
1928,ARNOT OGDEN MEDICAL CENTER (330090),2015,Acute Care,Voluntary non-profit - Private,256.0,42.099256,-76.826668,NY,1.0,5.0,1.0,1.0,3.0,2.3
1929,COLUMBIA MEMORIAL HOSPITAL (330094),2015,Acute Care,Voluntary non-profit - Private,194.0,42.246254,-73.776128,NY,6.0,9.0,10.0,10.0,7.5,8.375
1930,JONES MEMORIAL HOSPITAL (330096),2015,Acute Care,Voluntary non-profit - Private,60.0,42.122878,-77.949784,NY,1.0,1.0,8.0,8.0,1.0,3.45
1931,NY EYE AND EAR INFIRMARY (330100),2015,Acute Care,Voluntary non-profit - Private,23.0,40.732559,-73.984816,NY,,,5.0,5.0,,5.0
1932,NEW YORK-PRESBYTERIAN HOSPITAL (330101),2015,Acute Care,Voluntary non-profit - Private,2546.0,40.76415,-73.954335,NY,9.0,7.0,5.0,5.0,8.0,6.95
1933,KENMORE MERCY HOSPITAL (330102),2015,Acute Care,Voluntary non-profit - Church,344.0,42.9779,-78.878678,NY,8.0,3.0,9.0,9.0,5.5,6.725
1934,OLEAN GENERAL HOSPITAL (330103),2015,Acute Care,Proprietary,260.0,42.089448,-78.426977,NY,4.0,4.0,5.0,5.0,4.0,4.35
1935,NYACK HOSPITAL (330104),2015,Acute Care,Voluntary non-profit - Other,249.0,41.095251,-73.925253,NY,5.0,10.0,2.0,2.0,7.5,5.575
1936,NORTH SHORE UNIVERSITY HOSPITAL (330106),2015,Acute Care,Voluntary non-profit - Private,984.0,40.779269,-73.703029,NY,9.0,6.0,10.0,10.0,7.5,8.375
1937,PECONIC BAY MEDICAL CENTER (330107),2015,Acute Care,Voluntary non-profit - Private,181.0,40.933577,-72.674317,NY,1.0,1.0,8.0,8.0,1.0,3.45
1938,"ST JOSEPH'S HOSPITAL, INC (330108)",2015,Acute Care,Voluntary non-profit - Private,193.0,,,NY,1.0,1.0,2.0,2.0,1.0,1.35
1939,BERTRAND CHAFFEE HOSPITAL (330111),2015,Acute Care,Voluntary non-profit - Private,103.0,42.508484,-78.659235,NY,,,6.0,6.0,,6.0
1940,ONEIDA HEALTHCARE CENTER (330115),2015,Acute Care,Voluntary non-profit - Other,261.0,43.078755,-75.654264,NY,1.0,,4.0,4.0,1.0,2.05
1941,LENOX HILL HOSPITAL (330119),2015,Acute Care,Voluntary non-profit - Private,457.0,40.773964,-73.960611,NY,10.0,7.0,10.0,10.0,8.5,9.025
1942,ROCHESTER GENERAL HOSPITAL (330125),2015,Acute Care,Voluntary non-profit - Private,517.0,43.192542,-77.584424,NY,4.0,2.0,9.0,9.0,3.0,5.1
1943,ORANGE REGIONAL MEDICAL CENTER (330126),2015,Acute Care,Voluntary non-profit - Private,382.0,41.439962,-74.369415,NY,9.0,3.0,3.0,3.0,6.0,4.95
1944,JACOBI MEDICAL CENTER (330127),2015,Acute Care,Government - Local,477.0,40.857455,-73.84721,NY,9.0,5.0,10.0,10.0,7.0,8.05
1945,ELMHURST HOSPITAL CENTER (330128),2015,Acute Care,Government - Local,528.0,40.74434,-73.88598,NY,8.0,9.0,3.0,3.0,8.5,6.575
1946,TLC HEALTH NETWORK (330132),2015,Acute Care,Voluntary non-profit - Private,178.0,,,NY,,,5.0,5.0,,5.0
1947,BON SECOURS COMMUNITY HOSPITAL (330135),2015,Acute Care,Voluntary non-profit - Church,181.0,41.367766,-74.682593,NY,1.0,1.0,1.0,1.0,1.0,1.0
1948,MARY IMOGENE BASSETT HOSPITAL (330136),2015,Acute Care,Voluntary non-profit - Private,180.0,,,NY,7.0,6.0,4.0,4.0,6.5,5.625
1949,ST JOSEPH'S HOSPITAL HEALTH CENTER (330140),2015,Acute Care,Voluntary non-profit - Private,437.0,43.055589,-76.149176,NY,5.0,4.0,6.0,6.0,4.5,5.025
1950,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER (330141),2015,Acute Care,Voluntary non-profit - Private,223.0,40.779337,-72.978147,NY,9.0,5.0,1.0,1.0,7.0,4.9
1951,"IRA DAVENPORT MEMORIAL HOSPITAL, INC (330144)",2015,Acute Care,Voluntary non-profit - Other,139.0,42.37297,-77.278553,NY,,,5.0,5.0,,5.0
1952,ST JAMES MERCY HOSPITAL (330151),2015,Acute Care,Voluntary non-profit - Church,115.0,42.314575,-77.660142,NY,,,9.0,9.0,,9.0
1953,ELLIS HOSPITAL (330153),2015,Acute Care,Proprietary,412.0,42.819818,-73.918883,NY,8.0,9.0,8.0,8.0,8.5,8.325
1954,SAMARITAN MEDICAL CENTER (330157),2015,Acute Care,Voluntary non-profit - Private,238.0,43.96489,-75.912761,NY,5.0,1.0,3.0,3.0,3.0,3.0
1955,GOOD SAMARITAN HOSPITAL OF SUFFERN (330158),2015,Acute Care,Voluntary non-profit - Church,301.0,41.112389,-74.136248,NY,3.0,8.0,7.0,7.0,5.5,6.025
1956,STATEN ISLAND UNIVERSITY HOSPITAL (330160),2015,Acute Care,Voluntary non-profit - Private,642.0,40.584082,-74.087013,NY,6.0,4.0,10.0,10.0,5.0,6.75
1957,NORTHERN WESTCHESTER HOSPITAL (330162),2015,Acute Care,Voluntary non-profit - Private,196.0,41.196692,-73.724449,NY,9.0,7.0,8.0,8.0,8.0,8.0
1958,EASTERN NIAGARA HOSPITAL (330163),2015,Acute Care,Voluntary non-profit - Private,132.0,43.17638,-78.671075,NY,10.0,1.0,1.0,1.0,5.5,3.925
1959,HIGHLAND HOSPITAL (330164),2015,Acute Care,Voluntary non-profit - Private,243.0,43.135955,-77.607556,NY,9.0,9.0,6.0,6.0,9.0,7.95
1960,"WESTFIELD MEMORIAL HOSPITAL, INC (330166)",2015,Acute Care,Voluntary non-profit - Private,5.0,42.327901,-79.569397,NY,,,7.0,7.0,,7.0
1961,WINTHROP-UNIVERSITY HOSPITAL (330167),2015,Acute Care,Voluntary non-profit - Private,510.0,40.741648,-73.643532,NY,6.0,3.0,7.0,7.0,4.5,5.375
1962,BETH ISRAEL MEDICAL CENTER (330169),2015,Acute Care,Voluntary non-profit - Private,759.0,40.732665,-73.9816,NY,4.0,6.0,6.0,6.0,5.0,5.35
1963,"CORTLAND REGIONAL MEDICAL CENTER, INC (330175)",2015,Acute Care,Voluntary non-profit - Private,195.0,42.608997,-76.186117,NY,1.0,6.0,9.0,9.0,3.5,5.425
1964,SAMARITAN HOSPITAL (330180),2015,Acute Care,Voluntary non-profit - Private,248.0,42.733395,-73.671434,NY,7.0,7.0,2.0,2.0,7.0,5.25
1965,GLEN COVE HOSPITAL (330181),2015,Acute Care,Voluntary non-profit - Private,152.0,,,NY,9.0,6.0,5.0,5.0,7.5,6.625
1966,"ST FRANCIS HOSPITAL, ROSLYN (330182)",2015,Acute Care,Voluntary non-profit - Church,359.0,40.804505,-73.672669,NY,8.0,4.0,4.0,4.0,6.0,5.3
1967,MONTEFIORE NEW ROCHELLE HOSPITAL (330184),2015,Acute Care,Voluntary non-profit - Private,320.0,40.912968,-73.786997,NY,10.0,4.0,6.0,6.0,7.0,6.65
1968,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON (330185),2015,Acute Care,Voluntary non-profit - Private,248.0,40.938249,-73.052951,NY,8.0,10.0,1.0,1.0,9.0,6.2
1969,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER (330188),2015,Acute Care,Voluntary non-profit - Church,157.0,43.154652,-79.030462,NY,8.0,1.0,9.0,9.0,4.5,6.075
1970,GLENS FALLS HOSPITAL (330191),2015,Acute Care,Voluntary non-profit - Private,392.0,43.308335,-73.644551,NY,9.0,7.0,2.0,2.0,8.0,5.9
1971,FLUSHING HOSPITAL MEDICAL CENTER (330193),2015,Acute Care,Voluntary non-profit - Private,288.0,40.755636,-73.815645,NY,10.0,8.0,2.0,2.0,9.0,6.55
1972,MAIMONIDES MEDICAL CENTER (330194),2015,Acute Care,Voluntary non-profit - Private,711.0,40.63908,-73.998668,NY,8.0,2.0,9.0,9.0,5.0,6.4
1973,LONG ISLAND JEWISH MEDICAL CENTER (330195),2015,Acute Care,Voluntary non-profit - Private,1233.0,,,NY,9.0,4.0,7.0,7.0,6.5,6.675
1974,CONEY ISLAND HOSPITAL (330196),2015,Acute Care,Government - Local,354.0,40.58494,-73.966285,NY,10.0,9.0,5.0,5.0,9.5,7.925
1975,CANTON-POTSDAM HOSPITAL (330197),2015,Acute Care,Voluntary non-profit - Private,94.0,44.676085,-74.981451,NY,9.0,,3.0,3.0,9.0,6.9
1976,SOUTH NASSAU COMMUNITIES HOSPITAL (330198),2015,Acute Care,Voluntary non-profit - Private,385.0,,,NY,5.0,4.0,3.0,3.0,4.5,3.975
1977,METROPOLITAN HOSPITAL CENTER (330199),2015,Acute Care,Government - Local,342.0,40.78472,-73.943636,NY,9.0,7.0,5.0,5.0,8.0,6.95
1978,KINGSBROOK JEWISH MEDICAL CENTER (330201),2015,Acute Care,Voluntary non-profit - Private,970.0,40.658929,-73.934072,NY,10.0,10.0,2.0,2.0,10.0,7.2
1979,KINGS COUNTY HOSPITAL CENTER (330202),2015,Acute Care,Government - Local,633.0,40.655773,-73.944039,NY,10.0,9.0,10.0,10.0,9.5,9.675
1980,CROUSE HOSPITAL (330203),2015,Acute Care,Voluntary non-profit - Private,498.0,43.041666,-76.137853,NY,10.0,8.0,9.0,9.0,9.0,9.0
1981,BELLEVUE HOSPITAL CENTER (330204),2015,Acute Care,Government - Local,904.0,40.740079,-73.97625,NY,5.0,7.0,7.0,7.0,6.0,6.35
1982,ST ANTHONY COMMUNITY HOSPITAL (330205),2015,Acute Care,Voluntary non-profit - Church,64.0,41.261094,-74.356945,NY,1.0,1.0,8.0,8.0,1.0,3.45
1983,ST JOHN'S RIVERSIDE HOSPITAL (330208),2015,Acute Care,Voluntary non-profit - Private,346.0,40.96784,-73.885107,NY,10.0,9.0,1.0,1.0,9.5,6.525
1984,CLAXTON-HEPBURN MEDICAL CENTER (330211),2015,Acute Care,Voluntary non-profit - Private,110.0,44.692091,-75.499934,NY,1.0,1.0,2.0,2.0,1.0,1.35
1985,NYU HOSPITALS CENTER (330214),2015,Acute Care,Voluntary non-profit - Private,1085.0,40.74226,-73.974661,NY,7.0,6.0,8.0,8.0,6.5,7.025
1986,"ROME MEMORIAL HOSPITAL, INC (330215)",2015,Acute Care,Voluntary non-profit - Private,176.0,43.228954,-75.444248,NY,8.0,6.0,6.0,6.0,7.0,6.65
1987,OSWEGO HOSPITAL (330218),2015,Acute Care,Voluntary non-profit - Private,164.0,43.454141,-76.516001,NY,2.0,1.0,2.0,2.0,1.5,1.675
1988,ERIE COUNTY MEDICAL CENTER (330219),2015,Acute Care,Voluntary non-profit - Private,931.0,42.927236,-78.829151,NY,5.0,8.0,2.0,2.0,6.5,4.925
