,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
2119,MERIT HEALTH RIVER OAKS (250138),2021,Acute Care,Proprietary,158.0,32.32614,-90.106447,MS,27.0,37.0,,,,,,,,,62.0,960.0,,,2.0,26366.0,,,,,127.0,201.0,9.0,22.0,75.0,16.0,,,62.0,37.0,63.0,19.0
2120,BAPTIST MEMORIAL HOSPITAL DESOTO (250141),2021,Acute Care,Voluntary non-profit - Private,336.0,34.968348,-89.995535,MS,71.0,406.0,85.0,41.0,94.0,31.0,,,75.0,36.0,84.0,2501.0,,,2.0,73438.0,,,,,181.0,191.0,0.0,38.0,95.0,315.0,91.0,74.0,81.0,409.0,95.0,265.0
2121,ALLIANCE HEALTH CENTER (250151),2021,Acute Care,Proprietary,195.0,32.409988,-88.678811,MS,,,,,,,,,,,70.0,160.0,,,,,,,,,,,,,,,,,,,,
2122,MISSISSIPPI METHODIST REHAB CTR (250152),2021,Acute Care,Voluntary non-profit - Private,184.0,32.32683,-90.17218,MS,,,,,,,,,,,100.0,16.0,,,,,,,,,,,,,,,,,,,,
2123,OCHSNER MEDICAL CENTER-HANCOCK (250162),2021,Acute Care,Government - Local,68.0,30.31304,-89.355657,MS,70.0,33.0,,,,,,,100.0,15.0,91.0,351.0,,,,,,,,,97.0,178.0,,,93.0,27.0,,,88.0,34.0,90.0,20.0
2124,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL (250167),2021,Acute Care,Voluntary non-profit - Private,51.0,34.922615,-89.794873,MS,44.0,48.0,,,,,,,67.0,24.0,95.0,618.0,,,,,,,,,190.0,206.0,0.0,17.0,85.0,27.0,,,69.0,48.0,75.0,24.0
2125,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA (250168),2021,Acute Care,Government - State,80.0,33.763307,-89.817532,MS,50.0,26.0,,,,,,,,,99.0,566.0,,,,,,,,,124.0,179.0,0.0,19.0,93.0,14.0,,,81.0,26.0,46.0,13.0
2126,81st Medical Group (Keesler AFB) (25039F),2021,Acute Care (DOD),Department of Defense,,,,,,,93.0,76.0,,,,,,,,,,,1.0,22872.0,,,,,153.0,227.0,0.0,14.0,,,,,,,,
2127,S E LACKEY MEMORIAL HOSPITAL (251300),2021,Critical Access,Voluntary non-profit - Private,94.0,32.365907,-89.470963,MS,,,,,,,,,,,,,,,2.0,7798.0,,,,,,,,,,,,,,,,
2128,TALLAHATCHIE GENERAL HOSPITAL-CAH (251304),2021,Critical Access,Government - Local,11.0,34.005079,-90.058165,MS,,,,,,,,,,,72.0,238.0,,,,,,,136.0,13.0,105.0,514.0,,,,,,,,,,
2129,LAWRENCE COUNTY HOSPITAL CAH (251305),2021,Critical Access,Government - Local,25.0,31.553419,-90.100262,MS,,,,,,,,,,,87.0,168.0,,,,,,,,,,,,,,,,,,,,
2130,PERRY COUNTY GENERAL HOSP (251306),2021,Critical Access,Proprietary,22.0,31.347031,-88.937392,MS,,,,,,,,,,,63.0,48.0,,,,,,,105.0,15.0,92.0,756.0,,,,,,,,,,
2131,PONTOTOC HEALTH SERVICE INC CAH (251308),2021,Critical Access,Voluntary non-profit - Private,25.0,34.242827,-88.9968,MS,,,,,,,,,,,92.0,215.0,,,,,,,,,101.0,204.0,,,,,,,,,,
2132,TYLER HOLMES MEMORIAL HOSPITAL CAH (251312),2021,Critical Access,Voluntary non-profit - Private,25.0,33.490652,-89.737748,MS,,,,,,,,,,,94.0,158.0,,,,,,,,,121.0,113.0,,,,,,,,,,
2133,BAPTIST MEDICAL CENTER-YAZOO (251313),2021,Critical Access,Voluntary non-profit - Private,27.0,32.85873,-90.403321,MS,,,,,,,,,,,,,,,3.0,11831.0,,,,,100.0,185.0,,,,,,,,,,
2134,BAPTIST MEDICAL CENTER-LEAKE (251315),2021,Critical Access,Voluntary non-profit - Private,43.0,32.738533,-89.51641,MS,,,,,,,,,,,,,,,1.0,9536.0,,,,,102.0,176.0,,,,,,,,,,
2135,H C WATKINS MEMORIAL HOSPITAL INC (251316),2021,Critical Access,Voluntary non-profit - Other,25.0,32.031259,-88.727955,MS,,,,,,,,,,,99.0,128.0,,,2.0,4655.0,,,,,87.0,192.0,,,,,,,,,,
2136,SIMPSON GENERAL HOSPITAL CAH (251317),2021,Critical Access,Voluntary non-profit - Private,35.0,31.968094,-89.886996,MS,,,,,,,,,,,,,,,1.0,3875.0,,,,,101.0,51.0,,,,,,,,,,
2137,NORTH SUNFLOWER MEDICAL CENTER CAH (251318),2021,Critical Access,Government - Local,70.0,33.734839,-90.546823,MS,,,,,,,,,,,81.0,653.0,,,,,,,,,,,,,,,,,,,,
2138,HOLMES COUNTY HOSPITAL AND CLINICS (251319),2021,Critical Access,Government - State,25.0,33.111077,-90.029741,MS,,,,,,,,,,,,,,,3.0,8285.0,,,,,123.0,162.0,,,,,,,,,,
2139,LAIRD HOSPITAL INC (251322),2021,Critical Access,Voluntary non-profit - Private,25.0,32.559207,-89.102561,MS,,,,,,,,,,,94.0,145.0,,,,,,,,,78.0,188.0,,,,,,,,,,
2140,SCOTT REGIONAL HOSPITAL CAH (251323),2021,Critical Access,Voluntary non-profit - Private,25.0,32.344625,-89.671295,MS,,,,,,,,,,,100.0,79.0,,,1.0,5195.0,,,,,98.0,80.0,,,,,,,,,,
2141,WALTHALL COUNTY GENERAL HOSPITAL CAH (251324),2021,Critical Access,Government - Local,25.0,31.119583,-90.155618,MS,,,,,,,,,,,55.0,92.0,,,,,,,,,,,,,,,,,,,,
2142,COVINGTON COUNTY HOSPITAL CAH (251325),2021,Critical Access,Government - Local,30.0,31.638236,-89.554424,MS,,,,,,,,,,,92.0,377.0,,,2.0,8662.0,,,,,84.0,100.0,,,,,,,,,,
2143,JEFFERSON DAVIS GENERAL HOSPITAL (251326),2021,Critical Access,Government - Local,89.0,31.593991,-89.872381,MS,,,,,,,,,,,61.0,114.0,,,,,,,,,,,,,,,,,,,,
2144,FRANKLIN COUNTY MEMORIAL HOSPITAL (251330),2021,Critical Access,Voluntary non-profit - Other,28.0,31.473248,-90.884924,MS,,,,,,,,,,,,,,,,,,,,,71.0,111.0,,,,,,,,,,
2145,"BAPTIST MEMORIAL HOSPITAL - CALHOUN, INC. (251331)",2021,Critical Access,Government - Local,56.0,33.869665,-89.317176,MS,,,,,,,,,,,,,,,1.0,5812.0,,,,,90.0,179.0,,,,,,,,,,
2146,CHOCTAW REGIONAL MEDICAL CENTER (251334),2021,Critical Access,Government - Local,52.0,33.318465,-89.182304,MS,,,,,,,,,,,87.0,290.0,,,,,,,,,,,,,,,,,,,,
2147,BAPTIST MEDICAL CENTER ATTALA (251336),2021,Critical Access,Voluntary non-profit - Other,25.0,33.065592,-89.596721,MS,,,96.0,54.0,,,,,,,,,,,,,,,,,82.0,175.0,,,,,,,,,,
2148,TIPPAH COUNTY HOSPITAL (251337),2021,Critical Access,Government - Local,69.0,34.739322,-88.949512,MS,,,,,,,,,,,54.0,260.0,,,1.0,5893.0,,,,,118.0,89.0,,,,,,,,,,
2149,MERCY HOSPITAL JOPLIN (260001),2021,Acute Care,Voluntary non-profit - Church,222.0,37.034697,-94.511799,MO,48.0,44.0,93.0,82.0,93.0,30.0,,,,,99.0,2250.0,,,2.0,41849.0,,,,,181.0,183.0,6.0,18.0,86.0,29.0,,,70.0,44.0,89.0,19.0
2150,SSM ST JOSEPH HEALTH CENTER (260005),2021,Acute Care,Voluntary non-profit - Private,394.0,38.780377,-90.484508,MO,57.0,42.0,100.0,26.0,,,,,,,88.0,1464.0,,,3.0,29702.0,,,696.0,21.0,183.0,167.0,0.0,11.0,84.0,31.0,,,81.0,42.0,89.0,27.0
2151,MOSAIC LIFE CARE AT ST JOSEPH (260006),2021,Acute Care,Voluntary non-profit - Private,352.0,39.770201,-94.770247,MO,37.0,60.0,98.0,100.0,100.0,44.0,,,75.0,16.0,98.0,4679.0,,,4.0,55135.0,,,,,204.0,172.0,0.0,13.0,58.0,45.0,,,82.0,60.0,88.0,32.0
2152,BOTHWELL REGIONAL HEALTH CENTER (260009),2021,Acute Care,Government - Local,127.0,38.699051,-93.222089,MO,38.0,118.0,83.0,47.0,,,,,77.0,13.0,97.0,2182.0,,,2.0,24779.0,,,,,168.0,204.0,3.0,29.0,69.0,71.0,,,67.0,118.0,87.0,63.0
2153,SSM HEALTH ST MARY'S HOSPITAL JEFFERSON CITY (260011),2021,Acute Care,Proprietary,167.0,38.560142,-92.220285,MO,51.0,43.0,97.0,70.0,,,,,,,94.0,1294.0,,,1.0,31639.0,,,222.0,13.0,172.0,184.0,14.0,14.0,74.0,31.0,,,77.0,43.0,91.0,23.0
2154,PHELPS COUNTY REGIONAL MEDICAL CENTER (260017),2021,Acute Care,Government - Local,242.0,37.951442,-91.784993,MO,58.0,74.0,94.0,72.0,92.0,13.0,,,83.0,12.0,73.0,1982.0,,,4.0,31100.0,,,248.0,18.0,186.0,161.0,0.0,15.0,84.0,55.0,75.0,12.0,77.0,74.0,95.0,39.0
2155,MERCY HOSPITAL ST LOUIS (260020),2021,Acute Care,Voluntary non-profit - Private,902.0,,,MO,49.0,47.0,99.0,108.0,100.0,63.0,,,,,94.0,8164.0,,,1.0,93177.0,,,266.0,11.0,187.0,183.0,4.0,47.0,83.0,29.0,,,68.0,47.0,81.0,16.0
2156,NORTHEAST REGIONAL MEDICAL CENTER (260022),2021,Acute Care,Proprietary,83.0,40.192523,-92.590849,MO,50.0,58.0,100.0,58.0,,,,,,,52.0,419.0,,,1.0,11800.0,,,186.0,19.0,152.0,179.0,8.0,24.0,81.0,36.0,,,67.0,58.0,88.0,26.0
2157,MERCY HOSPITAL JEFFERSON (260023),2021,Acute Care,Voluntary non-profit - Private,303.0,38.195962,-90.395423,MO,58.0,52.0,100.0,83.0,100.0,11.0,,,,,95.0,1829.0,,,1.0,37916.0,,,182.0,11.0,188.0,177.0,0.0,34.0,83.0,36.0,,,79.0,52.0,79.0,24.0
2158,TEXAS COUNTY MEMORIAL HOSPITAL (260024),2021,Acute Care,Voluntary non-profit - Other,47.0,37.315756,-91.959559,MO,,,,,,,,,,,98.0,409.0,,,,,,,,,130.0,137.0,0.0,25.0,,,,,,,,
2159,HANNIBAL REGIONAL HOSPITAL (260025),2021,Acute Care,Voluntary non-profit - Private,98.0,39.710595,-91.443967,MO,50.0,52.0,92.0,37.0,100.0,13.0,,,90.0,20.0,96.0,1690.0,,,0.0,20386.0,,,,,140.0,167.0,0.0,29.0,68.0,40.0,93.0,14.0,81.0,52.0,94.0,32.0
2160,RESEARCH MEDICAL CENTER (260027),2021,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,59.0,49.0,100.0,100.0,,,,,,,83.0,2960.0,,,0.0,71938.0,,,184.0,18.0,96.0,252.0,0.0,14.0,79.0,39.0,,,88.0,49.0,89.0,36.0
2161,General Leonard Wood ACH (FT Leonard Wood) (26002F),2021,Acute Care (DOD),Department of Defense,,,,,,,89.0,70.0,,,,,,,,,,,3.0,19430.0,,,,,152.0,221.0,,,,,,,,,,
2162,BARNES JEWISH HOSPITAL (260032),2021,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,27.0,249.0,92.0,213.0,99.0,76.0,,,,,98.0,13485.0,,,7.0,89658.0,,,296.0,23.0,296.0,172.0,0.0,23.0,57.0,126.0,84.0,19.0,60.0,249.0,78.0,104.0
2163,BATES COUNTY MEMORIAL HOSPITAL (260034),2021,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,43.0,14.0,100.0,20.0,,,,,,,84.0,337.0,,,0.0,7662.0,,,,,81.0,185.0,,,,,,,79.0,14.0,,
2164,COX MEDICAL CENTERS (260040),2021,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,11.0,56.0,100.0,204.0,99.0,88.0,,,,,95.0,10325.0,,,5.0,112545.0,,,204.0,16.0,183.0,187.0,2.0,61.0,77.0,13.0,,,36.0,56.0,53.0,15.0
2165,CAPITAL REGION MEDICAL CENTER (260047),2021,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,66.0,64.0,98.0,185.0,88.0,41.0,,,,,95.0,1453.0,,,1.0,34034.0,,,,,166.0,192.0,0.0,39.0,86.0,50.0,,,83.0,65.0,95.0,41.0
2166,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2021,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,61.0,38.0,,,,,,,,,95.0,4857.0,,,,,,,297.0,30.0,200.0,167.0,0.0,13.0,86.0,28.0,,,76.0,38.0,95.0,20.0
2167,SSM HEALTH ST. FRANCIS HOSPITAL- MARYVILLE (260050),2021,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,70.0,27.0,77.0,44.0,,,,,,,92.0,477.0,,,1.0,7504.0,,,,,145.0,175.0,0.0,14.0,100.0,19.0,,,81.0,27.0,81.0,16.0
2168,MERCY HOSPITAL WASHINGTON (260052),2021,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,58.0,43.0,100.0,84.0,100.0,24.0,,,,,97.0,1286.0,,,1.0,38911.0,,,,,141.0,175.0,0.0,39.0,87.0,31.0,,,79.0,43.0,86.0,22.0
2169,CAMERON REGIONAL MEDICAL CENTER (260057),2021,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,45.0,29.0,83.0,35.0,,,,,,,99.0,599.0,,,1.0,9376.0,,,101.0,11.0,106.0,250.0,,,67.0,21.0,,,90.0,29.0,78.0,23.0
2170,MERCY HOSPITAL LEBANON (260059),2021,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,50.0,28.0,100.0,84.0,,,,,,,100.0,648.0,,,2.0,27119.0,,,,,157.0,181.0,15.0,13.0,79.0,19.0,,,68.0,28.0,100.0,15.0
2171,NEVADA REGIONAL MEDICAL CENTER (260061),2021,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,71.0,17.0,,,,,,,,,94.0,559.0,,,,,,,,,92.0,191.0,0.0,13.0,100.0,12.0,,,71.0,17.0,100.0,11.0
2172,SAINT LUKES NORTH HOSPITAL (260062),2021,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,35.0,31.0,99.0,196.0,,,,,,,88.0,1134.0,,,0.0,37967.0,,,,,124.0,190.0,,,69.0,16.0,,,52.0,31.0,100.0,12.0
2173,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN (260064),2021,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,56.0,34.0,100.0,85.0,,,,,,,90.0,477.0,,,1.0,12233.0,,,330.0,13.0,120.0,167.0,,,90.0,21.0,,,68.0,34.0,82.0,11.0
2174,MERCY HOSPITAL SPRINGFIELD (260065),2021,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,55.0,56.0,98.0,108.0,100.0,40.0,,,,,99.0,6283.0,,,6.0,90081.0,,,500.0,20.0,258.0,174.0,0.0,24.0,91.0,34.0,,,66.0,56.0,88.0,25.0
2175,BOONE HOSPITAL CENTER (260068),2021,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,49.0,116.0,98.0,98.0,,,,,,,98.0,2913.0,,,3.0,28550.0,,,,,184.0,188.0,6.0,18.0,78.0,78.0,,,69.0,116.0,97.0,62.0
2176,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2021,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,,,,,,,,,,,85.0,253.0,,,4.0,7381.0,,,218.0,34.0,112.0,248.0,,,,,,,,,,
2177,MOBERLY REGIONAL MEDICAL CENTER (260074),2021,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,47.0,36.0,100.0,27.0,,,,,,,69.0,402.0,,,1.0,11310.0,,,,,120.0,188.0,,,91.0,22.0,,,72.0,36.0,80.0,20.0
2178,MERCY HOSPITAL SOUTH (260077),2021,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,51.0,57.0,100.0,84.0,92.0,12.0,,,,,90.0,4024.0,,,3.0,71989.0,,,171.0,17.0,220.0,179.0,0.0,12.0,84.0,37.0,,,68.0,57.0,93.0,30.0
2179,OZARKS HEALTHCARE (260078),2021,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,28.0,134.0,100.0,207.0,68.0,19.0,,,,,85.0,1377.0,,,2.0,28498.0,,,262.0,14.0,177.0,261.0,5.0,22.0,76.0,54.0,,,50.0,134.0,74.0,50.0
2180,SSM ST CLARE HEALTH CENTER (260081),2021,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,58.0,55.0,100.0,87.0,,,,,,,92.0,1419.0,,,4.0,17587.0,,,,,194.0,186.0,0.0,15.0,80.0,44.0,,,82.0,55.0,96.0,27.0
2181,ST JOSEPH MEDICAL CENTER (260085),2021,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,75.0,12.0,100.0,32.0,,,,,,,92.0,1376.0,,,0.0,21825.0,,,350.0,14.0,149.0,157.0,,,,,,,92.0,12.0,,
2182,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS (260091),2021,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,53.0,66.0,99.0,88.0,93.0,41.0,,,,,90.0,2466.0,,,4.0,52368.0,,,188.0,13.0,144.0,187.0,,,79.0,47.0,,,77.0,66.0,88.0,33.0
2183,COX MEDICAL CENTER BRANSON (260094),2021,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,24.0,37.0,98.0,153.0,,,,,93.0,15.0,95.0,1768.0,,,3.0,43425.0,,,149.0,13.0,148.0,188.0,,,71.0,14.0,,,57.0,37.0,42.0,12.0
2184,CENTERPOINT MEDICAL CENTER (260095),2021,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,49.0,78.0,97.0,68.0,88.0,25.0,,,,,84.0,2023.0,,,1.0,59891.0,,,464.0,24.0,140.0,218.0,12.0,16.0,70.0,56.0,,,77.0,78.0,90.0,41.0
2185,NORTH KANSAS CITY HOSPITAL (260096),2021,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,48.0,90.0,92.0,132.0,,,,,,,99.0,4520.0,,,2.0,73832.0,,,254.0,25.0,200.0,282.0,3.0,66.0,77.0,64.0,,,78.0,90.0,88.0,52.0
2186,WESTERN MISSOURI MEDICAL CENTER (260097),2021,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,78.0,40.0,74.0,197.0,,,,,92.0,12.0,,,,,,,,,170.0,12.0,116.0,201.0,0.0,16.0,94.0,34.0,92.0,12.0,88.0,40.0,97.0,30.0
2187,TRUMAN MEDICAL CENTER LAKEWOOD (260102),2021,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,64.0,22.0,,,,,,,,,96.0,1802.0,,,,,,,,,146.0,157.0,0.0,16.0,93.0,15.0,,,82.0,22.0,80.0,15.0
2188,SSM HEALTH DEPAUL HOSPITAL ST LOUIS (260104),2021,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,37.0,52.0,98.0,87.0,80.0,70.0,,,,,,,,,6.0,59208.0,,,428.0,23.0,221.0,167.0,15.0,20.0,85.0,26.0,,,56.0,52.0,88.0,24.0
2189,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL (260105),2021,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,52.0,42.0,93.0,85.0,92.0,25.0,,,,,92.0,2311.0,,,3.0,23474.0,,,400.0,20.0,334.0,172.0,,,75.0,32.0,,,79.0,42.0,96.0,24.0
2190,MISSOURI BAPTIST MEDICAL CENTER (260108),2021,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,46.0,87.0,100.0,274.0,95.0,20.0,,,,,97.0,4949.0,,,1.0,43614.0,,,,,228.0,193.0,3.0,39.0,72.0,60.0,,,71.0,87.0,95.0,40.0
2191,SOUTHEASTHEALTH (260110),2021,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,78.0,54.0,100.0,71.0,72.0,18.0,,,,,95.0,2853.0,,,1.0,31541.0,,,431.0,24.0,161.0,311.0,0.0,14.0,89.0,47.0,,,91.0,54.0,94.0,33.0
2192,MISSOURI DELTA MEDICAL CENTER (260113),2021,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,79.0,43.0,91.0,111.0,,,,,,,92.0,851.0,,,2.0,20788.0,39.0,12.0,293.0,11.0,133.0,197.0,0.0,23.0,94.0,36.0,,,91.0,43.0,91.0,32.0
2193,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2021,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,57.0,81.0,,,,,,,75.0,20.0,69.0,1349.0,,,1.0,41636.0,,,156.0,12.0,149.0,188.0,3.0,39.0,83.0,60.0,,,81.0,81.0,88.0,52.0
2194,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2021,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,48.0,166.0,95.0,105.0,31.0,59.0,,,85.0,13.0,95.0,4129.0,,,2.0,44916.0,,,379.0,11.0,283.0,165.0,0.0,23.0,76.0,110.0,96.0,23.0,72.0,166.0,85.0,68.0
2195,ST LUKES HOSPITAL OF KANSAS CITY (260138),2021,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,57.0,122.0,,,,,,,,,91.0,5487.0,,,,,,,208.0,12.0,186.0,223.0,0.0,22.0,81.0,89.0,87.0,15.0,75.0,122.0,95.0,61.0
2196,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2021,Acute Care,Government - State,529.0,,,MO,85.0,33.0,100.0,62.0,98.0,46.0,,,,,99.0,9207.0,,,1.0,83895.0,,,,,146.0,196.0,0.0,44.0,100.0,28.0,,,91.0,34.0,91.0,22.0
2197,FITZGIBBON HOSPITAL (260142),2021,Acute Care,Voluntary non-profit - Private,51.0,,,MO,66.0,56.0,94.0,100.0,,,,,,,89.0,539.0,,,1.0,12068.0,,,,,72.0,200.0,0.0,15.0,84.0,45.0,,,84.0,56.0,96.0,46.0
2198,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2021,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,82.0,11.0,,,,,,,,,96.0,276.0,,,4.0,13348.0,,,1040.0,13.0,151.0,156.0,,,,,,,,,,
2199,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2021,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,35.0,23.0,90.0,210.0,100.0,17.0,,,,,97.0,1872.0,,,1.0,12216.0,,,,,175.0,179.0,,,67.0,12.0,,,57.0,23.0,,
2200,PARKLAND HEALTH CENTER (260163),2021,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,44.0,45.0,98.0,135.0,,,,,94.0,16.0,93.0,1119.0,,,3.0,32887.0,,,335.0,15.0,207.0,169.0,,,79.0,28.0,,,64.0,45.0,94.0,16.0
2201,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2021,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,35.0,40.0,99.0,190.0,,,,,,,96.0,1178.0,,,1.0,15270.0,,,282.0,14.0,200.0,168.0,0.0,18.0,79.0,19.0,,,55.0,40.0,83.0,18.0
2202,ST LUKE'S DES PERES HOSPITAL (260176),2021,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,50.0,14.0,97.0,68.0,,,,,,,98.0,879.0,,,0.0,6288.0,,,,,154.0,194.0,,,,,,,71.0,14.0,,
2203,NEW LIBERTY HOSPITAL DISTRICT (260177),2021,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,85.0,54.0,100.0,50.0,,,,,,,98.0,2051.0,,,2.0,32024.0,,,316.0,20.0,151.0,170.0,0.0,18.0,96.0,48.0,100.0,17.0,96.0,54.0,90.0,42.0
2204,ST LUKES HOSPITAL (260179),2021,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,49.0,77.0,98.0,198.0,100.0,51.0,,,,,93.0,3653.0,,,1.0,31659.0,,,178.0,13.0,156.0,252.0,2.0,59.0,75.0,51.0,92.0,13.0,71.0,77.0,92.0,39.0
2205,CHRISTIAN HOSPITAL NORTHEAST (260180),2021,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,25.0,72.0,97.0,149.0,,,,,,,93.0,3074.0,,,3.0,105916.0,,,419.0,14.0,185.0,182.0,,,61.0,38.0,,,57.0,72.0,88.0,26.0
2206,SAINT FRANCIS MEDICAL CENTER (260183),2021,Acute Care,Voluntary non-profit - Church,290.0,,,MO,69.0,262.0,,,,,,,,,98.0,3314.0,,,,,,,,,167.0,204.0,0.0,12.0,84.0,218.0,83.0,18.0,86.0,262.0,95.0,153.0
