,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
1845,TUFTS MEDICAL CENTER (220116),2023,Acute Care,Voluntary non-profit - Private,388.0,42.349486,-71.063693,MA,,,,,83.0,30.0,81.0,101.0,17.0,71.0,97.0,116.0,93.0,118.0,94.0,93.0,,,,,99.0,8096.0,,,,,3.0,43631.0,,,311.0,37.0,200.0,356.0,100.0,6947.0,,,20.0,20.0,,,49.0,71.0,89.0,28.0,,
1846,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S (220119),2023,Acute Care,Voluntary non-profit - Private,158.0,42.300886,-71.127203,MA,,,,,,,,,64.0,87.0,97.0,33.0,100.0,30.0,95.0,93.0,,,,,98.0,1894.0,,,100.0,216.0,2.0,30453.0,,,262.0,22.0,265.0,317.0,99.9,2403.0,,,66.0,50.0,82.0,17.0,91.0,87.0,94.0,50.0,96.0,2784.0
1847,FALMOUTH HOSPITAL (220135),2023,Acute Care,Voluntary non-profit - Private,92.0,41.564962,-70.621126,MA,,,,,,,96.0,54.0,57.0,94.0,98.0,59.0,98.0,58.0,96.0,78.0,,,100.0,14.0,88.0,989.0,,,90.0,163.0,1.0,30134.0,58.0,17.0,420.0,28.0,172.0,368.0,94.7,963.0,,,48.0,23.0,,,77.0,94.0,98.0,53.0,,
1848,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS (220163),2023,Acute Care,Voluntary non-profit - Private,652.0,42.27851,-71.759079,MA,418.0,9170.0,610.0,363.0,,,,,52.0,134.0,100.0,232.0,96.0,227.0,82.0,107.0,,,,,90.0,13935.0,,,,,9.0,114630.0,,,743.0,31.0,292.0,368.0,99.8,11088.0,,,53.0,38.0,64.0,14.0,75.0,134.0,87.0,61.0,88.0,7500.0
1849,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON (220171)",2023,Acute Care,Voluntary non-profit - Private,344.0,42.486578,-71.20563,MA,,,,,,,,,60.0,98.0,100.0,234.0,97.0,227.0,95.0,115.0,,,,,99.0,7563.0,,,100.0,1339.0,3.0,64397.0,,,365.0,17.0,198.0,383.0,99.8,7483.0,,,93.0,29.0,100.0,19.0,69.0,98.0,88.0,57.0,99.0,6771.0
1850,METROWEST MEDICAL CENTER (220175),2023,Acute Care,Voluntary non-profit - Private,285.0,42.28427,-71.419754,MA,,,,,,,,,39.0,106.0,,,,,97.0,90.0,,,78.0,18.0,92.0,1242.0,,,,,6.0,40819.0,,,459.0,40.0,228.0,399.0,97.8,1263.0,,,21.0,28.0,,,69.0,106.0,86.0,56.0,,
1851,ST VINCENT HOSPITAL (220176),2023,Acute Care,Proprietary,274.0,42.265971,-71.79549,MA,,,,,,,,,49.0,192.0,,,,,93.0,103.0,,,,,57.0,2666.0,,,,,4.0,55858.0,,,434.0,50.0,252.0,368.0,91.4,2319.0,,,65.0,62.0,89.0,36.0,74.0,192.0,81.0,116.0,,
1852,NANTUCKET COTTAGE HOSPITAL (220177),2023,Acute Care,Voluntary non-profit - Private,17.0,41.275542,-70.100261,MA,,,,,,,,,89.0,18.0,,,,,99.0,120.0,,,,,92.0,424.0,,,,,2.0,10537.0,,,240.0,14.0,129.0,381.0,99.5,424.0,,,,,,,89.0,19.0,100.0,13.0,,
1853,MARTHA'S VINEYARD HOSPITAL INC (221300),2023,Critical Access,Voluntary non-profit - Private,24.0,,,MA,,,,,,,,,,,,,,,,,,,,,97.0,663.0,,,,,1.0,15659.0,,,366.0,17.0,146.0,376.0,,,,,,,,,,,,,,
1854,FAIRVIEW HOSPITAL (221302),2023,Critical Access,Voluntary non-profit - Private,24.0,42.191982,-73.372523,MA,89.0,242.0,,,,,,,,,,,,,,,,,,,99.0,520.0,,,,,1.0,24270.0,,,281.0,11.0,137.0,383.0,,,,,,,,,,,,,,
1855,ATHOL MEMORIAL HOSPITAL (221303),2023,Critical Access,Voluntary non-profit - Private,24.0,42.586273,-72.208748,MA,94.0,72.0,,,,,,,,,,,,,,,,,,,91.0,234.0,,,,,3.0,10613.0,,,486.0,26.0,152.0,226.0,96.2,249.0,,,,,,,,,,,87.0,147.0
1856,ST JOE MERCY HOSPITAL SYSTEM LIVONIA (230002),2023,Acute Care,Voluntary non-profit - Private,301.0,42.39657,-83.404577,MI,,,,,,,92.0,160.0,33.0,123.0,92.0,166.0,,,64.0,83.0,,,87.0,15.0,96.0,3321.0,,,92.0,319.0,7.0,49287.0,,,858.0,41.0,253.0,356.0,94.2,3340.0,,,30.0,20.0,,,61.0,123.0,70.0,57.0,76.0,5573.0
1857,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL (230003),2023,Acute Care,Voluntary non-profit - Private,57.0,42.819539,-85.988129,MI,58.0,550.0,,,,,,,65.0,110.0,,,,,94.0,125.0,,,95.0,22.0,92.0,629.0,,,96.0,112.0,1.0,25762.0,,,,,120.0,421.0,84.6,637.0,,,64.0,39.0,73.0,22.0,88.0,111.0,92.0,60.0,,
1858,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL (230005),2023,Acute Care,Voluntary non-profit - Private,80.0,41.912713,-84.049555,MI,,,,,,,,,52.0,88.0,100.0,31.0,100.0,31.0,97.0,108.0,,,96.0,26.0,94.0,1033.0,,,99.0,276.0,6.0,27753.0,83.0,15.0,474.0,20.0,190.0,370.0,75.6,682.0,,,52.0,23.0,,,72.0,88.0,95.0,42.0,94.0,815.0
1859,PONTIAC GENERAL HOSPITAL (230013),2023,Acute Care,Proprietary,89.0,42.635679,-83.309475,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,277.0,,,,,,,,,,,,
1860,THREE RIVERS HEALTH (230015),2023,Acute Care,Government - Hospital District or Authority,60.0,41.934946,-85.647048,MI,,,,,,,,,70.0,23.0,,,,,100.0,82.0,,,23.0,22.0,67.0,609.0,,,84.0,43.0,5.0,17057.0,103.0,23.0,146.0,25.0,140.0,700.0,83.4,585.0,,,,,,,78.0,23.0,93.0,14.0,,
1861,BRONSON METHODIST HOSPITAL (230017),2023,Acute Care,Voluntary non-profit - Private,407.0,42.286165,-85.581333,MI,83.0,4709.0,95.0,34.0,,,,,49.0,200.0,99.0,194.0,97.0,192.0,96.0,77.0,,,50.0,12.0,98.0,8225.0,,,,,10.0,85496.0,,,367.0,27.0,250.0,469.0,95.3,7805.0,18.0,3798.0,60.0,68.0,94.0,35.0,76.0,200.0,84.0,131.0,91.0,4994.0
1862,"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI (230019)",2023,Acute Care,Voluntary non-profit - Church,584.0,42.459196,-83.205163,MI,,,,,,,94.0,221.0,55.0,222.0,,,96.0,229.0,99.0,85.0,,,,,69.0,6108.0,,,100.0,1197.0,2.0,101191.0,,,302.0,42.0,210.0,762.0,87.1,5185.0,,,68.0,44.0,83.0,24.0,68.0,222.0,90.0,105.0,100.0,8559.0
1863,BEAUMONT HOSPITAL - DEARBORN (230020),2023,Acute Care,Voluntary non-profit - Private,595.0,42.291912,-83.211951,MI,,,,,,,,,57.0,104.0,97.0,177.0,96.0,173.0,97.0,64.0,,,,,97.0,5868.0,,,99.0,858.0,0.0,67857.0,,,984.0,30.0,203.0,340.0,100.0,3701.0,,,67.0,36.0,95.0,19.0,73.0,104.0,93.0,46.0,89.0,7485.0
1864,"LAKELAND HOSPITAL, ST JOSEPH (230021)",2023,Acute Care,Voluntary non-profit - Private,302.0,42.089742,-86.477194,MI,,,,,84.0,43.0,92.0,143.0,57.0,207.0,97.0,156.0,95.0,154.0,97.0,72.0,,,77.0,30.0,89.0,3880.0,,,,,3.0,69888.0,,,156.0,14.0,169.0,363.0,76.6,4098.0,,,59.0,82.0,67.0,33.0,86.0,207.0,91.0,119.0,,
1865,PROMEDICA COLDWATER REGIONAL HOSPITAL (230022),2023,Acute Care,Government - Local,87.0,41.938969,-84.990585,MI,,,,,,,,,58.0,71.0,58.0,43.0,,,100.0,67.0,,,85.0,13.0,96.0,783.0,,,75.0,180.0,3.0,19201.0,97.0,11.0,198.0,19.0,150.0,365.0,82.5,579.0,,,69.0,26.0,80.0,15.0,79.0,71.0,90.0,39.0,65.0,653.0
1866,SINAI-GRACE HOSPITAL (230024),2023,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,,,,,,,,,40.0,136.0,93.0,107.0,,,88.0,116.0,,,,,68.0,1911.0,,,99.0,1092.0,11.0,68942.0,,,495.0,32.0,206.0,374.0,91.1,1564.0,14.0,1783.0,60.0,20.0,,,56.0,136.0,76.0,46.0,84.0,3425.0
1867,TRINITY HEALTH OAKLAND HOSPITAL (230029),2023,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,,,,,,,96.0,186.0,42.0,170.0,,,97.0,223.0,92.0,66.0,,,,,94.0,3985.0,,,98.0,1233.0,1.0,67952.0,,,390.0,36.0,162.0,374.0,91.4,3533.0,,,56.0,52.0,75.0,24.0,71.0,170.0,83.0,90.0,96.0,4354.0
1868,MYMICHIGAN MEDICAL CENTER ALMA (230030),2023,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,105.0,707.0,,,,,,,52.0,114.0,,,,,96.0,129.0,,,58.0,12.0,60.0,1035.0,,,,,2.0,35110.0,,,381.0,27.0,191.0,388.0,81.4,982.0,,,68.0,40.0,64.0,22.0,74.0,116.0,94.0,52.0,,
1869,LAKE HURON MEDICAL CENTER (230031),2023,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,161.0,1261.0,,,,,,,64.0,28.0,,,,,88.0,89.0,,,,,72.0,673.0,,,,,2.0,15919.0,,,164.0,14.0,141.0,379.0,74.9,648.0,,,,,,,75.0,28.0,100.0,14.0,,
1870,SPECTRUM HEALTH UNITED HOSPITAL (230035),2023,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,84.0,752.0,,,,,,,64.0,104.0,,,,,97.0,119.0,,,79.0,14.0,95.0,599.0,,,,,5.0,26147.0,,,214.0,11.0,168.0,411.0,86.2,835.0,,,62.0,34.0,75.0,16.0,87.0,105.0,90.0,60.0,,
1871,MYMICHIGAN MEDICAL CENTER ALPENA (230036),2023,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,88.0,1214.0,,,,,100.0,31.0,59.0,155.0,100.0,50.0,94.0,47.0,99.0,132.0,63.0,19.0,80.0,15.0,69.0,1079.0,,,,,3.0,23206.0,,,267.0,15.0,218.0,406.0,86.4,1007.0,,,70.0,54.0,86.0,22.0,77.0,155.0,87.0,67.0,,
1872,HILLSDALE HOSPITAL (230037),2023,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,,,,,,,,,29.0,31.0,,,,,100.0,217.0,,,,,95.0,571.0,,,,,1.0,19085.0,,,252.0,32.0,197.0,1717.0,76.1,597.0,,,42.0,12.0,,,68.0,31.0,80.0,15.0,,
1873,SPECTRUM HEALTH (230038),2023,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,73.0,8265.0,69.0,96.0,,,89.0,323.0,66.0,121.0,,,96.0,407.0,99.0,141.0,,,59.0,17.0,85.0,11798.0,,,,,2.0,190936.0,,,333.0,23.0,161.0,419.0,81.8,29616.0,,,64.0,44.0,100.0,18.0,83.0,121.0,92.0,61.0,91.0,11251.0
1874,MCLAREN BAY REGION (230041),2023,Acute Care,Voluntary non-profit - Private,521.0,43.589392,-83.868089,MI,,,,,,,88.0,104.0,63.0,197.0,92.0,106.0,,,97.0,100.0,,,,,88.0,2757.0,,,,,2.0,42991.0,,,394.0,43.0,167.0,421.0,88.1,2130.0,22.0,1581.0,92.0,52.0,90.0,48.0,80.0,197.0,80.0,118.0,81.0,4110.0
1875,UNIVERSITY OF MICHIGAN HEALTH SYSTEM (230046),2023,Acute Care,Voluntary non-profit - Private,973.0,42.28534,-83.72904,MI,,,,,97.0,39.0,89.0,134.0,43.0,417.0,99.0,198.0,98.0,195.0,96.0,191.0,,,,,93.0,33151.0,,,,,5.0,105451.0,,,570.0,36.0,360.0,370.0,85.7,34888.0,,,49.0,158.0,94.0,53.0,71.0,417.0,83.0,174.0,,
1876,HENRY FORD MACOMB HOSPITAL (230047),2023,Acute Care,Proprietary,455.0,42.612671,-82.963405,MI,,,,,,,,,48.0,166.0,99.0,113.0,99.0,111.0,95.0,176.0,,,60.0,15.0,94.0,4363.0,,,100.0,1298.0,2.0,60375.0,,,471.0,21.0,305.0,355.0,94.6,4068.0,,,55.0,49.0,71.0,21.0,73.0,167.0,86.0,93.0,99.0,5372.0
1877,HENRY FORD HEALTH HOSPITAL (230053),2023,Acute Care,Voluntary non-profit - Private,698.0,42.366114,-83.084592,MI,,,,,,,,,48.0,190.0,100.0,292.0,99.0,288.0,95.0,180.0,,,,,96.0,20974.0,,,100.0,2844.0,6.0,177574.0,,,966.0,18.0,228.0,362.0,96.7,19174.0,,,67.0,63.0,87.0,38.0,73.0,190.0,81.0,98.0,100.0,7127.0
1878,UPHS MARQUETTE DLP HOSPITAL (230054),2023,Acute Care,Government - Local,268.0,46.543081,-87.411036,MI,,,,,,,,,59.0,51.0,100.0,70.0,97.0,67.0,98.0,103.0,,,,,80.0,2284.0,,,98.0,521.0,3.0,22794.0,,,268.0,42.0,159.0,481.0,84.2,1727.0,,,75.0,16.0,,,80.0,51.0,85.0,26.0,94.0,2196.0
1879,DICKINSON COUNTY MEMORIAL HOSPITAL (230055),2023,Acute Care,Government - Local,73.0,45.808572,-88.044268,MI,,,,,,,,,65.0,195.0,,,,,97.0,295.0,46.0,13.0,36.0,11.0,50.0,946.0,,,100.0,30.0,1.0,14975.0,,,270.0,17.0,127.0,400.0,78.3,772.0,,,70.0,66.0,91.0,34.0,85.0,196.0,88.0,117.0,81.0,472.0
1880,MUNSON HEALTHCARE GRAYLING HOSPITAL (230058),2023,Acute Care,Voluntary non-profit - Church,92.0,44.667251,-84.707939,MI,,,,,,,,,72.0,101.0,,,,,100.0,109.0,78.0,18.0,74.0,23.0,92.0,897.0,,,,,3.0,18351.0,,,392.0,650.0,208.0,12841.0,84.0,617.0,17.0,315.0,79.0,34.0,84.0,19.0,88.0,102.0,92.0,66.0,,
1881,MERCY HEALTH SAINT MARY'S (230059),2023,Acute Care,Voluntary non-profit - Church,334.0,42.958252,-85.664114,MI,119.0,3270.0,133.0,130.0,,,96.0,98.0,53.0,138.0,97.0,154.0,99.0,153.0,95.0,66.0,,,,,91.0,5492.0,,,,,4.0,76689.0,,,198.0,44.0,172.0,347.0,91.7,4871.0,,,66.0,41.0,76.0,17.0,70.0,138.0,88.0,42.0,,
1882,MERCY HEALTH MUSKEGON (230066),2023,Acute Care,Voluntary non-profit - Private,298.0,43.221939,-86.243075,MI,,,,,,,,,47.0,187.0,,,,,83.0,70.0,,,76.0,21.0,82.0,4719.0,,,95.0,1079.0,4.0,87680.0,,,276.0,29.0,191.0,355.0,88.8,4025.0,15.0,2516.0,56.0,59.0,75.0,24.0,78.0,187.0,76.0,113.0,88.0,4329.0
1883,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL (230069),2023,Acute Care,Voluntary non-profit - Other,52.0,42.615372,-83.939355,MI,210.0,1108.0,236.0,54.0,,,,,41.0,71.0,100.0,44.0,,,99.0,141.0,,,65.0,23.0,85.0,853.0,,,90.0,261.0,1.0,42433.0,,,262.0,14.0,159.0,371.0,95.1,2196.0,14.0,442.0,44.0,16.0,,,65.0,71.0,72.0,25.0,,
1884,COVENANT MEDICAL CENTER (230070),2023,Acute Care,Voluntary non-profit - Other,529.0,43.428097,-83.955548,MI,,,,,,,96.0,143.0,67.0,1104.0,99.0,178.0,99.0,177.0,100.0,96.0,,,86.0,14.0,66.0,6027.0,,,96.0,1172.0,5.0,81363.0,,,270.0,30.0,189.0,351.0,87.1,5866.0,,,71.0,382.0,88.0,235.0,84.0,1105.0,94.0,687.0,,
1885,STRAITH HOSPITAL FOR SPECIAL SURGERY (230071),2023,Acute Care,Voluntary non-profit - Private,34.0,42.464332,-83.260394,MI,,,,,,,,,,,,,,,,,,,,,69.0,167.0,,,,,,,,,,,,,91.8,204.0,,,,,,,,,,,,
1886,HOLLAND COMMUNITY HOSPITAL (230072),2023,Acute Care,Voluntary non-profit - Private,189.0,42.774581,-86.112772,MI,,,,,,,93.0,30.0,85.0,91.0,100.0,42.0,100.0,39.0,100.0,609.0,,,82.0,11.0,96.0,2887.0,,,,,3.0,35661.0,,,283.0,33.0,158.0,400.0,88.6,2604.0,10.0,2402.0,94.0,62.0,100.0,39.0,89.0,93.0,100.0,46.0,,
1887,BRONSON BATTLE CREEK HOSPITAL (230075),2023,Acute Care,Proprietary,204.0,42.330618,-85.180404,MI,105.0,2026.0,,,,,,,54.0,98.0,96.0,47.0,98.0,45.0,95.0,78.0,,,,,98.0,2415.0,,,,,3.0,43109.0,65.0,27.0,324.0,35.0,210.0,360.0,94.4,1906.0,18.0,1331.0,59.0,29.0,58.0,12.0,82.0,98.0,89.0,62.0,92.0,1845.0
1888,ASCENSION ST MARY'S HOSPITAL (230077),2023,Acute Care,Voluntary non-profit - Church,220.0,43.426012,-83.941936,MI,264.0,2216.0,,,78.0,55.0,96.0,126.0,54.0,46.0,96.0,169.0,,,88.0,16.0,,,,,68.0,2647.0,,,,,5.0,18666.0,,,,,180.0,390.0,84.7,2258.0,,,54.0,13.0,,,72.0,46.0,95.0,21.0,,
1889,LAKELAND HOSPITAL WATERVLIET (230078),2023,Acute Care,Voluntary non-profit - Private,46.0,42.184866,-86.25076,MI,,,,,,,,,,,,,,,,,,,,,89.0,227.0,,,,,0.0,11678.0,,,,,106.0,348.0,77.2,276.0,,,,,,,,,,,,
1890,MCLAREN CENTRAL MICHIGAN (230080),2023,Acute Care,Voluntary non-profit - Private,72.0,43.598528,-84.761389,MI,,,,,,,,,69.0,108.0,,,,,100.0,111.0,,,,,97.0,763.0,,,,,2.0,18983.0,,,245.0,19.0,156.0,415.0,84.2,834.0,17.0,251.0,89.0,47.0,93.0,30.0,78.0,108.0,96.0,56.0,84.0,486.0
1891,MUNSON HEALTHCARE CADILLAC HOSPITAL (230081),2023,Acute Care,Voluntary non-profit - Church,67.0,44.246148,-85.390456,MI,,,,,,,,,52.0,175.0,,,,,96.0,83.0,53.0,30.0,61.0,23.0,98.0,716.0,,,,,2.0,24375.0,,,467.0,18.0,173.0,348.0,82.9,768.0,18.0,386.0,62.0,73.0,66.0,29.0,82.0,175.0,83.0,84.0,,
1892,BRONSON SOUTH HAVEN HOSPITAL (230085),2023,Acute Care,Government - Hospital District or Authority,32.0,42.391252,-86.26413,MI,76.0,140.0,,,,,,,52.0,25.0,,,,,,,,,,,99.0,623.0,,,,,1.0,15920.0,,,,,124.0,376.0,92.9,463.0,18.0,61.0,,,,,84.0,25.0,89.0,19.0,97.0,172.0
1893,BEAUMONT HOSPITAL - GROSSE POINTE (230089),2023,Acute Care,Voluntary non-profit - Private,241.0,42.384197,-82.915386,MI,,,,,,,,,72.0,61.0,100.0,54.0,100.0,55.0,100.0,65.0,,,,,97.0,2613.0,,,99.0,385.0,7.0,44035.0,,,,,184.0,387.0,100.0,1957.0,,,88.0,16.0,100.0,12.0,79.0,61.0,92.0,26.0,93.0,3897.0
1894,HENRY FORD ALLEGIANCE HEALTH (230092),2023,Acute Care,Voluntary non-profit - Other,367.0,42.250356,-84.393603,MI,,,,,,,,,69.0,245.0,99.0,128.0,98.0,126.0,99.0,180.0,,,72.0,18.0,86.0,5305.0,,,99.0,696.0,1.0,69947.0,,,262.0,23.0,197.0,361.0,93.0,4146.0,,,73.0,78.0,84.0,50.0,85.0,245.0,93.0,153.0,100.0,4152.0
1895,SPECTRUM HEALTH BIG RAPIDS HOSPITAL (230093),2023,Acute Care,Government - Local,50.0,43.693126,-85.475763,MI,62.0,418.0,,,,,,,66.0,93.0,,,,,,,,,83.0,23.0,91.0,505.0,,,,,2.0,26240.0,,,228.0,19.0,144.0,397.0,84.4,622.0,,,70.0,40.0,62.0,21.0,91.0,93.0,93.0,59.0,,
1896,MYMICHIGAN MEDICAL CENTER WEST BRANCH (230095),2023,Acute Care,Government - Local,88.0,44.26283,-84.24623,MI,57.0,602.0,,,,,,,66.0,125.0,,,,,91.0,68.0,54.0,13.0,91.0,11.0,51.0,585.0,,,,,1.0,14513.0,,,311.0,13.0,187.0,393.0,80.4,521.0,,,82.0,44.0,83.0,24.0,82.0,125.0,90.0,68.0,,
1897,STURGIS HOSPITAL (230096),2023,Acute Care,Government - Local,49.0,41.794193,-85.407308,MI,,,,,,,,,,,,,,,100.0,63.0,,,,,68.0,268.0,,,,,1.0,6734.0,,,146.0,18.0,91.0,345.0,85.4,316.0,,,,,,,,,,,78.0,133.0
1898,MUNSON MEDICAL CENTER (230097),2023,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,,,,,,,90.0,177.0,55.0,492.0,94.0,211.0,96.0,207.0,88.0,17.0,,,52.0,21.0,91.0,6293.0,,,,,4.0,50764.0,,,311.0,21.0,269.0,413.0,87.7,6707.0,19.0,2817.0,66.0,190.0,84.0,87.0,76.0,494.0,91.0,244.0,,
1899,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2023,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,,,,,,,90.0,29.0,76.0,99.0,,,94.0,31.0,76.0,140.0,,,89.0,18.0,77.0,1675.0,,,98.0,563.0,3.0,34615.0,,,121.0,16.0,143.0,383.0,77.9,1173.0,,,84.0,31.0,89.0,18.0,86.0,99.0,95.0,59.0,,
1900,TAWAS ST JOSEPH HOSPITAL (230100),2023,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,47.0,399.0,,,,,,,59.0,34.0,,,,,64.0,78.0,47.0,15.0,92.0,24.0,86.0,373.0,,,,,1.0,16069.0,,,297.0,19.0,122.0,364.0,93.0,309.0,,,,,,,88.0,34.0,70.0,23.0,,
1901,HARPER UNIVERSITY HOSPITAL (230104),2023,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,,,,,,,,,55.0,42.0,92.0,40.0,,,80.0,101.0,,,,,81.0,3718.0,,,99.0,533.0,6.0,37003.0,,,,,200.0,390.0,94.8,3097.0,17.0,2238.0,,,,,67.0,42.0,94.0,18.0,93.0,3246.0
1902,MCLAREN NORTHERN MICHIGAN (230105),2023,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,,,,,,,56.0,59.0,68.0,40.0,76.0,85.0,33.0,85.0,94.0,53.0,,,40.0,40.0,82.0,1702.0,,,,,4.0,35937.0,,,510.0,17.0,185.0,385.0,88.8,1353.0,,,93.0,14.0,,,78.0,40.0,82.0,17.0,,
1903,UP HEALTH SYSTEM PORTAGE (230108),2023,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,,,,,,,,,71.0,79.0,,,,,100.0,101.0,,,,,94.0,481.0,,,100.0,77.0,2.0,10627.0,,,299.0,25.0,141.0,392.0,62.6,623.0,12.0,95.0,65.0,20.0,,,84.0,81.0,98.0,47.0,96.0,149.0
1904,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2023,Acute Care,Voluntary non-profit - Other,59.0,,,MI,77.0,614.0,,,,,,,64.0,120.0,,,,,97.0,128.0,,,62.0,16.0,96.0,561.0,,,,,4.0,20234.0,,,232.0,17.0,141.0,409.0,90.7,643.0,,,69.0,32.0,65.0,17.0,80.0,120.0,97.0,67.0,,
