,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
2524,OLEAN GENERAL HOSPITAL (330103),2020,Acute Care,Proprietary,260.0,42.089448,-78.426977,NY,33.0,360.0,87.0,99.0,98.0,123.0,,,,,86.0,21.0,,,,,1.0,51717.0,,,271.0,28.0,96.0,750.0,156.0,475.0,0.0,41.0,62.0,207.0,16.0,31.0,65.0,362.0,84.0,155.0
2525,NYACK HOSPITAL (330104),2020,Acute Care,Voluntary non-profit - Other,249.0,41.095251,-73.925253,NY,66.0,169.0,97.0,31.0,93.0,82.0,,,,,,,82.0,2301.0,,,0.0,52104.0,65.0,29.0,246.0,30.0,178.0,797.0,166.0,390.0,0.0,58.0,91.0,127.0,83.0,23.0,86.0,169.0,86.0,129.0
2526,NORTH SHORE UNIVERSITY HOSPITAL (330106),2020,Acute Care,Voluntary non-profit - Private,984.0,40.779269,-73.703029,NY,43.0,146.0,90.0,221.0,82.0,182.0,,,,,,,86.0,8847.0,,,1.0,101732.0,,,357.0,13.0,178.0,384.0,224.0,395.0,1.0,89.0,78.0,85.0,54.0,13.0,73.0,146.0,74.0,82.0
2527,PECONIC BAY MEDICAL CENTER (330107),2020,Acute Care,Voluntary non-profit - Private,181.0,40.933577,-72.674317,NY,60.0,113.0,,,94.0,18.0,,,,,93.0,41.0,90.0,1830.0,,,1.0,36750.0,,,325.0,19.0,152.0,952.0,183.0,355.0,2.0,54.0,90.0,82.0,58.0,19.0,81.0,113.0,85.0,68.0
2528,BERTRAND CHAFFEE HOSPITAL (330111),2020,Acute Care,Voluntary non-profit - Private,103.0,42.508484,-78.659235,NY,,,98.0,63.0,97.0,63.0,,,,,,,93.0,336.0,,,1.0,9540.0,,,,,53.0,569.0,147.0,265.0,,,,,,,,,,
2529,ONEIDA HEALTHCARE CENTER (330115),2020,Acute Care,Voluntary non-profit - Other,261.0,43.078755,-75.654264,NY,73.0,214.0,66.0,115.0,96.0,656.0,,,,,,,87.0,1215.0,,,1.0,22530.0,35.0,20.0,152.0,12.0,99.0,312.0,157.0,370.0,0.0,45.0,91.0,190.0,60.0,42.0,89.0,215.0,100.0,155.0
2530,LENOX HILL HOSPITAL (330119),2020,Acute Care,Voluntary non-profit - Private,457.0,40.773964,-73.960611,NY,63.0,114.0,88.0,112.0,,,,,,,,,86.0,5074.0,,,1.0,94453.0,,,184.0,17.0,76.0,383.0,176.0,363.0,1.0,82.0,83.0,93.0,47.0,17.0,90.0,114.0,86.0,73.0
2531,ROCHESTER GENERAL HOSPITAL (330125),2020,Acute Care,Voluntary non-profit - Private,517.0,43.192542,-77.584424,NY,28.0,157.0,97.0,96.0,96.0,96.0,95.0,40.0,,,,,,,,,1.0,124143.0,,,342.0,7108.0,224.0,787.0,172.0,90585.0,0.0,31.0,68.0,75.0,12.0,16.0,62.0,157.0,65.0,65.0
2532,GARNET HEALTH MEDICAL CENTER (330126),2020,Acute Care,Voluntary non-profit - Private,382.0,41.439962,-74.369415,NY,40.0,114.0,25.0,119.0,86.0,129.0,93.0,46.0,,,85.0,26.0,,,,,1.0,77258.0,,,246.0,30.0,183.0,669.0,166.0,268.0,0.0,34.0,71.0,75.0,33.0,12.0,84.0,114.0,66.0,61.0
2533,JACOBI MEDICAL CENTER (330127),2020,Acute Care,Government - Local,477.0,40.857455,-73.84721,NY,43.0,114.0,100.0,63.0,100.0,39.0,,,,,,,74.0,4057.0,,,1.0,64026.0,79.0,24.0,472.0,22.0,506.0,816.0,238.0,356.0,0.0,18.0,83.0,60.0,94.0,17.0,65.0,114.0,77.0,61.0
2534,ELMHURST HOSPITAL CENTER (330128),2020,Acute Care,Government - Local,528.0,40.74434,-73.88598,NY,32.0,142.0,100.0,72.0,100.0,92.0,,,,,88.0,16.0,,,,,6.0,120798.0,,,529.0,24.0,296.0,744.0,264.0,346.0,0.0,29.0,66.0,80.0,43.0,14.0,71.0,142.0,75.0,84.0
2535,BON SECOURS COMMUNITY HOSPITAL (330135),2020,Acute Care,Voluntary non-profit - Church,181.0,41.367766,-74.682593,NY,58.0,76.0,,,94.0,64.0,,,,,64.0,11.0,92.0,983.0,,,0.0,23344.0,,,225.0,17.0,71.0,226.0,103.0,279.0,,,82.0,60.0,,,86.0,76.0,90.0,48.0
2536,BASSETT HEALTHCARE (330136),2020,Acute Care,Voluntary non-profit - Private,180.0,,,NY,53.0,105.0,92.0,72.0,99.0,160.0,100.0,13.0,,,,,86.0,4491.0,,,0.0,18773.0,,,182.0,17.0,132.0,479.0,166.0,380.0,2.0,51.0,74.0,82.0,56.0,16.0,87.0,106.0,85.0,61.0
2537,ST JOSEPH'S HOSPITAL HEALTH CENTER (330140),2020,Acute Care,Voluntary non-profit - Private,437.0,43.055589,-76.149176,NY,41.0,159.0,100.0,18.0,79.0,67.0,,,,,,,,,,,4.0,71717.0,,,269.0,87.0,251.0,687.0,226.0,310.0,0.0,18.0,73.0,99.0,43.0,14.0,70.0,159.0,84.0,83.0
2538,LONG ISLAND COMMUNITY HOSPITAL (330141),2020,Acute Care,Voluntary non-profit - Private,223.0,40.779337,-72.978147,NY,66.0,181.0,79.0,70.0,96.0,111.0,,,,,74.0,31.0,,,,,2.0,63544.0,,,445.0,83.0,390.0,1169.0,208.0,1016.0,,,89.0,136.0,89.0,28.0,79.0,182.0,93.0,106.0
2539,IRA DAVENPORT MEMORIAL HOSPITAL (330144),2020,Acute Care,Voluntary non-profit - Other,139.0,42.37297,-77.278553,NY,75.0,12.0,100.0,59.0,91.0,66.0,,,,,,,,,,,1.0,9621.0,,,414.0,18.0,95.0,158.0,85.0,331.0,,,,,,,92.0,12.0,,
2540,ST JAMES MERCY HOSPITAL (330151),2020,Acute Care,Voluntary non-profit - Church,115.0,42.314575,-77.660142,NY,35.0,110.0,71.0,56.0,98.0,41.0,,,,,,,,,,,1.0,11767.0,175.0,15.0,272.0,12.0,55.0,556.0,107.0,373.0,,,60.0,73.0,,,73.0,110.0,89.0,61.0
2541,ELLIS HOSPITAL (330153),2020,Acute Care,Proprietary,412.0,42.819818,-73.918883,NY,49.0,152.0,100.0,124.0,100.0,412.0,88.0,16.0,,,71.0,31.0,93.0,3427.0,,,6.0,65601.0,,,348.0,44.0,230.0,694.0,247.0,355.0,1.0,177.0,84.0,90.0,81.0,16.0,71.0,153.0,79.0,85.0
2542,SAMARITAN MEDICAL CENTER (330157),2020,Acute Care,Voluntary non-profit - Private,238.0,43.96489,-75.912761,NY,45.0,71.0,95.0,63.0,91.0,96.0,88.0,16.0,47.0,17.0,94.0,16.0,,,,,3.0,46126.0,,,228.0,21.0,180.0,614.0,173.0,339.0,0.0,31.0,63.0,54.0,58.0,12.0,83.0,71.0,91.0,45.0
2543,GOOD SAMARITAN HOSPITAL OF SUFFERN (330158),2020,Acute Care,Voluntary non-profit - Church,301.0,41.112389,-74.136248,NY,31.0,120.0,22.0,63.0,84.0,63.0,64.0,11.0,,,57.0,21.0,84.0,3445.0,,,1.0,43717.0,,,284.0,15.0,177.0,433.0,210.0,314.0,0.0,46.0,73.0,62.0,41.0,22.0,71.0,120.0,62.0,61.0
2544,STATEN ISLAND UNIVERSITY HOSPITAL (330160),2020,Acute Care,Voluntary non-profit - Private,642.0,40.584082,-74.087013,NY,46.0,175.0,86.0,152.0,80.0,164.0,100.0,30.0,,,,,,,,,1.0,127799.0,,,228.0,14.0,92.0,478.0,156.0,372.0,4.0,50.0,84.0,101.0,43.0,14.0,70.0,175.0,73.0,79.0
2545,NORTHERN WESTCHESTER HOSPITAL (330162),2020,Acute Care,Voluntary non-profit - Private,196.0,41.196692,-73.724449,NY,83.0,128.0,97.0,71.0,100.0,71.0,89.0,38.0,,,91.0,22.0,91.0,1968.0,,,0.0,30219.0,42.0,14.0,312.0,12.0,60.0,591.0,158.0,382.0,3.0,37.0,94.0,114.0,,,89.0,128.0,100.0,79.0
2546,EASTERN NIAGARA HOSPITAL (330163),2020,Acute Care,Voluntary non-profit - Private,132.0,43.17638,-78.671075,NY,64.0,69.0,58.0,107.0,85.0,41.0,,,,,,,,,,,3.0,16572.0,,,193.0,25.0,76.0,522.0,166.0,362.0,0.0,11.0,90.0,49.0,,,78.0,69.0,88.0,41.0
2547,HIGHLAND HOSPITAL (330164),2020,Acute Care,Voluntary non-profit - Private,243.0,43.135955,-77.607556,NY,56.0,143.0,99.0,106.0,96.0,120.0,94.0,47.0,,,,,,,,,4.0,48814.0,,,,,224.0,550.0,238.0,370.0,0.0,31.0,86.0,100.0,59.0,17.0,82.0,143.0,80.0,81.0
2548,"WESTFIELD MEMORIAL HOSPITAL, INC (330166)",2020,Acute Care,Voluntary non-profit - Private,5.0,42.327901,-79.569397,NY,,,38.0,65.0,90.0,84.0,,,,,,,86.0,105.0,,,1.0,7729.0,,,210.0,13.0,31.0,78.0,116.0,410.0,,,,,,,,,,
2549,MOUNT SINAI BETH ISRAEL (330169),2020,Acute Care,Voluntary non-profit - Private,759.0,40.732665,-73.9816,NY,60.0,104.0,94.0,84.0,75.0,84.0,100.0,32.0,,,93.0,15.0,95.0,6669.0,,,2.0,125673.0,,,294.0,30.0,201.0,863.0,212.0,369.0,,,87.0,77.0,,,92.0,104.0,77.0,82.0
2550,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER (330175),2020,Acute Care,Voluntary non-profit - Private,195.0,42.608997,-76.186117,NY,78.0,256.0,97.0,108.0,88.0,342.0,,,,,32.0,38.0,,,,,0.0,31103.0,,,206.0,22.0,87.0,546.0,132.0,370.0,2.0,42.0,92.0,219.0,93.0,28.0,89.0,257.0,94.0,179.0
2551,SAMARITAN HOSPITAL (330180),2020,Acute Care,Voluntary non-profit - Private,248.0,42.733395,-73.671434,NY,64.0,138.0,57.0,58.0,97.0,108.0,100.0,16.0,,,38.0,29.0,,,,,2.0,58308.0,,,256.0,30.0,298.0,1060.0,194.0,348.0,,,88.0,103.0,82.0,17.0,78.0,138.0,94.0,86.0
2552,NORTHWELL HOSPITAL GLEN COVE (330181),2020,Acute Care,Voluntary non-profit - Private,152.0,,,NY,89.0,88.0,3.0,67.0,,,,,,,,,87.0,1241.0,,,0.0,18756.0,,,288.0,22.0,109.0,575.0,124.0,361.0,,,98.0,80.0,94.0,18.0,92.0,88.0,98.0,62.0
2553,ST FRANCIS HOSPITAL - THE HEART CENTER (330182),2020,Acute Care,Voluntary non-profit - Church,359.0,40.804505,-73.672669,NY,58.0,197.0,96.0,28.0,100.0,72.0,,,,,,,,,,,1.0,29464.0,,,377.0,13.0,229.0,905.0,254.0,386.0,,,77.0,160.0,34.0,32.0,84.0,197.0,94.0,80.0
2554,MONTEFIORE NEW ROCHELLE HOSPITAL (330184),2020,Acute Care,Voluntary non-profit - Private,320.0,40.912968,-73.786997,NY,66.0,157.0,75.0,199.0,93.0,210.0,,,,,,,95.0,1321.0,,,0.0,38451.0,,,491.0,19.0,130.0,803.0,152.0,399.0,5.0,37.0,89.0,122.0,65.0,23.0,84.0,157.0,84.0,64.0
2555,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON (330185),2020,Acute Care,Voluntary non-profit - Private,248.0,40.938249,-73.052951,NY,81.0,88.0,100.0,17.0,100.0,90.0,,,,,73.0,11.0,91.0,3398.0,,,1.0,38123.0,57.0,29.0,316.0,31.0,292.0,1022.0,240.0,357.0,,,91.0,80.0,80.0,15.0,92.0,90.0,100.0,56.0
2556,MOUNT ST. MARY'S HOSPITAL & HEALTH CENTER (330188),2020,Acute Care,Voluntary non-profit - Church,157.0,43.154652,-79.030462,NY,57.0,84.0,92.0,66.0,96.0,72.0,,,,,,,,,,,0.0,22780.0,,,,,112.0,627.0,148.0,369.0,3.0,34.0,81.0,63.0,,,85.0,86.0,84.0,50.0
2557,GLENS FALLS HOSPITAL (330191),2020,Acute Care,Voluntary non-profit - Private,392.0,43.308335,-73.644551,NY,64.0,116.0,99.0,88.0,99.0,109.0,82.0,28.0,,,81.0,21.0,,,,,4.0,48011.0,,,236.0,36.0,83.0,731.0,208.0,347.0,5.0,20.0,89.0,94.0,61.0,36.0,85.0,117.0,94.0,71.0
2558,FLUSHING HOSPITAL MEDICAL CENTER (330193),2020,Acute Care,Voluntary non-profit - Private,288.0,40.755636,-73.815645,NY,66.0,118.0,36.0,25.0,,,,,,,,,,,,,1.0,43965.0,,,340.0,17.0,187.0,531.0,187.0,396.0,0.0,56.0,86.0,97.0,80.0,25.0,86.0,118.0,93.0,74.0
2559,MAIMONIDES MEDICAL CENTER (330194),2020,Acute Care,Voluntary non-profit - Private,711.0,40.63908,-73.998668,NY,47.0,176.0,30.0,79.0,60.0,55.0,,,,,,,,,,,1.0,119469.0,,,322.0,28.0,195.0,617.0,249.0,367.0,0.0,126.0,80.0,107.0,83.0,23.0,75.0,177.0,75.0,97.0
2560,LONG ISLAND JEWISH MEDICAL CENTER (330195),2020,Acute Care,Voluntary non-profit - Private,1233.0,,,NY,49.0,134.0,87.0,304.0,45.0,388.0,99.0,99.0,,,72.0,39.0,86.0,1903.0,,,2.0,201976.0,57.0,35.0,226.0,31.0,163.0,385.0,220.0,319.0,0.0,80.0,81.0,88.0,45.0,11.0,77.0,135.0,81.0,78.0
2561,NYC HEALTH + HOSPITALS/CONEY ISLAND (330196),2020,Acute Care,Government - Local,354.0,40.58494,-73.966285,NY,22.0,143.0,100.0,110.0,100.0,108.0,,,,,78.0,27.0,,,,,3.0,87809.0,,,179.0,41.0,150.0,816.0,158.0,389.0,5.0,43.0,63.0,54.0,69.0,13.0,66.0,143.0,47.0,78.0
2562,CANTON-POTSDAM HOSPITAL (330197),2020,Acute Care,Voluntary non-profit - Private,94.0,44.676085,-74.981451,NY,57.0,191.0,73.0,102.0,92.0,333.0,96.0,28.0,,,47.0,17.0,,,,,1.0,27118.0,,,175.0,33.0,118.0,594.0,143.0,1602.0,2.0,40.0,82.0,145.0,50.0,22.0,81.0,191.0,92.0,107.0
2563,MOUNT SINAI SOUTH NASSAU (330198),2020,Acute Care,Voluntary non-profit - Private,385.0,,,NY,72.0,127.0,82.0,114.0,86.0,113.0,86.0,21.0,,,,,,,,,3.0,71334.0,,,268.0,16.0,113.0,874.0,234.0,367.0,1.0,121.0,92.0,104.0,72.0,18.0,84.0,128.0,95.0,64.0
2564,METROPOLITAN HOSPITAL CENTER (330199),2020,Acute Care,Government - Local,342.0,40.78472,-73.943636,NY,62.0,73.0,93.0,168.0,100.0,80.0,,,,,,,85.0,2420.0,,,4.0,63166.0,,,308.0,57.0,127.0,459.0,182.0,303.0,0.0,20.0,88.0,51.0,,,79.0,73.0,79.0,33.0
2565,KINGSBROOK JEWISH MEDICAL CENTER (330201),2020,Acute Care,Voluntary non-profit - Private,970.0,40.658929,-73.934072,NY,87.0,97.0,100.0,57.0,,,,,,,,,84.0,2357.0,,,1.0,36445.0,,,289.0,20.0,140.0,1243.0,200.0,373.0,,,94.0,90.0,95.0,20.0,94.0,101.0,98.0,65.0
2566,KINGS COUNTY HOSPITAL CENTER (330202),2020,Acute Care,Government - Local,633.0,40.655773,-73.944039,NY,25.0,112.0,100.0,85.0,100.0,42.0,,,,,,,,,,,8.0,128468.0,,,361.0,17.0,536.0,906.0,264.0,357.0,4.0,28.0,76.0,50.0,14.0,14.0,68.0,112.0,60.0,65.0
2567,CROUSE HOSPITAL (330203),2020,Acute Care,Voluntary non-profit - Private,498.0,43.041666,-76.137853,NY,45.0,97.0,95.0,21.0,86.0,58.0,,,,,,,86.0,4876.0,,,1.0,50863.0,,,221.0,18.0,144.0,487.0,165.0,377.0,0.0,46.0,90.0,67.0,20.0,20.0,78.0,97.0,86.0,64.0
2568,BELLEVUE HOSPITAL CENTER (330204),2020,Acute Care,Government - Local,904.0,40.740079,-73.97625,NY,44.0,64.0,99.0,169.0,100.0,166.0,,,,,,,,,,,5.0,96817.0,,,218.0,38.0,231.0,413.0,198.0,267.0,2.0,81.0,81.0,36.0,,,70.0,64.0,72.0,32.0
2569,ST ANTHONY COMMUNITY HOSPITAL (330205),2020,Acute Care,Voluntary non-profit - Church,64.0,41.261094,-74.356945,NY,54.0,65.0,87.0,31.0,97.0,156.0,,,,,,,95.0,725.0,,,0.0,11368.0,,,,,64.0,250.0,134.0,283.0,0.0,22.0,73.0,56.0,36.0,14.0,89.0,65.0,95.0,40.0
2570,ST JOHN'S RIVERSIDE HOSPITAL (330208),2020,Acute Care,Voluntary non-profit - Private,346.0,40.96784,-73.885107,NY,54.0,485.0,94.0,174.0,82.0,360.0,,,,,18.0,11.0,,,,,2.0,42678.0,83.0,25.0,,,278.0,816.0,191.0,376.0,0.0,49.0,88.0,309.0,77.0,43.0,74.0,486.0,82.0,275.0
2571,CLAXTON-HEPBURN MEDICAL CENTER (330211),2020,Acute Care,Voluntary non-profit - Private,110.0,44.692091,-75.499934,NY,76.0,89.0,100.0,72.0,90.0,114.0,,,79.0,14.0,,,94.0,1181.0,,,1.0,15424.0,,,327.0,33.0,82.0,400.0,133.0,342.0,0.0,15.0,91.0,76.0,95.0,19.0,87.0,89.0,98.0,56.0
2572,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER (330214),2020,Acute Care,Voluntary non-profit - Private,1085.0,40.74226,-73.974661,NY,70.0,144.0,100.0,110.0,100.0,110.0,100.0,189.0,,,,,98.0,31548.0,96.0,74.0,1.0,82094.0,,,246.0,26.0,162.0,630.0,194.0,410.0,0.0,186.0,89.0,117.0,86.0,22.0,88.0,144.0,89.0,95.0
2573,"ROME MEMORIAL HOSPITAL, INC (330215)",2020,Acute Care,Voluntary non-profit - Private,176.0,43.228954,-75.444248,NY,63.0,204.0,94.0,102.0,99.0,299.0,100.0,11.0,,,,,,,,,1.0,30124.0,34.0,11.0,264.0,18.0,68.0,459.0,160.0,372.0,0.0,45.0,88.0,151.0,79.0,24.0,84.0,205.0,86.0,145.0
2574,OSWEGO HOSPITAL (330218),2020,Acute Care,Voluntary non-profit - Private,164.0,43.454141,-76.516001,NY,61.0,277.0,94.0,108.0,98.0,226.0,,,9.0,11.0,,,,,,,3.0,29518.0,,,180.0,44.0,112.0,540.0,147.0,419.0,0.0,15.0,89.0,197.0,54.0,26.0,73.0,277.0,97.0,154.0
2575,ERIE COUNTY MEDICAL CENTER (330219),2020,Acute Care,Voluntary non-profit - Private,931.0,42.927236,-78.829151,NY,42.0,168.0,93.0,153.0,55.0,130.0,,,,,,,95.0,4832.0,,,5.0,60609.0,,,419.0,111.0,181.0,639.0,246.0,724.0,,,87.0,90.0,60.0,20.0,61.0,168.0,82.0,73.0
2576,WYCKOFF HEIGHTS MEDICAL CENTER (330221),2020,Acute Care,Voluntary non-profit - Private,260.0,40.704699,-73.917648,NY,71.0,178.0,,,,,,,,,36.0,14.0,,,,,2.0,84000.0,87.0,15.0,251.0,18.0,142.0,938.0,190.0,414.0,2.0,48.0,89.0,142.0,100.0,32.0,81.0,178.0,97.0,116.0
2577,SARATOGA HOSPITAL (330222),2020,Acute Care,Voluntary non-profit - Private,189.0,43.084794,-73.796223,NY,87.0,486.0,94.0,100.0,97.0,119.0,97.0,39.0,,,84.0,38.0,93.0,3854.0,,,1.0,39194.0,,,226.0,110.0,136.0,780.0,182.0,1029.0,0.0,48.0,94.0,450.0,99.0,88.0,94.0,488.0,99.0,334.0
2578,MASSENA HOSPITAL INC (330223),2020,Acute Care,Government - Local,42.0,44.936344,-74.907828,NY,76.0,68.0,100.0,73.0,98.0,58.0,,,,,,,,,,,4.0,15132.0,,,400.0,12.0,89.0,443.0,129.0,380.0,0.0,12.0,85.0,62.0,,,93.0,68.0,98.0,49.0
2579,UNITY HOSPITAL (330226),2020,Acute Care,Voluntary non-profit - Private,470.0,43.191544,-77.701464,NY,33.0,141.0,98.0,65.0,97.0,63.0,,,,,,,,,,,2.0,54113.0,,,274.0,1240.0,403.0,799.0,223.0,38907.0,0.0,15.0,73.0,74.0,8.0,12.0,74.0,141.0,61.0,77.0
2580,"BROOKS-TLC HOSPITAL SYSTEM, INC (330229)",2020,Acute Care,Voluntary non-profit - Private,65.0,42.480106,-79.333617,NY,64.0,102.0,96.0,175.0,96.0,493.0,,,,,76.0,17.0,91.0,842.0,,,3.0,30289.0,,,271.0,70.0,74.0,390.0,130.0,945.0,0.0,30.0,96.0,73.0,,,78.0,102.0,92.0,64.0
2581,QUEENS HOSPITAL CENTER (330231),2020,Acute Care,Government - Local,262.0,40.71698,-73.803431,NY,39.0,135.0,100.0,63.0,100.0,61.0,,,,,,,94.0,2977.0,,,3.0,94563.0,78.0,17.0,456.0,34.0,108.0,820.0,244.0,406.0,0.0,24.0,87.0,67.0,68.0,19.0,74.0,135.0,60.0,83.0
2582,BROOKDALE HOSPITAL MEDICAL CENTER (330233),2020,Acute Care,Voluntary non-profit - Private,863.0,40.6545,-73.91275,NY,31.0,112.0,86.0,76.0,68.0,62.0,,,,,,,,,100.0,89.0,3.0,96716.0,,,275.0,26.0,392.0,816.0,195.0,291.0,0.0,27.0,74.0,50.0,,,65.0,113.0,54.0,50.0
2583,WESTCHESTER MEDICAL CENTER (330234),2020,Acute Care,Government - Hospital District or Authority,830.0,41.08768,-73.803897,NY,70.0,340.0,95.0,101.0,98.0,165.0,,,,,,,,,,,2.0,77233.0,,,234.0,97.0,187.0,1076.0,206.0,688.0,0.0,15.0,88.0,278.0,83.0,63.0,89.0,341.0,90.0,209.0
2584,AUBURN  COMMUNITY  HOSPITAL (330235),2020,Acute Care,Voluntary non-profit - Private,179.0,42.940761,-76.564607,NY,38.0,81.0,73.0,75.0,94.0,84.0,,,,,83.0,18.0,,,,,1.0,27373.0,,,242.0,18.0,158.0,557.0,181.0,361.0,0.0,37.0,72.0,43.0,,,67.0,81.0,69.0,36.0
2585,NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST HOSPITAL (330236),2020,Acute Care,Voluntary non-profit - Private,586.0,40.668263,-73.979141,NY,58.0,144.0,97.0,171.0,100.0,180.0,100.0,36.0,,,,,83.0,5751.0,,,2.0,107544.0,,,260.0,18.0,154.0,804.0,210.0,460.0,3.0,106.0,88.0,100.0,71.0,14.0,78.0,144.0,85.0,79.0
2586,NICHOLAS H NOYES MEMORIAL HOSPITAL (330238),2020,Acute Care,Voluntary non-profit - Private,68.0,42.55213,-77.700356,NY,45.0,119.0,96.0,71.0,96.0,72.0,,,,,55.0,11.0,97.0,906.0,,,2.0,14938.0,,,272.0,13.0,103.0,329.0,153.0,378.0,4.0,23.0,76.0,75.0,64.0,14.0,66.0,119.0,93.0,59.0
2587,UPMC CHAUTAUQUA AT WCA (330239),2020,Acute Care,Voluntary non-profit - Private,217.0,42.091237,-79.23295,NY,33.0,266.0,97.0,504.0,97.0,869.0,,,,,71.0,31.0,99.0,1346.0,,,4.0,38061.0,,,264.0,80.0,80.0,844.0,189.0,735.0,8.0,60.0,69.0,132.0,,,62.0,266.0,71.0,113.0
2588,HARLEM HOSPITAL CENTER (330240),2020,Acute Care,Government - Local,280.0,40.814482,-73.940495,NY,36.0,67.0,90.0,200.0,100.0,84.0,,,,,,,,,,,4.0,95220.0,,,403.0,29.0,145.0,832.0,152.0,340.0,0.0,27.0,85.0,33.0,62.0,13.0,66.0,67.0,69.0,35.0
2589,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER (330241),2020,Acute Care,Government - State,734.0,43.042677,-76.139323,NY,22.0,119.0,92.0,36.0,92.0,63.0,91.0,43.0,,,8.0,12.0,,,,,1.0,128008.0,,,260.0,32.0,187.0,1325.0,227.0,811.0,1.0,89.0,78.0,41.0,,,50.0,119.0,46.0,35.0
2590,ST ELIZABETH MEDICAL CENTER (330245),2020,Acute Care,Voluntary non-profit - Private,201.0,43.083646,-75.267158,NY,26.0,86.0,,,,,,,,,31.0,13.0,,,,,4.0,29759.0,,,434.0,25.0,151.0,753.0,178.0,342.0,,,76.0,33.0,,,64.0,86.0,56.0,48.0
2591,ST CHARLES HOSPITAL (330246),2020,Acute Care,Voluntary non-profit - Church,239.0,40.947392,-73.059832,NY,76.0,97.0,50.0,14.0,100.0,22.0,,,,,,,,,,,2.0,22469.0,,,264.0,32.0,291.0,601.0,190.0,338.0,0.0,37.0,96.0,77.0,,,85.0,98.0,91.0,56.0
2592,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR (330250),2020,Acute Care,Voluntary non-profit - Private,375.0,44.700122,-73.466647,NY,55.0,114.0,99.0,111.0,97.0,159.0,67.0,42.0,,,83.0,24.0,96.0,2937.0,,,2.0,45452.0,,,378.0,32.0,170.0,900.0,209.0,545.0,0.0,22.0,90.0,77.0,,,85.0,114.0,76.0,84.0
