,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
2280,HEDRICK MEDICAL CENTER (261321),2019,Critical Access,Voluntary non-profit - Private,24.0,39.816125,-93.552781,MO,81.0,36.0,,,,,,,,,,,100.0,471.0,,,100.0,255.0,,,1.0,9175.0,5.0,46.0,,,,,50.0,260.0,106.0,179.0,212.0,260.0,0.0,36.0
2281,EXCELSIOR SPRINGS HOSPITAL (261322),2019,Critical Access,Government - Local,70.0,39.362217,-94.236519,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,39.0,,,187.0,39.0,,
2282,CEDAR COUNTY MEMORIAL HOSPITAL (261323),2019,Critical Access,Government - Local,25.0,37.860674,-94.018505,MO,,,,,,,,,,,,,60.0,136.0,,,,,,,1.0,4451.0,18.0,14.0,,,,,,,90.0,376.0,,,,
2283,CASS REGIONAL MEDICAL CENTER (261324),2019,Critical Access,Government - Local,35.0,38.663345,-94.375321,MO,90.0,39.0,100.0,72.0,100.0,72.0,,,,,,,93.0,518.0,,,99.0,267.0,,,1.0,14035.0,8.0,100.0,,,208.0,24.0,61.0,336.0,117.0,333.0,208.0,336.0,,
2284,COX BARTON COUNTY HOSPITAL (261325),2019,Critical Access,Government - Local,25.0,37.505282,-94.299482,MO,,,,,,,,,,,,,85.0,267.0,,,100.0,202.0,,,1.0,7232.0,5.0,69.0,,,175.0,11.0,50.0,250.0,71.0,325.0,182.0,250.0,,
2285,NORTHWEST MEDICAL CENTER (261328),2019,Critical Access,Voluntary non-profit - Private,25.0,40.252124,-94.325476,MO,,,,,,,,,,,,,100.0,193.0,,,,,,,,,,,,,,,,,122.0,55.0,,,,
2286,COX MONETT HOSPITAL (261329),2019,Critical Access,Voluntary non-profit - Private,23.0,36.926633,-93.93125,MO,,,,,,,,,,,,,98.0,384.0,,,96.0,223.0,,,1.0,14035.0,4.0,14.0,,,107.0,13.0,45.0,237.0,104.0,389.0,198.0,238.0,0.0,41.0
2287,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL (261330),2019,Critical Access,Government - Hospital District or Authority,25.0,37.968347,-90.053968,MO,,,,,,,,,,,,,100.0,628.0,,,81.0,189.0,,,0.0,5312.0,10.0,11.0,,,215.0,12.0,39.0,208.0,105.0,332.0,192.0,342.0,,
2288,FREEMAN NEOSHO HOSPITAL (261331),2019,Critical Access,Voluntary non-profit - Private,25.0,36.867614,-94.368787,MO,30.0,27.0,97.0,38.0,78.0,23.0,,,,,,,,,,,88.0,263.0,,,1.0,14526.0,9.0,87.0,,,192.0,12.0,69.0,539.0,108.0,351.0,204.0,539.0,,
2289,CARROLL COUNTY MEMORIAL HOSPITAL (261332),2019,Critical Access,Voluntary non-profit - Private,22.0,39.376161,-93.494218,MO,60.0,15.0,,,,,,,,,79.0,14.0,94.0,261.0,,,98.0,120.0,,,0.0,3926.0,8.0,68.0,,,150.0,23.0,38.0,168.0,96.0,397.0,161.0,169.0,,
2290,PIKE COUNTY MEMORIAL HOSPITAL (261333),2019,Critical Access,Government - Local,25.0,39.441679,-91.065383,MO,,,100.0,84.0,100.0,38.0,,,,,,,96.0,292.0,,,99.0,136.0,95.0,38.0,0.0,5997.0,6.0,63.0,,,201.0,17.0,95.0,168.0,104.0,351.0,278.0,168.0,,
2291,I-70 COMMUNITY HOSPITAL (261334),2019,Critical Access,Proprietary,15.0,38.978284,-93.417635,MO,,,,,,,,,,,,,,,,,,,,,1.0,2039.0,,,,,,,,,,,,,,
2292,MERCY ST FRANCIS HOSPITAL (261335),2019,Critical Access,Voluntary non-profit - Private,24.0,,,MO,,,100.0,18.0,85.0,27.0,,,,,,,92.0,162.0,,,91.0,68.0,,,3.0,6898.0,12.0,48.0,,,,,,,117.0,357.0,,,,
2293,MISSOURI BAPTIST SULLIVAN HOSPITAL (261337),2019,Critical Access,Voluntary non-profit - Private,35.0,38.195574,-91.169288,MO,25.0,79.0,98.0,56.0,80.0,82.0,,,,,54.0,13.0,93.0,726.0,,,84.0,241.0,,,4.0,20282.0,6.0,139.0,40.0,19.0,256.0,39.0,92.0,341.0,133.0,421.0,289.0,341.0,0.0,13.0
2294,MERCY HOSPITAL CARTHAGE (261338),2019,Critical Access,Government - Local,25.0,37.1367,-94.320872,MO,,,83.0,72.0,40.0,58.0,,,,,,,99.0,395.0,,,86.0,218.0,,,1.0,16870.0,6.0,80.0,,,,,,,94.0,375.0,,,,
2295,CHILDRENS MERCY HOSPITAL (263302),2019,Childrens,Voluntary non-profit - Private,303.0,39.08275,-94.578611,MO,,,,,,,,,,,,,85.0,11849.0,,,,,,,,,,,,,,,,,,,,,,
2296,ST PETERS HOSPITAL (270003),2019,Acute Care,Voluntary non-profit - Private,125.0,,,MT,68.0,261.0,100.0,88.0,98.0,94.0,,,,,62.0,13.0,93.0,1713.0,0.0,11.0,98.0,484.0,,,2.0,25721.0,16.0,11.0,,,198.0,38.0,144.0,588.0,159.0,352.0,275.0,593.0,3.0,69.0
2297,BILLINGS CLINIC HOSPITAL (270004),2019,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,61.0,446.0,80.0,96.0,99.0,98.0,88.0,33.0,,,,,83.0,4791.0,0.0,18.0,96.0,584.0,,,2.0,50939.0,,,,,201.0,37.0,155.0,567.0,155.0,378.0,305.0,571.0,2.0,131.0
2298,BENEFIS HOSPITALS INC (270012),2019,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,52.0,44.0,100.0,71.0,100.0,71.0,78.0,41.0,,,,,98.0,3207.0,,,98.0,518.0,,,3.0,29778.0,,,,,210.0,27.0,80.0,459.0,182.0,376.0,258.0,461.0,9.0,46.0
2299,ST PATRICK HOSPITAL (270014),2019,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,76.0,86.0,100.0,64.0,100.0,64.0,89.0,45.0,,,,,90.0,2232.0,0.0,13.0,98.0,559.0,,,3.0,35241.0,,,,,202.0,37.0,94.0,619.0,145.0,345.0,236.0,622.0,0.0,36.0
2300,ST JAMES HEALTHCARE (270017),2019,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,44.0,337.0,97.0,64.0,90.0,63.0,58.0,12.0,,,,,95.0,864.0,,,85.0,323.0,,,2.0,18410.0,,,,,180.0,26.0,110.0,491.0,102.0,355.0,196.0,491.0,0.0,21.0
2301,COMMUNITY MEDICAL CENTER (270023),2019,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,72.0,134.0,100.0,72.0,99.0,71.0,100.0,15.0,,,,,96.0,1355.0,,,97.0,427.0,100.0,15.0,1.0,22996.0,,,,,215.0,17.0,82.0,347.0,108.0,381.0,218.0,348.0,4.0,24.0
2302,NORTHERN MONTANA HOSPITAL (270032),2019,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,24.0,25.0,100.0,61.0,100.0,46.0,,,,,,,93.0,399.0,,,83.0,218.0,,,2.0,9272.0,13.0,41.0,,,118.0,25.0,39.0,234.0,121.0,367.0,219.0,245.0,8.0,65.0
2303,ST VINCENT HEALTHCARE (270049),2019,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,76.0,500.0,92.0,66.0,95.0,63.0,90.0,31.0,,,,,61.0,3151.0,0.0,19.0,86.0,504.0,,,2.0,41243.0,,,,,149.0,23.0,138.0,559.0,124.0,357.0,244.0,559.0,0.0,33.0
2304,KALISPELL REGIONAL MEDICAL CENTER (270051),2019,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,73.0,189.0,89.0,72.0,90.0,72.0,,,,,91.0,11.0,98.0,4668.0,,,96.0,562.0,,,2.0,24457.0,,,,,224.0,19.0,62.0,546.0,190.0,381.0,272.0,549.0,0.0,58.0
2305,BOZEMAN HEALTH DEACONESS HOSPITAL (270057),2019,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,62.0,86.0,99.0,74.0,99.0,73.0,92.0,36.0,,,94.0,18.0,93.0,2558.0,0.0,11.0,93.0,501.0,,,0.0,28480.0,,,,,227.0,22.0,110.0,513.0,156.0,387.0,254.0,535.0,6.0,31.0
2306,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET (270074),2019,Acute Care,Government - Federal,26.0,,,MT,,,,,,,,,,,,,91.0,329.0,,,53.0,209.0,,,,,,,,,,,61.0,308.0,,,282.0,309.0,0.0,17.0
2307,GREAT FALLS CLINIC HOSPITAL (270086),2019,Acute Care,Proprietary,20.0,47.487737,-111.254561,MT,15.0,26.0,100.0,28.0,100.0,22.0,85.0,20.0,,,,,95.0,442.0,,,80.0,292.0,,,1.0,8276.0,11.0,81.0,,,,,76.0,511.0,118.0,237.0,219.0,529.0,,
2308,THE HEALTHCENTER (270087),2019,Acute Care,Proprietary,30.0,48.216208,-114.324047,MT,,,100.0,72.0,92.0,72.0,,,,,,,93.0,496.0,,,99.0,271.0,,,,,,,,,,,,,,,,,,
2309,BIG SKY MEDICAL CENTER (270089),2019,Acute Care,Voluntary non-profit - Private,4.0,,,MT,,,100.0,12.0,,,,,,,,,98.0,47.0,,,100.0,21.0,,,0.0,3032.0,5.0,15.0,,,,,32.0,33.0,84.0,342.0,172.0,36.0,,
2310,LIVINGSTON HEALTHCARE (271317),2019,Critical Access,Voluntary non-profit - Private,24.0,45.676043,-110.525425,MT,,,,,,,,,,,,,81.0,445.0,,,98.0,135.0,,,,,7.0,25.0,,,229.0,43.0,78.0,44.0,118.0,634.0,142.0,216.0,,
2311,BARRETT HOSPITAL & HEALTHCARE (271318),2019,Critical Access,Government - Hospital District or Authority,20.0,45.200654,-112.646003,MT,77.0,22.0,100.0,73.0,100.0,68.0,,,,,,,97.0,390.0,,,96.0,230.0,84.0,31.0,0.0,4621.0,10.0,20.0,,,239.0,256.0,70.0,304.0,155.0,3951.0,231.0,336.0,0.0,11.0
2312,ST LUKE COMMUNITY HOSPITAL (271325),2019,Critical Access,Voluntary non-profit - Private,100.0,47.528835,-114.106242,MT,42.0,12.0,,,,,,,,,,,96.0,424.0,,,92.0,354.0,100.0,59.0,1.0,7065.0,4.0,24.0,,,149.0,210.0,114.0,498.0,102.0,3374.0,168.0,502.0,,
2313,MINERAL COMMUNITY HOSPITAL (271331),2019,Critical Access,Voluntary non-profit - Private,25.0,47.184726,-114.876579,MT,,,,,,,,,,,,,91.0,69.0,,,,,,,,,,,,,,,,,,,,,,
2314,GLENDIVE MEDICAL CENTER (271332),2019,Critical Access,Voluntary non-profit - Other,85.0,47.117226,-104.704953,MT,,,,,,,,,,,,,76.0,456.0,,,82.0,243.0,,,1.0,3748.0,6.0,13.0,,,160.0,55.0,30.0,154.0,122.0,1492.0,164.0,298.0,,
2315,COMMUNITY HOSPITAL OF ANACONDA (271335),2019,Critical Access,Voluntary non-profit - Private,87.0,46.133111,-112.956153,MT,78.0,32.0,,,,,,,,,,,95.0,434.0,,,97.0,286.0,,,1.0,5524.0,5.0,38.0,,,144.0,16.0,23.0,345.0,109.0,348.0,132.0,354.0,0.0,50.0
2316,NORTH VALLEY HOSPITAL (271336),2019,Critical Access,Voluntary non-profit - Private,25.0,48.381032,-114.331326,MT,80.0,98.0,,,,,,,,,,,98.0,693.0,,,81.0,748.0,,,1.0,9046.0,9.0,38.0,,,166.0,267.0,35.0,863.0,109.0,6488.0,163.0,986.0,,
2317,NORTHERN ROCKIES MEDICAL CENTER (271337),2019,Critical Access,Voluntary non-profit - Private,20.0,48.62878,-112.326345,MT,,,,,,,,,,,,,73.0,93.0,,,67.0,61.0,,,3.0,3516.0,6.0,15.0,,,,,1.0,66.0,108.0,213.0,144.0,66.0,,
2318,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE (271339),2019,Critical Access,Government - Federal,24.0,,,MT,,,,,,,,,,,,,90.0,291.0,,,,,,,,,,,,,,,,,,,,,,
2319,MARCUS DALY MEMORIAL HOSPITAL - CAH (271340),2019,Critical Access,Voluntary non-profit - Private,30.0,46.247158,-114.171365,MT,,,,,,,,,,,,,96.0,601.0,,,,,,,,,13.0,23.0,,,,,,,,,,,,
2320,PROVIDENCE ST JOSEPH MEDICAL CENTER (271343),2019,Critical Access,Voluntary non-profit - Private,22.0,47.683344,-114.163327,MT,72.0,36.0,,,,,,,,,,,93.0,238.0,,,96.0,227.0,,,,,8.0,37.0,,,148.0,33.0,57.0,302.0,99.0,321.0,182.0,305.0,,
2321,SIDNEY HEALTH CENTER (271344),2019,Critical Access,Voluntary non-profit - Private,115.0,47.715839,-104.174171,MT,43.0,14.0,,,,,,,,,,,93.0,397.0,,,93.0,284.0,,,2.0,6337.0,12.0,34.0,,,150.0,18.0,24.0,242.0,115.0,362.0,195.0,314.0,2.0,46.0
2322,CENTRAL MONTANA MEDICAL CENTER (271345),2019,Critical Access,Voluntary non-profit - Private,60.0,47.058464,-109.442243,MT,,,,,,,,,,,,,91.0,575.0,,,79.0,193.0,,,,,5.0,21.0,,,95.0,13.0,49.0,341.0,90.0,430.0,198.0,363.0,,
2323,ROUNDUP MEMORIAL HEALTHCARE (271346),2019,Critical Access,Government - Hospital District or Authority,25.0,46.45335,-108.546333,MT,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,,,108.0,22.0,24.0,27.0,78.0,295.0,143.0,37.0,,
2324,HOLY ROSARY HEALTHCARE (271347),2019,Critical Access,Voluntary non-profit - Church,109.0,46.397355,-105.827837,MT,82.0,87.0,98.0,58.0,92.0,59.0,,,,,,,91.0,444.0,,,84.0,223.0,,,0.0,4823.0,10.0,32.0,,,180.0,18.0,95.0,265.0,104.0,351.0,228.0,265.0,6.0,16.0
2325,BRYAN MEDICAL CENTER (280003),2019,Acute Care,Voluntary non-profit - Private,569.0,40.796598,-96.653661,NE,38.0,449.0,89.0,83.0,87.0,267.0,,,,,,,93.0,6543.0,5.0,21.0,87.0,713.0,,,1.0,84951.0,,,,,154.0,26.0,140.0,584.0,134.0,372.0,310.0,600.0,11.0,190.0
2326,CHI HEALTH GOOD SAMARITAN (280009),2019,Acute Care,Voluntary non-profit - Church,250.0,,,NE,50.0,50.0,86.0,59.0,94.0,36.0,79.0,14.0,,,,,96.0,1593.0,,,95.0,507.0,,,0.0,12775.0,,,,,139.0,17.0,83.0,273.0,95.0,378.0,205.0,295.0,3.0,34.0
2327,THE NEBRASKA MEDICAL CENTER (280013),2019,Acute Care,Voluntary non-profit - Private,542.0,,,NE,39.0,97.0,94.0,72.0,99.0,72.0,93.0,44.0,,,,,68.0,13968.0,0.0,49.0,91.0,542.0,,,2.0,62884.0,,,,,262.0,25.0,84.0,508.0,189.0,354.0,323.0,508.0,0.0,24.0
2328,CHI HEALTH ST ELIZABETH (280020),2019,Acute Care,Voluntary non-profit - Private,244.0,40.807609,-96.625179,NE,70.0,111.0,93.0,43.0,92.0,115.0,96.0,72.0,,,,,98.0,2274.0,,,94.0,537.0,,,2.0,28796.0,6.0,52.0,,,,,190.0,497.0,146.0,390.0,335.0,509.0,2.0,41.0
2329,CHI HEALTH ST FRANCIS (280023),2019,Acute Care,Voluntary non-profit - Church,184.0,40.924267,-98.370887,NE,51.0,91.0,37.0,27.0,67.0,27.0,94.0,18.0,,,,,96.0,1235.0,,,97.0,503.0,,,1.0,23616.0,,,,,78.0,11.0,69.0,422.0,122.0,389.0,213.0,424.0,0.0,42.0
2330,MARY LANNING HEALTHCARE (280032),2019,Acute Care,Voluntary non-profit - Other,138.0,40.592416,-98.387474,NE,63.0,91.0,87.0,38.0,87.0,71.0,,,,,,,91.0,2362.0,,,82.0,399.0,,,1.0,14395.0,8.0,18.0,,,161.0,17.0,81.0,394.0,130.0,356.0,215.0,395.0,3.0,36.0
2331,METHODIST HOSPITAL (280040),2019,Acute Care,Voluntary non-profit - Private,369.0,41.259682,-96.041771,NE,36.0,139.0,78.0,67.0,87.0,234.0,62.0,96.0,,,,,87.0,6500.0,5.0,19.0,92.0,586.0,,,1.0,38842.0,4.0,108.0,,,182.0,90.0,64.0,408.0,147.0,2808.0,196.0,420.0,1.0,134.0
2332,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B (280060),2019,Acute Care,Voluntary non-profit - Private,358.0,41.237904,-96.028717,NE,50.0,116.0,94.0,85.0,99.0,82.0,98.0,47.0,,,,,99.0,3669.0,0.0,20.0,96.0,464.0,,,1.0,56005.0,,,,,178.0,29.0,143.0,390.0,138.0,371.0,278.0,393.0,0.0,79.0
2333,REGIONAL WEST MEDICAL CENTER (280061),2019,Acute Care,Voluntary non-profit - Private,164.0,41.885055,-103.665837,NE,41.0,122.0,98.0,208.0,99.0,99.0,100.0,32.0,82.0,17.0,,,97.0,1817.0,14.0,14.0,97.0,494.0,,,3.0,18208.0,6.0,61.0,,,160.0,24.0,140.0,570.0,183.0,379.0,308.0,573.0,2.0,65.0
2334,GREAT PLAINS HEALTH (280065),2019,Acute Care,Voluntary non-profit - Private,105.0,41.120746,-100.770199,NE,38.0,120.0,47.0,45.0,82.0,34.0,23.0,13.0,,,,,94.0,1519.0,,,93.0,481.0,,,1.0,18636.0,,,,,155.0,17.0,95.0,770.0,124.0,488.0,235.0,771.0,0.0,47.0
2335,METHODIST FREMONT HEALTH (280077),2019,Acute Care,Government - Local,187.0,41.451464,-96.492473,NE,58.0,106.0,79.0,207.0,97.0,267.0,100.0,17.0,,,62.0,21.0,95.0,1309.0,,,100.0,263.0,,,1.0,15820.0,6.0,41.0,40.0,13.0,179.0,15.0,74.0,321.0,108.0,343.0,213.0,324.0,0.0,24.0
2336,CHI HEALTH IMMANUEL (280081),2019,Acute Care,Voluntary non-profit - Private,308.0,41.321839,-96.023788,NE,55.0,118.0,97.0,63.0,96.0,47.0,,,,,,,99.0,1849.0,,,97.0,590.0,,,3.0,39219.0,,,,,188.0,64.0,76.0,462.0,114.0,340.0,196.0,462.0,0.0,62.0
2337,CHI HEALTH MIDLANDS (280105),2019,Acute Care,Voluntary non-profit - Church,46.0,41.136866,-96.042825,NE,68.0,68.0,95.0,78.0,97.0,63.0,,,,,92.0,12.0,100.0,457.0,,,98.0,269.0,,,0.0,12742.0,6.0,66.0,,,148.0,28.0,72.0,553.0,106.0,348.0,189.0,553.0,,
2338,COLUMBUS COMMUNITY HOSPITAL (280111),2019,Acute Care,Voluntary non-profit - Other,51.0,41.453273,-97.3849,NE,68.0,72.0,84.0,88.0,93.0,105.0,,,,,92.0,13.0,99.0,855.0,,,96.0,273.0,,,0.0,11620.0,9.0,99.0,,,142.0,18.0,60.0,288.0,104.0,468.0,208.0,291.0,0.0,68.0
2339,FAITH REGIONAL HEALTH SERVICES (280125),2019,Acute Care,Voluntary non-profit - Private,127.0,42.032526,-97.450942,NE,59.0,325.0,,,100.0,26.0,86.0,21.0,,,86.0,14.0,97.0,1442.0,,,97.0,450.0,,,0.0,12695.0,,,,,,,76.0,428.0,113.0,385.0,173.0,428.0,1.0,83.0
2340,LINCOLN SURGICAL HOSPITAL (280127),2019,Acute Care,Proprietary,21.0,40.794718,-96.624974,NE,,,,,,,,,,,,,70.0,568.0,,,96.0,415.0,,,,,,,,,,,,,,,,,,
2341,CHI HEALTH NEBRASKA HEART (280128),2019,Acute Care,Voluntary non-profit - Private,54.0,40.735476,-96.594607,NE,,,,,,,,,,,,,99.0,656.0,,,98.0,310.0,,,,,,,,,,,,,,,,,,
2342,ORTHONEBRASKA HOSPITAL (280129),2019,Acute Care,Physician,24.0,41.232001,-96.135396,NE,,,,,,,,,,,,,95.0,526.0,,,100.0,1053.0,,,0.0,7040.0,3.0,46.0,,,,,,,79.0,365.0,,,,
2343,CHI HEALTH LAKESIDE (280130),2019,Acute Care,Voluntary non-profit - Church,121.0,41.23904,-96.180532,NE,71.0,118.0,97.0,72.0,96.0,72.0,93.0,30.0,,,94.0,16.0,100.0,2153.0,,,94.0,527.0,,,1.0,24847.0,,,,,211.0,14.0,73.0,625.0,142.0,386.0,185.0,626.0,0.0,30.0
2344,MIDWEST SURGICAL HOSPITAL LLC (280131),2019,Acute Care,Physician,19.0,41.258155,-96.036891,NE,,,,,,,,,,,,,97.0,270.0,,,100.0,554.0,,,,,,,,,,,,,,,,,,
2345,BELLEVUE MEDICAL CENTER (280132),2019,Acute Care,Proprietary,62.0,41.13639,-95.94586,NE,47.0,74.0,92.0,72.0,96.0,72.0,,,,,,,82.0,660.0,,,92.0,437.0,,,1.0,30552.0,7.0,21.0,,,185.0,14.0,82.0,722.0,138.0,360.0,212.0,722.0,5.0,22.0
2346,"NEBRASKA SPINE HOSPITAL, LLC (280133)",2019,Acute Care,Proprietary,34.0,,,NE,,,,,,,,,,,,,100.0,257.0,,,93.0,321.0,,,,,,,,,,,,,,,,,,
2347,KEARNEY REGIONAL MEDICAL CENTER (280134),2019,Acute Care,Proprietary,70.0,40.6975,-99.0931,NE,53.0,53.0,74.0,113.0,100.0,120.0,,,,,,,93.0,813.0,,,100.0,302.0,,,0.0,5287.0,,,,,148.0,12.0,87.0,173.0,115.0,424.0,210.0,178.0,1.0,156.0
2348,PAWNEE COUNTY MEMORIAL HOSPITAL (281302),2019,Critical Access,Government - Local,17.0,,,NE,,,,,,,,,,,,,87.0,97.0,,,85.0,27.0,,,0.0,943.0,7.0,23.0,,,,,5.0,34.0,111.0,220.0,120.0,34.0,,
2349,THAYER COUNTY HEALTH SERVICES (281304),2019,Critical Access,Government - Local,19.0,40.160123,-97.593267,NE,,,,,,,,,,,,,96.0,173.0,,,92.0,116.0,,,,,16.0,14.0,,,79.0,12.0,10.0,75.0,78.0,298.0,95.0,94.0,,
2350,KEARNEY COUNTY HEALTH SERVICES HOSPITAL (281306),2019,Critical Access,Government - Local,35.0,40.495778,-98.943203,NE,,,,,,,,,,,,,99.0,166.0,,,97.0,36.0,,,0.0,879.0,6.0,20.0,,,116.0,12.0,10.0,31.0,99.0,265.0,97.0,31.0,,
2351,SAUNDERS MEDICAL CENTER (281307),2019,Critical Access,Government - Local,76.0,41.191555,-96.635312,NE,,,,,,,,,,,,,95.0,319.0,,,84.0,56.0,,,0.0,2098.0,6.0,17.0,,,131.0,11.0,30.0,48.0,87.0,209.0,148.0,64.0,,
2352,HENDERSON HEALTH CARE SERVICES (281308),2019,Critical Access,Voluntary non-profit - Private,54.0,40.782888,-97.807361,NE,,,,,,,,,,,,,90.0,221.0,,,96.0,50.0,,,0.0,701.0,,,,,,,10.0,41.0,98.0,223.0,82.0,42.0,,
2353,SYRACUSE AREA HEALTH (281309),2019,Critical Access,Government - Hospital District or Authority,14.0,,,NE,,,,,,,,,,,,,,,,,89.0,28.0,,,0.0,1397.0,,,,,,,8.0,24.0,128.0,226.0,129.0,35.0,,
2354,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER (281314),2019,Critical Access,Government - Local,16.0,,,NE,,,,,,,,,,,,,64.0,83.0,,,87.0,47.0,,,1.0,720.0,,,,,,,11.0,47.0,70.0,214.0,91.0,62.0,,
2355,BRODSTONE MEMORIAL HOSP (281315),2019,Critical Access,Voluntary non-profit - Private,25.0,,,NE,,,,,,,,,,,,,95.0,239.0,,,97.0,174.0,,,0.0,1829.0,,,,,91.0,11.0,42.0,143.0,87.0,303.0,115.0,175.0,,
2356,WEBSTER COUNTY COMMUNITY HOSPITAL (281316),2019,Critical Access,Government - Local,14.0,,,NE,,,,,,,,,,,,,87.0,77.0,,,94.0,17.0,,,,,9.0,19.0,,,,,10.0,28.0,78.0,337.0,98.0,31.0,,
2357,MORRILL COUNTY COMMUNITY HOSPITAL (281318),2019,Critical Access,Government - Local,20.0,41.66189,-103.091374,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,18.0,113.0,162.0,150.0,19.0,,
2358,JEFFERSON COMMUNITY HEALTH & LIFE (281319),2019,Critical Access,Voluntary non-profit - Private,60.0,,,NE,,,,,,,,,,,,,,,,,97.0,105.0,,,0.0,2651.0,1.0,34.0,,,,,5.0,105.0,76.0,118.0,81.0,105.0,,
2359,MEMORIAL HOSPITAL (281320),2019,Critical Access,Voluntary non-profit - Private,62.0,40.871812,-98.009531,NE,,,,,,,,,,,,,,,,,98.0,97.0,,,,,5.0,25.0,,,93.0,16.0,9.0,32.0,89.0,239.0,121.0,100.0,,
2360,OAKLAND MERCY HOSPITAL (281321),2019,Critical Access,Voluntary non-profit - Private,17.0,41.834571,-96.459197,NE,,,,,,,,,,,,,99.0,81.0,,,89.0,28.0,,,1.0,799.0,,,,,,,0.0,38.0,94.0,191.0,102.0,38.0,,
