,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
2594,NORTH CAROLINA SPECIALTY HOSPITAL (340049),2020,Acute Care,Proprietary,18.0,36.042865,-78.897548,NC,,0.0,0.193,391.0,,0.0,0.692,3669.0,,109.0,0.0,0.063,,0.0,0.064,3669.0,,4.0,0.0,0.028,19.0,0.0,0.42,
2595,SOUTHEASTERN REGIONAL MEDICAL CENTER (340050),2020,Acute Care,Voluntary non-profit - Private,380.0,34.636452,-79.010553,NC,0.621,4.0,6.44,6611.0,0.325,14.0,43.099,54846.0,1.897,3999.0,7.0,3.69,0.33,1.0,3.029,59294.0,,88.0,0.0,0.786,74.0,3.0,2.138,1.403
2596,WATAUGA MEDICAL CENTER (340051),2020,Acute Care,Government - Local,94.0,36.198753,-81.652423,NC,,2.0,0.921,1377.0,1.639,17.0,10.37,15174.0,,781.0,0.0,0.518,,1.0,0.764,15183.0,,16.0,0.0,0.126,32.0,0.0,0.728,
2597,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER (340053),2020,Acute Care,Voluntary non-profit - Private,622.0,35.212879,-80.825614,NC,0.714,9.0,12.601,8855.0,0.256,26.0,101.716,134437.0,0.986,12051.0,14.0,14.2,0.593,7.0,11.811,165702.0,0.79,759.0,5.0,6.331,301.0,5.0,7.782,0.643
2598,UNC ROCKINGHAM (340060),2020,Acute Care,Voluntary non-profit - Private,229.0,36.49321,-79.740112,NC,0.0,0.0,1.518,2093.0,0.0,0.0,5.954,11997.0,,770.0,0.0,0.527,,0.0,0.553,12767.0,,25.0,0.0,0.222,20.0,0.0,0.566,
2599,UNIVERSITY OF NORTH CAROLINA HOSPITAL (340061),2020,Acute Care,Government - State,876.0,35.903551,-79.051894,NC,0.678,34.0,50.123,30392.0,0.635,131.0,206.144,242019.0,1.092,54213.0,71.0,65.014,0.344,10.0,29.051,266913.0,1.355,707.0,9.0,6.644,738.0,33.0,21.694,1.521
2600,WILKES REGIONAL MEDICAL CENTER (340064),2020,Acute Care,Government - Local,103.0,36.158465,-81.157013,NC,0.773,1.0,1.294,1806.0,0.539,3.0,5.564,12736.0,0.0,1613.0,0.0,1.098,,0.0,0.526,12837.0,,6.0,0.0,0.056,20.0,1.0,0.58,
2601,COLUMBUS REGIONAL HEALTHCARE SYSTEM (340068),2020,Acute Care,Voluntary non-profit - Other,154.0,34.338657,-78.693644,NC,,0.0,0.937,1798.0,0.438,5.0,11.41,19381.0,0.826,1972.0,1.0,1.211,,2.0,0.983,19976.0,,47.0,0.0,0.487,49.0,0.0,1.262,0.0
2602,"WAKEMED, RALEIGH CAMPUS (340069)",2020,Acute Care,Voluntary non-profit - Private,682.0,35.786139,-78.589067,NC,0.793,21.0,26.472,16942.0,0.446,55.0,123.355,168065.0,1.278,16440.0,25.0,19.561,0.81,13.0,16.042,195280.0,0.776,318.0,2.0,2.578,270.0,14.0,7.784,1.799
2603,ALAMANCE REGIONAL MEDICAL CENTER (340070),2020,Acute Care,Voluntary non-profit - Private,216.0,36.063749,-79.502528,NC,0.407,2.0,4.918,3860.0,0.457,12.0,26.285,39743.0,0.231,4149.0,1.0,4.332,0.388,1.0,2.577,44722.0,,29.0,1.0,0.257,101.0,4.0,2.615,1.53
2604,BETSY JOHNSON REGIONAL HOSPITAL (340071),2020,Acute Care,Voluntary non-profit - Private,134.0,35.306555,-78.633088,NC,2.787,6.0,2.153,3694.0,0.666,6.0,9.009,19824.0,0.816,1732.0,1.0,1.225,,3.0,0.698,21213.0,,54.0,0.0,0.488,18.0,0.0,0.494,
2605,DUKE HEALTH RALEIGH HOSPITAL (340073),2020,Acute Care,Voluntary non-profit - Private,162.0,35.828998,-78.619549,NC,1.498,8.0,5.342,5242.0,0.203,6.0,29.504,54799.0,1.146,6962.0,7.0,6.11,0.772,2.0,2.591,54799.0,,39.0,0.0,0.317,150.0,2.0,3.84,0.521
2606,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE (340075),2020,Acute Care,Proprietary,157.0,35.723793,-81.658223,NC,0.674,2.0,2.969,2894.0,0.667,25.0,37.47,25106.0,1.305,1700.0,2.0,1.533,0.537,1.0,1.861,27310.0,,12.0,0.0,0.117,105.0,4.0,2.89,1.384
2607,ATRIUM HEALTH ANSON (340084),2020,Acute Care,Government - Hospital District or Authority,48.0,34.978532,-80.109679,NC,,0.0,0.062,113.0,,0.0,0.364,1120.0,,,,,,0.0,0.027,1120.0,,,,,,,,
2608,NOVANT HEALTH THOMASVILLE MEDICAL CENTER (340085),2020,Acute Care,Voluntary non-profit - Private,128.0,35.882029,-80.11138,NC,,,,,0.0,0.0,7.213,14836.0,,,,,,0.0,0.686,16292.0,,57.0,1.0,0.46,51.0,1.0,1.285,0.778
2609,THE MCDOWELL HOSPITAL (340087),2020,Acute Care,Voluntary non-profit - Private,44.0,35.665187,-82.021772,NC,,1.0,0.575,1058.0,0.497,2.0,4.026,8892.0,,635.0,0.0,0.368,,0.0,0.269,9517.0,,36.0,0.0,0.354,52.0,4.0,1.372,2.915
2610,JOHNSTON HEALTH (340090),2020,Acute Care,Government - Hospital District or Authority,201.0,35.513161,-78.333659,NC,2.438,6.0,2.461,3376.0,0.658,16.0,24.328,45270.0,1.356,4124.0,4.0,2.949,0.0,0.0,1.915,49014.0,,66.0,1.0,0.562,82.0,0.0,2.255,0.0
2611,"MOSES H. CONE MEMORIAL HOSPITAL, THE (340091)",2020,Acute Care,Voluntary non-profit - Private,882.0,36.090652,-79.788815,NC,0.86,24.0,27.903,18023.0,0.268,34.0,127.088,214058.0,0.881,20018.0,18.0,20.429,0.634,8.0,12.628,236914.0,0.951,123.0,1.0,1.052,385.0,16.0,9.959,1.607
2612,LEXINGTON MEMORIAL HOSPITAL INC (340096),2020,Acute Care,Voluntary non-profit - Private,77.0,35.802754,-80.287224,NC,0.739,1.0,1.354,1786.0,0.851,5.0,5.877,14700.0,0.883,1434.0,1.0,1.132,,0.0,0.992,15424.0,,11.0,0.0,0.082,35.0,1.0,0.884,
2613,HUGH CHATHAM MEMORIAL HOSPITAL (340097),2020,Acute Care,Voluntary non-profit - Private,116.0,36.266391,-80.835793,NC,0.0,0.0,1.131,2208.0,1.37,7.0,5.111,8090.0,,1237.0,0.0,0.737,,0.0,0.374,8732.0,,12.0,0.0,0.091,16.0,1.0,0.428,
2614,CAROLINAS MEDICAL CENTER-PINEVILLE (340098),2020,Acute Care,Government - Hospital District or Authority,291.0,35.09135,-80.869529,NC,1.234,10.0,8.104,9585.0,0.495,22.0,44.48,68803.0,0.804,6125.0,4.0,4.978,1.524,5.0,3.281,75085.0,0.63,196.0,1.0,1.587,187.0,5.0,4.88,1.025
2615,VIDANT ROANOKE CHOWAN HOSPITAL (340099),2020,Acute Care,Voluntary non-profit - Private,103.0,36.285149,-76.993924,NC,1.634,2.0,1.224,1745.0,0.0,0.0,7.251,12488.0,,845.0,0.0,0.573,,1.0,0.432,13134.0,,22.0,0.0,0.2,10.0,0.0,0.234,
2616,VIDANT EDGECOMBE HOSPITAL (340107),2020,Acute Care,Government - Local,116.0,35.921885,-77.556994,NC,1.302,3.0,2.304,2523.0,0.444,3.0,6.751,12756.0,0.0,3128.0,0.0,2.647,,0.0,0.782,13923.0,,54.0,0.0,0.578,30.0,0.0,0.822,
2617,SENTARA ALBEMARLE MEDICAL CENTER (340109),2020,Acute Care,Government - Hospital District or Authority,122.0,36.32153,-76.22002,NC,0.0,0.0,1.021,1450.0,0.833,10.0,12.011,17689.0,,1262.0,0.0,0.908,,1.0,0.788,18299.0,,46.0,0.0,0.403,32.0,0.0,0.872,
2618,CAROLINAS MEDICAL CENTER/BEHAV HEALTH (340113),2020,Acute Care,Government - Hospital District or Authority,1148.0,35.204983,-80.839845,NC,0.528,28.0,53.052,30491.0,0.517,127.0,245.781,318800.0,1.144,40112.0,54.0,47.183,0.584,17.0,29.085,359236.0,0.779,585.0,4.0,5.138,734.0,14.0,21.578,0.649
2619,REX HOSPITAL (340114),2020,Acute Care,Government - State,560.0,35.815458,-78.705032,NC,0.703,27.0,38.404,27837.0,0.942,120.0,127.42,137484.0,0.679,19925.0,14.0,20.633,0.593,7.0,11.799,153389.0,0.199,620.0,1.0,5.022,642.0,22.0,16.815,1.308
2620,FIRSTHEALTH MOORE REGIONAL HOSPITAL (340115),2020,Acute Care,Voluntary non-profit - Private,456.0,35.206599,-79.458109,NC,0.85,7.0,8.24,9775.0,0.556,41.0,73.792,100877.0,0.669,11392.0,6.0,8.962,0.851,5.0,5.872,106664.0,0.0,264.0,0.0,2.311,188.0,7.0,4.766,1.469
2621,FRYE REGIONAL MEDICAL CENTER (340116),2020,Acute Care,Proprietary,355.0,35.737175,-81.337778,NC,0.447,3.0,6.706,4895.0,0.617,21.0,34.022,33598.0,0.945,3421.0,3.0,3.175,1.702,4.0,2.35,34435.0,,20.0,0.0,0.153,75.0,0.0,1.903,0.0
2622,STANLY REGIONAL MEDICAL CENTER (340119),2020,Acute Care,Voluntary non-profit - Private,111.0,35.362606,-80.194398,NC,0.0,0.0,1.523,2183.0,0.26,2.0,7.694,12718.0,,1052.0,2.0,0.721,,1.0,0.638,13632.0,,16.0,0.0,0.125,25.0,0.0,0.58,
2623,NMC Camp Lejeune (34011F),2020,Acute Care (DOD),Department of Defense,,,,,,0.0,0.399,495.0,,,,,,243.0,0.0,0.22,,,,,,,,,,,,
2624,VIDANT DUPLIN HOSPITAL (340120),2020,Acute Care,Government - Local,70.0,34.964769,-77.960479,NC,,0.0,0.797,1181.0,1.038,5.0,4.819,10334.0,,855.0,1.0,0.627,,1.0,0.702,11961.0,,12.0,0.0,0.102,5.0,0.0,0.125,
2625,RANDOLPH HOSPITAL (340123),2020,Acute Care,Voluntary non-profit - Private,145.0,35.711958,-79.814825,NC,,1.0,0.808,1545.0,0.628,7.0,11.143,17209.0,,939.0,2.0,0.603,2.634,3.0,1.139,18438.0,,54.0,0.0,0.446,49.0,1.0,1.325,0.755
2626,WILSON MEDICAL CENTER (340126),2020,Acute Care,Voluntary non-profit - Private,269.0,35.720524,-77.944047,NC,3.425,4.0,1.168,1705.0,1.235,9.0,7.287,28622.0,0.904,1700.0,1.0,1.106,,1.0,0.868,30342.0,,71.0,0.0,0.592,63.0,0.0,1.683,0.0
2627,GRANVILLE HEALTH SYSTEMS (340127),2020,Acute Care,Government - Local,122.0,36.326338,-78.594407,NC,,0.0,0.791,1531.0,0.0,0.0,4.365,7354.0,,768.0,0.0,0.47,,0.0,0.162,7773.0,,11.0,0.0,0.103,21.0,0.0,0.608,
2628,LAKE NORMAN REGIONAL MEDICAL CENTER (340129),2020,Acute Care,Proprietary,938.0,35.547748,-80.852939,NC,1.033,2.0,1.937,2696.0,0.703,6.0,8.538,15719.0,0.761,1908.0,1.0,1.314,,0.0,0.537,17466.0,,14.0,0.0,0.123,36.0,1.0,0.917,
2629,ATRIUM HEALTH UNION (340130),2020,Acute Care,Government - Hospital District or Authority,230.0,34.975111,-80.522853,NC,0.0,0.0,2.408,3440.0,0.298,6.0,20.131,33143.0,0.907,3140.0,2.0,2.204,0.603,1.0,1.658,35747.0,,48.0,0.0,0.387,111.0,3.0,2.978,1.007
2630,CAROLINA EAST MEDICAL CENTER (340131),2020,Acute Care,Government - Hospital District or Authority,304.0,35.111893,-77.066216,NC,0.798,4.0,5.013,5927.0,0.317,13.0,40.977,64519.0,0.0,7143.0,0.0,5.652,0.0,0.0,3.492,66753.0,0.0,163.0,0.0,1.394,109.0,2.0,2.653,0.754
2631,MARIA PARHAM MEDICAL CENTER (340132),2020,Acute Care,Proprietary,111.0,,,NC,0.0,0.0,2.075,2918.0,0.97,9.0,9.278,16348.0,0.0,2103.0,0.0,1.497,,1.0,0.794,17172.0,,5.0,0.0,0.048,60.0,0.0,1.527,0.0
2632,MARTIN GENERAL HOSPITAL (340133),2020,Acute Care,Government - Local,44.0,35.840477,-77.071178,NC,,0.0,0.358,697.0,0.0,0.0,1.613,4717.0,,275.0,0.0,0.167,,0.0,0.11,4717.0,,11.0,0.0,0.098,8.0,3.0,0.252,
2633,NEW HANOVER REGIONAL MEDICAL CENTER (340141),2020,Acute Care,Government - Local,761.0,34.206183,-77.924182,NC,0.702,19.0,27.071,19300.0,0.95,137.0,144.277,178531.0,0.855,23635.0,22.0,25.735,0.688,13.0,18.885,187760.0,0.639,749.0,4.0,6.257,482.0,7.0,13.29,0.527
2634,CARTERET GENERAL HOSPITAL (340142),2020,Acute Care,Proprietary,104.0,34.724814,-76.75413,NC,,1.0,0.844,1656.0,0.386,3.0,7.767,25306.0,,911.0,0.0,0.527,,0.0,0.797,26929.0,,78.0,0.0,0.618,119.0,2.0,2.906,0.688
2635,CATAWBA VALLEY MEDICAL CENTER (340143),2020,Acute Care,Voluntary non-profit - Other,258.0,35.711195,-81.264779,NC,0.698,3.0,4.298,6094.0,0.303,7.0,23.129,51029.0,1.335,4060.0,4.0,2.997,0.0,0.0,2.506,53803.0,0.0,151.0,0.0,1.174,104.0,0.0,2.353,0.0
2636,DAVIS REGIONAL MEDICAL CENTER (340144),2020,Acute Care,Proprietary,136.0,,,NC,,0.0,0.617,742.0,0.186,1.0,5.372,12890.0,,341.0,1.0,0.243,,0.0,0.598,12890.0,,59.0,0.0,0.496,16.0,0.0,0.464,
2637,ATRIUM HEALTH LINCOLN (340145),2020,Acute Care,Government - Hospital District or Authority,101.0,35.488387,-81.201314,NC,0.0,0.0,1.79,2511.0,0.247,3.0,12.149,19332.0,0.0,1614.0,0.0,1.098,0.0,0.0,1.231,20359.0,,16.0,1.0,0.114,38.0,0.0,1.008,0.0
2638,NASH GENERAL HOSPITAL (340147),2020,Acute Care,Government - Hospital District or Authority,341.0,35.973443,-77.848919,NC,1.129,5.0,4.43,6255.0,0.571,16.0,28.028,46007.0,1.563,4645.0,5.0,3.2,0.394,1.0,2.541,49540.0,,34.0,1.0,0.306,60.0,1.0,1.63,0.613
2639,NOVANT HEALTH MEDICAL PARK HOSPITAL (340148),2020,Acute Care,Voluntary non-profit - Other,24.0,36.078159,-80.295715,NC,,,,,0.0,0.0,1.004,4472.0,,,,,,1.0,0.096,4472.0,0.0,361.0,0.0,2.795,316.0,4.0,8.06,0.496
2640,Womack AMC (FT Bragg) (34014F),2020,Acute Care (DOD),Department of Defense,,,,,0.466,1.0,2.144,2705.0,,,,,0.0,1367.0,0.0,1.249,,,,,,,,,,,,
2641,HALIFAX REGIONAL MEDICAL CENTER INC (340151),2020,Acute Care,Voluntary non-profit - Private,124.0,36.435313,-77.647046,NC,0.929,2.0,2.153,3219.0,0.637,9.0,14.125,20154.0,2.481,1956.0,3.0,1.209,0.0,0.0,1.157,20983.0,,9.0,0.0,0.09,17.0,0.0,0.412,
2642,DUKE REGIONAL HOSPITAL (340155),2020,Acute Care,Government - Local,350.0,36.037439,-78.897037,NC,0.721,6.0,8.322,6501.0,0.768,37.0,48.152,70330.0,0.481,8677.0,4.0,8.313,0.736,4.0,5.434,79310.0,0.0,159.0,0.0,1.295,131.0,2.0,3.398,0.589
2643,CHEROKEE INDIAN HOSPITAL AUTHORITY (340156),2020,Acute Care,Government - Federal,21.0,,,NC,,0.0,0.164,302.0,,0.0,0.529,2820.0,,603.0,0.0,0.349,,0.0,0.074,2820.0,,,,,,,,
2644,NOVANT HEALTH BRUNSWICK MEDICAL CENTER (340158),2020,Acute Care,Voluntary non-profit - Other,63.0,34.009092,-78.289923,NC,,0.0,0.339,679.0,0.359,4.0,11.137,19708.0,,970.0,1.0,0.581,,0.0,0.617,20653.0,,104.0,1.0,0.953,109.0,1.0,2.679,0.373
2645,PERSON MEMORIAL HOSPITAL (340159),2020,Acute Care,Proprietary,100.0,36.407549,-78.984763,NC,,0.0,0.402,728.0,1.563,2.0,1.28,3915.0,,329.0,1.0,0.21,,0.0,0.095,3915.0,,,,,10.0,1.0,0.218,
2646,ATRIUM HEALTH UNIVERSITY CITY (340166),2020,Acute Care,Government - Hospital District or Authority,102.0,35.307836,-80.747985,NC,0.0,0.0,1.384,1752.0,0.288,4.0,13.909,25957.0,0.689,1774.0,1.0,1.451,0.726,1.0,1.378,30802.0,0.0,130.0,0.0,1.083,47.0,2.0,1.293,1.547
2647,NOVANT HEALTH MATTHEWS MEDICAL CENTER (340171),2020,Acute Care,Voluntary non-profit - Other,126.0,,,NC,0.824,2.0,2.427,3308.0,0.23,7.0,30.436,47102.0,0.0,2747.0,0.0,2.035,0.0,0.0,1.758,52851.0,1.188,210.0,2.0,1.684,232.0,8.0,6.094,1.313
2648,"WAKEMED, CARY HOSPITAL (340173)",2020,Acute Care,Voluntary non-profit - Private,179.0,35.740188,-78.779918,NC,1.423,5.0,3.514,4459.0,0.449,12.0,26.742,46291.0,2.698,2785.0,6.0,2.224,0.0,0.0,1.899,53772.0,1.847,133.0,2.0,1.083,216.0,2.0,5.596,0.357
2649,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER (340183),2020,Acute Care,Voluntary non-profit - Private,99.0,35.407899,-80.860744,NC,0.0,0.0,1.677,2191.0,0.141,3.0,21.212,33399.0,0.89,3077.0,2.0,2.246,0.0,0.0,1.612,38131.0,0.758,159.0,1.0,1.32,181.0,1.0,4.507,0.222
2650,HAYWOOD REGIONAL MEDICAL CENTER (340184),2020,Acute Care,Government - Hospital District or Authority,138.0,35.527856,-82.945437,NC,0.491,1.0,2.035,2528.0,0.46,6.0,13.044,20262.0,0.0,1481.0,0.0,1.186,0.0,0.0,1.269,20781.0,,48.0,0.0,0.41,48.0,0.0,1.234,0.0
2651,VIDANT BEAUFORT HOSPITAL (340186),2020,Acute Care,Voluntary non-profit - Private,90.0,35.548662,-77.038833,NC,,0.0,0.816,1549.0,0.14,2.0,14.305,48369.0,,1119.0,0.0,0.681,0.0,0.0,1.716,48609.0,,44.0,0.0,0.383,11.0,0.0,0.296,
2652,DAVIE MEDICAL CENTER (340187),2020,Acute Care,Voluntary non-profit - Private,33.0,35.90001,-80.570097,NC,,0.0,0.186,306.0,0.0,0.0,1.267,5678.0,,631.0,0.0,0.384,,0.0,0.172,5678.0,,,,,,,,
2653,CAPE FEAR VALLEY HOKE HOSPITAL (340188),2020,Acute Care,Voluntary non-profit - Private,41.0,35.031426,-79.108824,NC,,0.0,0.126,253.0,0.0,0.0,1.248,5690.0,,186.0,0.0,0.109,,0.0,0.119,5690.0,,,,,,,,
2654,NOVANT HEALTH MINT HILL MEDICAL CENTER (340190),2020,Acute Care,Voluntary non-profit - Private,31.0,,,NC,,0.0,0.224,397.0,0.811,2.0,2.467,7030.0,,632.0,0.0,0.419,,0.0,0.204,7676.0,,32.0,0.0,0.245,5.0,0.0,0.146,
2655,VIDANT BERTIE  HOSPITAL (341304),2020,Critical Access,Voluntary non-profit - Private,6.0,35.989355,-76.928183,NC,,0.0,0.117,179.0,,0.0,0.323,1462.0,,30.0,0.0,0.008,,0.0,0.031,1462.0,,,,,,,,
2656,DLP SWAIN COUNTY HOSPITAL LLC (341305),2020,Critical Access,Voluntary non-profit - Private,24.0,35.435123,-83.444688,NC,0.0,0.0,1.117,457.0,,1.0,0.885,4002.0,,779.0,0.0,0.212,,0.0,0.084,4002.0,,,,,,,,
2657,HIGHLANDS CASHIERS HOSPITAL (341316),2020,Critical Access,Voluntary non-profit - Private,55.0,35.085652,-83.18611,NC,,,,,,2.0,0.85,3122.0,,,,,,0.0,0.064,3122.0,,,,,,,,
2658,VIDANT CHOWAN HOSPITAL (341318),2020,Critical Access,Government - Local,29.0,36.070774,-76.609093,NC,,0.0,0.183,281.0,0.0,0.0,1.765,4510.0,,173.0,0.0,0.048,,0.0,0.105,5070.0,,22.0,0.0,0.196,6.0,0.0,0.14,
2659,"TRANSYLVANIA REGIONAL HOSPITAL, INC (341319)",2020,Critical Access,Voluntary non-profit - Private,35.0,35.256324,-82.715196,NC,0.447,1.0,2.237,916.0,0.337,1.0,2.971,6541.0,,248.0,1.0,0.067,,1.0,0.136,6541.0,,33.0,0.0,0.256,16.0,0.0,0.381,
2660,ST LUKES HOSPITAL (341322),2020,Critical Access,Voluntary non-profit - Private,32.0,35.241833,-82.213646,NC,,1.0,0.535,820.0,0.0,0.0,1.409,5161.0,,352.0,0.0,0.096,,0.0,0.108,5161.0,,,,,3.0,0.0,0.046,
2661,CHARLES A CANNON JR MEMORIAL HOSPITAL (341323),2020,Critical Access,Voluntary non-profit - Private,33.0,36.06748,-81.885678,NC,,0.0,0.072,110.0,,,,,,52.0,0.0,0.014,,,,,,,,,1.0,0.0,0.023,
2662,"THE OUTER BANKS HOSPITAL, INC (341324)",2020,Critical Access,Voluntary non-profit - Private,21.0,35.940862,-75.616923,NC,,0.0,0.236,361.0,1.497,2.0,1.336,3376.0,,48.0,0.0,0.013,,0.0,0.082,3946.0,,13.0,0.0,0.093,5.0,0.0,0.13,
2663,ANGEL MEDICAL CENTER (341326),2020,Critical Access,Voluntary non-profit - Private,25.0,35.184634,-83.37764,NC,0.0,0.0,2.152,881.0,1.071,3.0,2.801,6169.0,,175.0,0.0,0.047,,0.0,0.129,6169.0,,2.0,0.0,0.016,6.0,1.0,0.117,
2664,J ARTHUR DOSHER MEMORIAL HOSPITAL (341327),2020,Critical Access,Voluntary non-profit - Other,57.0,33.929038,-78.022194,NC,,0.0,0.359,147.0,,0.0,0.882,3141.0,,130.0,0.0,0.036,,0.0,0.065,3141.0,,8.0,0.0,0.056,4.0,0.0,0.095,
2665,MURPHY MEDICAL CENTER INC (341328),2020,Critical Access,Voluntary non-profit - Private,92.0,35.07316,-83.965424,NC,,0.0,0.869,1331.0,0.787,1.0,1.27,5756.0,,596.0,0.0,0.163,,0.0,0.121,5767.0,,10.0,0.0,0.091,24.0,0.0,0.621,
2666,BLUE RIDGE REGIONAL HOSPITAL (341329),2020,Critical Access,Voluntary non-profit - Private,25.0,35.91103,-82.064593,NC,,0.0,0.478,196.0,1.342,3.0,2.236,4925.0,,124.0,0.0,0.033,,0.0,0.103,4925.0,,,,,7.0,1.0,0.168,
2667,CHI ST ALEXIUS HEALTH (350002),2020,Acute Care,Voluntary non-profit - Private,237.0,46.806369,-100.777075,ND,0.688,3.0,4.36,3912.0,0.377,7.0,18.568,38385.0,0.615,3271.0,2.0,3.252,0.363,1.0,2.758,42508.0,,119.0,0.0,0.978,85.0,1.0,2.022,0.495
2668,TRINITY HOSPITALS (350006),2020,Acute Care,Voluntary non-profit - Private,490.0,48.232479,-101.288452,ND,0.516,4.0,7.75,7602.0,0.713,15.0,21.038,26894.0,0.146,7615.0,1.0,6.85,0.578,1.0,1.731,32139.0,,18.0,0.0,0.175,90.0,3.0,2.369,1.266
2669,SANFORD MEDICAL CENTER FARGO (350011),2020,Acute Care,Voluntary non-profit - Private,485.0,46.88468,-96.78773,ND,0.878,19.0,21.63,15790.0,0.78,63.0,80.818,122717.0,0.491,22062.0,11.0,22.417,0.375,4.0,10.654,139234.0,,48.0,2.0,0.419,358.0,10.0,10.175,0.983
2670,SANFORD MEDICAL CENTER BISMARCK (350015),2020,Acute Care,Voluntary non-profit - Private,223.0,46.807457,-100.781563,ND,0.496,4.0,8.064,6605.0,0.446,19.0,42.638,56550.0,0.358,7941.0,3.0,8.377,0.573,2.0,3.488,62358.0,,54.0,2.0,0.433,190.0,3.0,4.979,0.603
2671,ALTRU HOSPITAL (350019),2020,Acute Care,Government - Local,282.0,,,ND,0.686,7.0,10.21,7813.0,0.523,17.0,32.503,51444.0,0.599,9842.0,6.0,10.023,0.346,1.0,2.894,55344.0,,59.0,1.0,0.61,138.0,8.0,3.963,2.019
2672,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK (350063),2020,Acute Care,Government - Federal,27.0,,,ND,,0.0,0.087,179.0,,0.0,0.65,2673.0,,278.0,0.0,0.161,,0.0,0.052,2807.0,,,,,,,,
2673,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL (350064),2020,Acute Care,Government - Federal,12.0,,,ND,,0.0,0.063,115.0,,0.0,0.042,224.0,,30.0,0.0,0.017,,0.0,0.004,224.0,,,,,,,,
2674,ESSENTIA HEALTH (350070),2020,Acute Care,Voluntary non-profit - Private,126.0,46.8325,-96.828106,ND,1.266,2.0,1.58,1663.0,0.6,11.0,18.341,28746.0,0.0,2061.0,0.0,1.911,0.569,1.0,1.759,33388.0,,66.0,0.0,0.577,94.0,2.0,2.463,0.812
2675,GARRISON MEMORIAL HOSPITAL (351303),2020,Critical Access,Voluntary non-profit - Church,50.0,47.648342,-101.411301,ND,,0.0,0.028,42.0,,0.0,0.029,128.0,,13.0,0.0,0.004,,0.0,0.005,270.0,,,,,,,,
2676,CHI ST ALEXIUS HEALTH TURTLE LAKE (351304),2020,Critical Access,Voluntary non-profit - Private,24.0,47.517925,-100.894442,ND,,,,,,0.0,0.011,46.0,,,,,,0.0,0.001,46.0,,,,,,,,
2677,SANFORD MAYVILLE (351309),2020,Critical Access,Voluntary non-profit - Private,25.0,47.500684,-97.317368,ND,,0.0,0.058,89.0,,0.0,0.203,919.0,,,,,,0.0,0.019,919.0,,,,,,,,
2678,LISBON AREA HEALTH SERVICES (351311),2020,Critical Access,Voluntary non-profit - Private,25.0,46.437002,-97.681427,ND,,0.0,0.202,83.0,,0.0,0.143,501.0,,20.0,0.0,0.005,,0.0,0.01,501.0,,,,,,,,
2679,NORTHWOOD DEACONESS HEALTH CENTER (351312),2020,Critical Access,Voluntary non-profit - Church,63.0,,,ND,,0.0,0.004,6.0,,0.0,0.287,1299.0,,4.0,0.0,0.002,,0.0,0.028,1299.0,,,,,,,,
2680,OAKES COMMUNITY HOSPITAL (351315),2020,Critical Access,Voluntary non-profit - Private,20.0,46.150796,-98.090433,ND,,0.0,0.073,112.0,,0.0,0.107,486.0,,190.0,0.0,0.053,,0.0,0.01,486.0,,,,,,,,
2681,CARRINGTON HEALTH CENTER (351318),2020,Critical Access,Voluntary non-profit - Private,25.0,,,ND,,0.0,0.035,53.0,,0.0,0.518,1468.0,,39.0,0.0,0.01,,0.0,0.03,1468.0,,,,,,,,
2682,CHI MERCY HEALTH (351324),2020,Critical Access,Voluntary non-profit - Church,25.0,46.928492,-97.994908,ND,,0.0,0.189,288.0,,0.0,0.766,3468.0,,150.0,0.0,0.04,,0.0,0.073,3468.0,,,,,,,,
2683,CHI ST ALEXIUS HEALTH DEVILS LAKE (351333),2020,Critical Access,Voluntary non-profit - Private,25.0,48.114774,-98.850345,ND,,0.0,0.115,175.0,,0.0,0.567,2564.0,,581.0,0.0,0.157,,0.0,0.053,2564.0,,,,,,,,
2684,CHI ST ALEXIUS HEALTH WILLISTON (351334),2020,Critical Access,Voluntary non-profit - Church,25.0,48.154332,-103.645437,ND,,0.0,0.381,583.0,1.193,2.0,1.677,4950.0,,203.0,0.0,0.055,,0.0,0.103,4950.0,,2.0,0.0,0.015,,,,
2685,JAMESTOWN REGIONAL MEDICAL CENTER (351335),2020,Critical Access,Voluntary non-profit - Other,25.0,46.88794,-98.749377,ND,,0.0,0.148,226.0,,0.0,0.439,1232.0,,68.0,0.0,0.019,,0.0,0.031,1496.0,,3.0,0.0,0.02,3.0,0.0,0.062,
