,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1840,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2016,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,1.597,4.0,2.505,5591.0,,325.0,0.0,0.219,,0.0,0.167,6064.0,,0.0,0.051,0.0,0.074,
1841,HUTCHINSON HEALTH (240187),2016,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,0.337,1.0,2.966,4384.0,,123.0,1.0,0.083,,0.0,0.106,4852.0,,0.0,0.221,0.0,0.517,
1842,PHILLIPS EYE INSTITUTE (240196),2016,Acute Care,Government - Federal,8.0,,,MN,,0.0,0.007,45.0,,,,,,0.0,0.0,45.0,,,,,,
1843,RED LAKE HOSPITAL A (240206),2016,Acute Care,Government - Federal,23.0,,,MN,,0.0,0.137,823.0,,,,,,0.0,0.015,753.0,,,,,,
1844,FAIRVIEW RIDGES HOSPITAL (240207),2016,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,1.649,43.0,26.081,36683.0,0.892,4974.0,3.0,3.364,0.0,0.0,1.648,44793.0,,2.0,0.642,5.0,4.542,1.101
1845,HEALTHEAST ST JOHN'S HOSPITAL (240210),2016,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,0.661,23.0,34.771,48383.0,0.998,3584.0,3.0,3.005,0.387,1.0,2.581,55483.0,0.0,0.0,2.096,2.0,4.658,0.429
1846,HEALTHEAST WOODWINDS HOSPITAL (240213),2016,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,1.515,13.0,8.581,25151.0,,531.0,0.0,0.346,,0.0,0.609,29553.0,,0.0,0.328,2.0,0.573,
1847,MAPLE GROVE HOSPITAL (240214),2016,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,0.566,7.0,12.377,30285.0,,1147.0,0.0,0.805,0.0,0.0,1.124,43748.0,,0.0,0.728,4.0,1.667,2.4
1848,MAHNOMEN HEALTH CENTER (241300),2016,Critical Access,Government - Local,47.0,,,MN,,0.0,0.09,198.0,,31.0,0.0,0.009,,0.0,0.004,198.0,,,,,,
1849,COOK HOSPITAL (241312),2016,Critical Access,Government - Hospital District or Authority,42.0,47.853468,-92.680032,MN,,,,,,25.0,0.0,0.008,,,,,,,,,,
1850,ESSENTIA HEALTH ADA (241313),2016,Critical Access,Voluntary non-profit - Private,14.0,47.296091,-96.53019,MN,,,,,,23.0,0.0,0.007,,,,,,,,,,
1851,CHIPPEWA COUNTY HOSPITAL (241325),2016,Critical Access,Government - Local,25.0,44.953989,-95.713586,MN,,0.0,0.004,18.0,,,,,,,,,,,,,,
1852,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL (241330),2016,Critical Access,Voluntary non-profit - Private,95.0,45.674916,-94.823435,MN,,,,,,125.0,0.0,0.037,,,,,,,,,,
1853,APPLETON MUNICIPAL HOSPITAL (241341),2016,Critical Access,Government - Local,67.0,45.199658,-96.009224,MN,,,,,,21.0,0.0,0.006,,,,,,,,,,
1854,ORTONVILLE AREA HEALTH SERVICES (241342),2016,Critical Access,Government - Local,82.0,45.314769,-96.446563,MN,,,,,,116.0,0.0,0.035,,,,,,,,0.0,0.016,
1855,SANFORD CANBY MEDICAL CENTER (241347),2016,Critical Access,Government - Hospital District or Authority,84.0,44.707899,-96.277555,MN,,0.0,0.049,224.0,,,,,,0.0,0.005,224.0,,,,,,
1856,MERCY HOSPITAL (241350),2016,Critical Access,Government - Hospital District or Authority,25.0,46.442545,-92.775725,MN,,0.0,0.657,1763.0,,57.0,0.0,0.017,,0.0,0.013,628.0,,,,0.0,0.038,
1857,REDWOOD AREA HOSPITAL (241351),2016,Critical Access,Government - Local,25.0,44.53703,-95.107268,MN,,0.0,0.316,948.0,,,,,,,,,,,,,,
1858,GLENCOE REGIONAL HEALTH SERVICES (241355),2016,Critical Access,Voluntary non-profit - Private,132.0,44.77755,-94.151714,MN,,2.0,0.306,1040.0,,,,,,,,,,,,,,
1859,MILLE LACS HEALTH SYSTEM (241356),2016,Critical Access,Voluntary non-profit - Private,89.0,46.072467,-93.661823,MN,,0.0,0.6,1322.0,,27.0,0.0,0.008,,0.0,0.028,1322.0,,0.0,0.015,,,
1860,ST FRANCIS MEDICAL CENTER (241377),2016,Critical Access,Voluntary non-profit - Church,122.0,46.291314,-96.590433,MN,,1.0,0.664,3008.0,,121.0,0.0,0.036,,0.0,0.069,3309.0,,,,,,
1861,ST JOSEPHS AREA  HEALTH SERVICES (241380),2016,Critical Access,Voluntary non-profit - Private,25.0,46.9157,-95.061504,MN,,2.0,0.929,4207.0,,,,,,,,,,,,,,
1862,UNIVERSITY OF MISSISSIPPI MED CENTER (250001),2016,Acute Care,Government - State,685.0,32.328783,-90.17558,MS,0.745,100.0,134.273,160299.0,1.361,37447.0,64.0,47.017,1.916,33.0,17.222,193800.0,0.799,2.0,2.504,22.0,7.074,3.11
1863,TISHOMINGO HEALTH SERVICES INC (250002),2016,Acute Care,Voluntary non-profit - Private,48.0,34.803686,-88.209218,MS,,0.0,0.883,4822.0,,,,,,0.0,0.115,4822.0,,,,,,
1864,NORTH MISSISSIPPI MEDICAL CENTER (250004),2016,Acute Care,Voluntary non-profit - Private,627.0,34.242203,-88.717758,MS,0.587,55.0,93.745,124517.0,0.884,22612.0,18.0,20.364,1.983,13.0,6.555,131488.0,0.0,0.0,1.19,3.0,6.88,0.436
1865,BAPTIST MEMORIAL HOSPITAL UNION COUNTY (250006),2016,Acute Care,Voluntary non-profit - Other,98.0,,,MS,0.322,1.0,3.103,10092.0,,477.0,0.0,0.318,,0.0,0.287,10092.0,,0.0,0.25,2.0,0.567,
1866,MERIT HEALTH BILOXI (250007),2016,Acute Care,Proprietary,190.0,30.396112,-88.890438,MS,0.497,13.0,26.152,34631.0,0.564,2599.0,1.0,1.772,0.0,0.0,1.407,36473.0,1.736,2.0,1.152,0.0,0.916,
1867,MAGNOLIA REGIONAL HEALTH CENTER (250009),2016,Acute Care,Voluntary non-profit - Other,193.0,34.935867,-88.558648,MS,1.417,42.0,29.638,37256.0,0.0,2424.0,0.0,2.129,0.605,1.0,1.652,37256.0,,0.0,0.3,1.0,1.248,0.801
1868,ALLIANCE HEALTHCARE SYSTEM (250012),2016,Acute Care,Physician,40.0,34.786835,-89.415027,MS,,0.0,0.814,4246.0,,295.0,0.0,0.192,,0.0,0.08,4246.0,,,,,,
1869,TRACE REGIONAL HOSP AND SWING BED (250017),2016,Acute Care,Proprietary,119.0,33.89479,-88.985085,MS,,0.0,0.132,807.0,,,,,,0.0,0.019,807.0,,,,,,
1870,MEMORIAL HOSPITAL AT GULFPORT (250019),2016,Acute Care,Government - Local,431.0,30.366928,-89.114907,MS,0.935,58.0,62.056,75079.0,0.515,14001.0,6.0,11.658,0.637,3.0,4.71,81408.0,,1.0,0.477,0.0,1.535,0.0
1871,WEBSTER GENERAL HOSPITAL/ SWING BED (250020),2016,Acute Care,Voluntary non-profit - Other,38.0,33.534736,-89.266943,MS,0.0,0.0,1.398,7196.0,,329.0,0.0,0.214,,0.0,0.188,7196.0,,,,,,
1872,MERIT HEALTH GILMORE MEMORIAL (250025),2016,Acute Care,Proprietary,95.0,33.977551,-88.477625,MS,,0.0,0.979,3147.0,,223.0,0.0,0.153,,0.0,0.09,3611.0,,0.0,0.053,0.0,1.426,0.0
1873,WINSTON MEDICAL CENTER & SWINGBED (250027),2016,Acute Care,Voluntary non-profit - Private,136.0,33.124291,-89.036671,MS,,0.0,0.195,1080.0,,,,,,0.0,0.019,1080.0,,,,,,
1874,MERIT HEALTH RIVER REGION (250031),2016,Acute Care,Proprietary,298.0,32.374802,-90.827497,MS,0.479,12.0,25.058,38900.0,2.721,9886.0,22.0,8.086,1.353,3.0,2.218,40342.0,0.0,0.0,1.867,1.0,1.706,0.586
1875,BAPTIST MEMORIAL HOSPITAL NORTH MS (250034),2016,Acute Care,Voluntary non-profit - Private,209.0,34.346609,-89.5212,MS,0.797,19.0,23.848,37381.0,1.599,6461.0,7.0,4.377,0.575,1.0,1.738,39223.0,,4.0,0.924,0.0,3.295,0.0
1876,GEORGE REGIONAL HEALTH SYSTEM (250036),2016,Acute Care,Government - Local,41.0,30.922235,-88.592853,MS,0.0,0.0,1.645,4936.0,,28.0,0.0,0.02,,0.0,0.117,4936.0,,0.0,0.086,0.0,0.186,
1877,MERIT HEALTH MADISON (250038),2016,Acute Care,Proprietary,67.0,32.582157,-90.081677,MS,0.604,1.0,1.655,3737.0,,648.0,2.0,0.503,,0.0,0.167,4641.0,,0.0,0.179,0.0,0.202,
1878,SINGING RIVER HOSPITAL (250040),2016,Acute Care,Government - Local,393.0,30.374871,-88.532404,MS,1.025,49.0,47.799,68461.0,2.428,6074.0,11.0,4.531,3.181,12.0,3.772,72734.0,,1.0,0.681,0.0,4.04,0.0
1879,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER (250042),2016,Acute Care,Proprietary,181.0,34.197133,-90.552764,MS,0.742,5.0,6.738,14878.0,0.966,1526.0,1.0,1.035,,1.0,0.564,15169.0,,1.0,0.433,1.0,0.552,
1880,NESHOBA COUNTY GENERAL HOSPITAL (250043),2016,Acute Care,Government - Local,207.0,32.757816,-89.105415,MS,,1.0,0.977,4543.0,,,,,,2.0,0.122,4543.0,,,,,,
1881,BAPTIST MEMORIAL HOSPITAL BOONEVILLE (250044),2016,Acute Care,Voluntary non-profit - Church,55.0,34.656337,-88.565763,MS,0.48,1.0,2.085,6938.0,,274.0,0.0,0.189,,0.0,0.261,6938.0,,0.0,0.017,,,
1882,ST DOMINIC-JACKSON MEMORIAL HOSPITAL (250048),2016,Acute Care,Voluntary non-profit - Church,548.0,32.333691,-90.165103,MS,0.648,62.0,95.615,137817.0,0.074,16176.0,1.0,13.5,0.631,5.0,7.925,143691.0,0.57,2.0,3.51,1.0,8.152,0.123
1883,BEACHAM MEMORIAL HOSPITAL (250049),2016,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,,0.0,0.508,3121.0,,,,,,0.0,0.071,3944.0,,,,,,
1884,OCH REGIONAL MEDICAL CENTER (250050),2016,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,0.0,0.0,3.127,9403.0,,821.0,0.0,0.552,,0.0,0.254,11559.0,,0.0,0.743,1.0,1.109,0.902
1885,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2016,Acute Care,Voluntary non-profit - Other,96.0,,,MS,0.307,1.0,3.254,10172.0,,844.0,1.0,0.568,,1.0,0.516,11541.0,,0.0,0.177,2.0,1.057,1.892
1886,SOUTH CENTRAL REG MED CTR (250058),2016,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,1.113,18.0,16.175,35734.0,1.385,4446.0,5.0,3.609,0.784,1.0,1.276,31556.0,,4.0,0.789,1.0,1.429,0.7
1887,JEFFERSON COUNTY HOSPITAL (250060),2016,Acute Care,Government - Local,30.0,,,MS,,,,,,,,,,0.0,0.002,109.0,,,,,,
1888,YALOBUSHA GENERAL HOSPITAL (250061),2016,Acute Care,Government - Local,148.0,34.1307,-89.641013,MS,,0.0,0.079,485.0,,46.0,0.0,0.03,,0.0,0.009,485.0,,,,,,
1889,CLAY COUNTY MEDICAL CENTER (250067),2016,Acute Care,Voluntary non-profit - Private,54.0,33.618616,-88.661549,MS,0.88,2.0,2.274,4805.0,,324.0,0.0,0.215,,0.0,0.11,5663.0,1.667,2.0,1.2,0.0,0.106,
1890,RUSH FOUNDATION HOSPITAL (250069),2016,Acute Care,Voluntary non-profit - Private,183.0,32.370664,-88.697779,MS,0.749,13.0,17.356,26367.0,3.044,2760.0,6.0,1.971,1.531,2.0,1.306,30719.0,,1.0,0.213,3.0,2.771,1.083
1891,MERIT HEALTH CENTRAL (250072),2016,Acute Care,Proprietary,336.0,32.286929,-90.255755,MS,0.207,5.0,24.182,41148.0,1.74,5047.0,9.0,5.173,0.371,1.0,2.699,44193.0,,0.0,0.878,0.0,1.583,0.0
1892,WAYNE GENERAL HOSPITAL (250077),2016,Acute Care,Government - Local,61.0,31.673601,-88.633312,MS,,,,,,628.0,0.0,0.459,,0.0,0.0,6.0,,0.0,0.039,0.0,0.169,
1893,FORREST GENERAL HOSPITAL (250078),2016,Acute Care,Government - Local,458.0,,,MS,0.589,64.0,108.589,128766.0,1.197,15649.0,19.0,15.868,0.549,7.0,12.742,134916.0,,2.0,0.731,8.0,4.698,1.703
1894,ANDERSON RMC SOUTH (250081),2016,Acute Care,Proprietary,75.0,32.36779,-88.699315,MS,1.762,3.0,1.703,8413.0,,229.0,0.0,0.175,,0.0,0.194,8606.0,,,,,,
1895,DELTA REGIONAL MEDICAL CENTER (250082),2016,Acute Care,Government - Local,200.0,33.409907,-91.035243,MS,0.472,9.0,19.082,32878.0,2.878,3820.0,8.0,2.78,1.603,3.0,1.872,36385.0,,1.0,0.7,0.0,1.049,0.0
1896,MERIT HEALTH NATCHEZ (250084),2016,Acute Care,Proprietary,179.0,,,MS,1.376,4.0,2.906,9057.0,,667.0,1.0,0.496,,1.0,0.291,9524.0,,0.0,0.037,0.0,0.354,
1897,MARION GENERAL HOSPITAL (250085),2016,Acute Care,Voluntary non-profit - Other,47.0,31.256354,-89.806273,MS,1.317,6.0,4.557,7908.0,,560.0,0.0,0.365,,0.0,0.228,7908.0,,,,,,
1898,BOLIVAR MEDICAL CENTER (250093),2016,Acute Care,Proprietary,199.0,33.747471,-90.708128,MS,0.263,1.0,3.798,14002.0,,658.0,0.0,0.454,,0.0,0.588,14002.0,,0.0,0.117,0.0,1.202,0.0
1899,MERIT HEALTH WESLEY (250094),2016,Acute Care,Voluntary non-profit - Private,187.0,31.323058,-89.3669,MS,0.567,4.0,7.056,16570.0,0.0,2573.0,0.0,2.29,,0.0,0.729,17480.0,,0.0,0.748,0.0,2.087,0.0
1900,SOUTH SUNFLOWER COUNTY HOSPITAL (250095),2016,Acute Care,Government - Local,48.0,33.457234,-90.65024,MS,,2.0,0.523,2775.0,,145.0,0.0,0.094,,2.0,0.071,2791.0,,,,,,
1901,MERIT HEALTH RANKIN (250096),2016,Acute Care,Proprietary,122.0,32.286214,-90.03596,MS,0.241,1.0,4.155,13934.0,,604.0,0.0,0.432,,1.0,0.632,13934.0,,,,2.0,0.22,
1902,SOUTHWEST MS REGIONAL MEDICAL CENTER (250097),2016,Acute Care,Government - Local,148.0,,,MS,0.0,0.0,10.156,22104.0,2.015,2661.0,5.0,2.481,0.0,0.0,1.316,23643.0,0.956,1.0,1.046,0.0,1.767,0.0
1903,GREENWOOD LEFLORE HOSPITAL (250099),2016,Acute Care,Government - Local,207.0,33.518254,-90.200189,MS,1.127,13.0,11.533,20271.0,0.722,2076.0,1.0,1.386,0.0,0.0,1.201,21126.0,,0.0,0.333,0.0,1.0,0.0
1904,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC (250100),2016,Acute Care,Voluntary non-profit - Private,272.0,33.526488,-88.429071,MS,0.327,7.0,21.412,36332.0,0.817,2872.0,2.0,2.447,0.0,0.0,1.965,38862.0,0.0,0.0,1.163,1.0,2.6,0.385
1905,MISSISSIPPI BAPTIST MEDICAL CENTER (250102),2016,Acute Care,Voluntary non-profit - Private,527.0,32.314278,-90.178228,MS,1.022,84.0,82.179,106093.0,1.817,22407.0,33.0,18.163,1.06,8.0,7.549,114501.0,1.699,4.0,2.355,16.0,10.218,1.566
1906,ANDERSON REGIONAL MEDICAL CTR (250104),2016,Acute Care,Voluntary non-profit - Private,261.0,32.370775,-88.699858,MS,0.595,14.0,23.521,46934.0,0.907,4303.0,3.0,3.307,0.784,2.0,2.55,51236.0,,1.0,0.523,3.0,2.825,1.062
1907,HIGHLAND COMMUNITY  HOSPITAL (250117),2016,Acute Care,Government - Hospital District or Authority,54.0,30.552471,-89.665422,MS,0.601,2.0,3.33,6784.0,,299.0,0.0,0.205,,0.0,0.182,7417.0,,0.0,0.236,1.0,0.757,
1908,GARDEN PARK MEDICAL CENTER (250123),2016,Acute Care,Proprietary,129.0,30.44201,-89.092766,MS,0.4,3.0,7.497,21327.0,0.0,2863.0,0.0,1.94,,0.0,0.743,21600.0,,0.0,0.499,0.0,0.831,
1909,MAGEE GENERAL HOSPITAL (250124),2016,Acute Care,Voluntary non-profit - Private,50.0,31.870585,-89.728389,MS,0.686,1.0,1.458,7637.0,,,,,,1.0,0.159,8202.0,,,,,,
1910,NORTH OAK REGIONAL MEDICAL CENTER (250126),2016,Acute Care,Proprietary,41.0,,,MS,,1.0,0.374,2279.0,,26.0,0.0,0.016,,0.0,0.062,2643.0,,0.0,0.156,0.0,0.038,
1911,CHOCTAW HEALTH CENTER (250127),2016,Acute Care,Government - Federal,20.0,,,MS,,2.0,0.003,19.0,,169.0,0.0,0.109,,,,,,,,,,
1912,MERIT HEALTH BATESVILLE (250128),2016,Acute Care,Proprietary,98.0,34.306319,-89.916488,MS,0.489,1.0,2.047,10223.0,,111.0,0.0,0.092,,0.0,0.205,10720.0,,0.0,0.041,0.0,0.08,
1913,WHITFIELD MEDICAL SURGICAL HOSPITAL (250134),2016,Acute Care,Government - State,32.0,,,MS,,1.0,0.709,1796.0,,,,,,0.0,0.043,1796.0,,,,,,
1914,MERIT HEALTH WOMEN'S HOSPITAL (250136),2016,Acute Care,Proprietary,59.0,32.32583,-90.106656,MS,,0.0,0.236,1096.0,,44.0,0.0,0.035,,0.0,0.073,4496.0,1.378,4.0,2.902,0.0,0.044,
1915,MERIT HEALTH RIVER OAKS (250138),2016,Acute Care,Proprietary,158.0,32.32614,-90.106447,MS,0.371,4.0,10.789,17729.0,1.323,1394.0,2.0,1.512,,0.0,0.481,23945.0,,1.0,0.657,0.0,0.663,
1916,BAPTIST MEMORIAL HOSPITAL DESOTO (250141),2016,Acute Care,Voluntary non-profit - Private,336.0,34.968348,-89.995535,MS,0.519,49.0,94.421,80349.0,1.139,13147.0,12.0,10.538,0.439,2.0,4.559,85321.0,,5.0,0.983,3.0,2.537,1.182
1917,ALLIANCE HEALTH CENTER (250151),2016,Acute Care,Proprietary,195.0,32.409988,-88.678811,MS,0.0,0.0,5.668,29233.0,,,,,,0.0,0.497,29233.0,,,,,,
1918,HANCOCK MEDICAL CENTER (250162),2016,Acute Care,Government - Local,68.0,30.31304,-89.355657,MS,0.0,0.0,1.43,4711.0,,191.0,0.0,0.132,,0.0,0.116,5146.0,,0.0,0.338,0.0,0.161,
1919,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL (250167),2016,Acute Care,Voluntary non-profit - Private,51.0,34.922615,-89.794873,MS,0.615,2.0,3.252,6470.0,0.0,1392.0,0.0,1.225,,0.0,0.202,7050.0,,1.0,0.205,1.0,0.492,
1920,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA (250168),2016,Acute Care,Government - State,80.0,33.763307,-89.817532,MS,0.806,5.0,6.204,11663.0,,1173.0,0.0,0.905,,0.0,0.449,12380.0,,1.0,0.229,0.0,1.349,0.0
1921,PONTOTOC HEALTH SERVICE CAH (251308),2016,Critical Access,Voluntary non-profit - Private,25.0,34.242827,-88.9968,MS,1.239,2.0,1.614,5821.0,,2.0,0.0,0.001,,0.0,0.121,5821.0,,,,,,
1922,CALHOUN HEALTH SERVICES (251331),2016,Critical Access,Government - Local,56.0,33.869665,-89.317176,MS,0.589,1.0,1.697,3736.0,,,,,,0.0,0.078,3736.0,,,,,,
1923,TIPPAH COUNTY HOSPITAL (251337),2016,Critical Access,Government - Local,69.0,34.739322,-88.949512,MS,,,,,,,,,,0.0,0.0,6.0,,,,,,
1924,MERCY HOSPITAL JOPLIN (260001),2016,Acute Care,Voluntary non-profit - Church,222.0,37.034697,-94.511799,MO,1.224,46.0,37.594,48290.0,0.607,9494.0,4.0,6.585,0.579,2.0,3.452,51546.0,,0.0,0.262,0.0,3.036,0.0
1925,COOPER COUNTY MEMORIAL HOSPITAL (260004),2016,Acute Care,Voluntary non-profit - Other,65.0,38.943533,-92.742075,MO,0.0,0.0,1.131,5753.0,,,,,,0.0,0.147,5763.0,,,,,,
1926,SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES (260005),2016,Acute Care,Voluntary non-profit - Private,394.0,38.780377,-90.484508,MO,0.457,17.0,37.194,67658.0,1.427,4863.0,5.0,3.503,0.268,1.0,3.737,67882.0,,0.0,0.362,2.0,3.203,0.624
1927,MOSAIC LIFE CARE AT ST JOSEPH (260006),2016,Acute Care,Voluntary non-profit - Private,352.0,39.770201,-94.770247,MO,0.948,35.0,36.906,68355.0,0.82,7143.0,4.0,4.879,1.435,3.0,2.09,72614.0,,1.0,0.287,9.0,5.528,1.628
1928,BOTHWELL REGIONAL HEALTH CENTER (260009),2016,Acute Care,Government - Local,127.0,38.699051,-93.222089,MO,0.398,4.0,10.053,20018.0,,434.0,1.0,0.336,,0.0,0.576,20018.0,,0.0,0.419,2.0,1.484,1.348
1929,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY (260011),2016,Acute Care,Proprietary,167.0,38.560142,-92.220285,MO,0.734,12.0,16.352,27542.0,6.761,2594.0,12.0,1.775,0.0,0.0,1.103,29375.0,,0.0,0.183,0.0,2.127,0.0
1930,TWIN RIVERS REGIONAL MEDICAL CENTER (260015),2016,Acute Care,Proprietary,116.0,,,MO,0.649,2.0,3.083,10082.0,,136.0,0.0,0.109,,0.0,0.229,10158.0,,0.0,0.145,0.0,0.034,
1931,PHELPS COUNTY REGIONAL MEDICAL CENTER (260017),2016,Acute Care,Government - Local,242.0,37.951442,-91.784993,MO,0.899,7.0,7.789,19943.0,0.0,2942.0,0.0,1.997,0.0,0.0,1.087,21930.0,,0.0,0.205,0.0,1.488,0.0
1932,MERCY HOSPITAL ST LOUIS (260020),2016,Acute Care,Voluntary non-profit - Private,902.0,,,MO,1.153,158.0,136.996,157243.0,0.432,23258.0,13.0,30.095,1.557,15.0,9.637,183584.0,0.0,0.0,6.163,1.0,11.506,0.087
1933,NORTHEAST REGIONAL MEDICAL CENTER (260022),2016,Acute Care,Proprietary,83.0,40.192523,-92.590849,MO,1.195,7.0,5.856,11044.0,0.0,1334.0,0.0,1.104,,0.0,0.546,12172.0,,0.0,0.076,1.0,0.874,
1934,MERCY HOSPITAL JEFFERSON (260023),2016,Acute Care,Voluntary non-profit - Private,303.0,38.195962,-90.395423,MO,1.314,38.0,28.926,36577.0,0.631,4328.0,2.0,3.172,0.0,0.0,1.778,37437.0,,0.0,0.38,0.0,1.16,0.0
1935,TEXAS COUNTY MEMORIAL HOSPITAL (260024),2016,Acute Care,Voluntary non-profit - Other,47.0,37.315756,-91.959559,MO,1.186,2.0,1.687,4075.0,,432.0,1.0,0.294,,0.0,0.079,4437.0,,0.0,0.035,1.0,0.281,
1936,HANNIBAL REGIONAL HOSPITAL (260025),2016,Acute Care,Voluntary non-profit - Private,98.0,39.710595,-91.443967,MO,0.409,2.0,4.891,15627.0,,972.0,1.0,0.679,,2.0,0.739,15627.0,,0.0,0.124,0.0,0.856,
1937,RESEARCH MEDICAL CENTER (260027),2016,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,1.374,76.0,55.301,75834.0,0.924,11404.0,11.0,11.9,0.486,3.0,6.167,80582.0,2.04,6.0,2.941,7.0,4.887,1.432
1938,BARNES JEWISH HOSPITAL (260032),2016,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,0.968,189.0,195.348,304279.0,1.43,61708.0,89.0,62.254,0.724,25.0,34.553,317456.0,0.693,4.0,5.776,38.0,20.507,1.853
1939,BATES COUNTY MEMORIAL HOSPITAL (260034),2016,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,0.493,1.0,2.027,5105.0,,443.0,0.0,0.291,,1.0,0.1,5105.0,,,,0.0,0.058,
1940,COX MEDICAL CENTERS (260040),2016,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,0.73,91.0,124.728,160021.0,0.504,16872.0,9.0,17.855,0.66,6.0,9.096,172613.0,0.296,1.0,3.381,5.0,8.237,0.607
1941,CAPITAL REGION MEDICAL CENTER (260047),2016,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,0.499,6.0,12.019,19257.0,,913.0,0.0,0.774,,0.0,0.872,19257.0,,0.0,0.276,3.0,1.692,1.773
1942,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2016,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,0.715,34.0,47.545,69390.0,2.624,9610.0,21.0,8.003,1.072,5.0,4.665,77337.0,,0.0,0.816,5.0,3.131,1.597
1943,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE (260050),2016,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,0.487,1.0,2.052,6252.0,,50.0,0.0,0.034,,0.0,0.135,6877.0,,0.0,0.073,,,
1944,MERCY HOSPITAL WASHINGTON (260052),2016,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,0.821,13.0,15.83,22042.0,1.91,1472.0,2.0,1.047,,0.0,0.642,23832.0,,0.0,0.168,2.0,2.494,0.802
1945,CAMERON REGIONAL MEDICAL CENTER (260057),2016,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,0.0,0.0,1.093,4279.0,,1354.0,0.0,0.912,,0.0,0.121,5464.0,,0.0,0.113,0.0,0.19,
1946,MERCY HOSPITAL LEBANON (260059),2016,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,1.587,4.0,2.521,6567.0,,644.0,1.0,0.526,,0.0,0.157,7273.0,,0.0,0.017,0.0,0.267,
1947,NEVADA REGIONAL MEDICAL CENTER (260061),2016,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,,0.0,0.201,702.0,,26.0,0.0,0.018,,0.0,0.012,709.0,,0.0,0.02,,,
1948,SAINT LUKES NORTHLAND HOSPITAL (260062),2016,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,1.452,15.0,10.332,19137.0,0.0,2218.0,0.0,1.529,,0.0,0.876,21191.0,,1.0,0.026,2.0,1.226,1.631
1949,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN (260064),2016,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,0.784,2.0,2.551,5598.0,,125.0,0.0,0.086,,0.0,0.21,5754.0,,0.0,0.165,0.0,0.496,
1950,MERCY HOSPITAL SPRINGFIELD (260065),2016,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,1.217,170.0,139.675,157362.0,0.584,32110.0,16.0,27.416,0.475,4.0,8.419,171843.0,0.5,2.0,3.997,6.0,12.849,0.467
1951,BOONE HOSPITAL CENTER (260068),2016,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,1.428,68.0,47.605,61417.0,1.165,7222.0,7.0,6.009,0.766,3.0,3.918,68657.0,0.0,0.0,2.057,5.0,5.667,0.882
1952,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2016,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,0.0,0.0,3.37,10405.0,,459.0,0.0,0.32,,0.0,0.3,10405.0,,,,,,
