,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
1731,BRIDGTON HOSPITAL (201310),2022,Critical Access,Voluntary non-profit - Private,25.0,44.047249,-70.712777,ME,43.0,21.0,88.0,15.0,33.0,18.4,,,,,,,,,,,,,43.0,-10.1,36.0,14.0,52.0,-30.2,50.0,14.0,,,,,
1732,DOWN EAST COMMUNITY HOSPITAL (201311),2022,Critical Access,Voluntary non-profit - Private,25.0,44.713411,-67.477203,ME,,,148.0,14.6,35.0,19.7,25.0,4.3,,,,,27.0,4.1,,,,,,,,,54.0,9.2,50.0,14.0,7.6,,,,
1733,WALDO COUNTY GENERAL HOSPITAL (201312),2022,Critical Access,Voluntary non-profit - Private,28.0,44.412759,-68.995102,ME,65.0,21.5,225.0,14.2,32.0,20.0,,,,,,,39.0,4.8,,,,,65.0,17.0,58.0,18.0,101.0,-9.3,82.0,24.0,7.0,112.0,15.2,,
1734,SEBASTICOOK VALLEY HEALTH (201313),2022,Critical Access,Voluntary non-profit - Private,25.0,44.790826,-69.371269,ME,,,167.0,15.0,79.0,21.1,,,,,,,,,,,,,,,,,51.0,26.7,48.0,16.0,,,,,
1735,REDINGTON FAIRVIEW GENERAL HOSPITAL (201314),2022,Critical Access,Voluntary non-profit - Other,25.0,44.758336,-69.713495,ME,73.0,19.8,232.0,14.4,31.0,19.9,28.0,4.5,30.0,14.2,,,26.0,4.0,30.0,-35.6,28.0,4.0,73.0,-34.4,56.0,18.0,130.0,-14.3,112.0,36.0,7.0,,,,
1736,STEPHENS MEMORIAL HOSPITAL (201315),2022,Critical Access,Voluntary non-profit - Private,25.0,44.209539,-70.532978,ME,56.0,21.0,242.0,15.1,45.0,18.9,25.0,4.0,,,,,35.0,4.8,,,,,56.0,2.0,48.0,20.0,96.0,-1.8,89.0,15.0,6.8,,,,
1737,MERITUS MEDICAL CENTER (210001),2022,Acute Care,Voluntary non-profit - Private,258.0,39.623764,-77.683344,MD,540.0,18.7,3657.0,13.7,648.0,20.0,341.0,4.9,247.0,15.1,,,181.0,3.2,247.0,36.1,237.0,66.0,540.0,0.4,443.0,134.0,688.0,13.8,614.0,148.0,8.8,428.0,15.7,241.0,1.2
1738,UNIVERSITY OF MARYLAND MEDICAL CENTER (210002),2022,Acute Care,Voluntary non-profit - Private,764.0,39.28747,-76.623577,MD,291.0,21.3,3511.0,15.6,96.0,19.7,,,283.0,15.3,235.0,11.9,718.0,3.5,283.0,18.7,279.0,85.0,291.0,40.6,254.0,92.0,132.0,28.1,132.0,36.0,7.8,335.0,17.8,155.0,1.1
1739,UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER (210003),2022,Acute Care,Voluntary non-profit - Private,273.0,38.930923,-76.922638,MD,272.0,23.1,1502.0,15.5,115.0,20.9,,,124.0,13.9,25.0,10.7,,,124.0,0.1,120.0,31.0,272.0,28.7,222.0,97.0,162.0,-2.6,157.0,41.0,,78.0,17.0,33.0,1.2
1740,HOLY CROSS HOSPITAL (210004),2022,Acute Care,Voluntary non-profit - Church,443.0,39.016055,-77.034198,MD,341.0,21.1,2329.0,15.1,161.0,20.0,105.0,4.1,88.0,15.5,,,,,88.0,11.7,87.0,28.0,341.0,11.0,301.0,98.0,419.0,45.6,397.0,96.0,,38.0,16.0,142.0,1.5
1741,FREDERICK HEALTH HOSPITAL (210005),2022,Acute Care,Voluntary non-profit - Private,277.0,39.423745,-77.41407,MD,628.0,19.2,3913.0,13.2,442.0,17.9,224.0,4.5,202.0,13.5,,,96.0,3.4,202.0,2.1,197.0,45.0,628.0,15.9,516.0,160.0,608.0,11.7,559.0,157.0,7.8,229.0,16.8,193.0,1.2
1742,UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL (210006),2022,Acute Care,Voluntary non-profit - Private,87.0,39.54348,-76.091528,MD,181.0,21.3,944.0,15.2,185.0,18.2,,,,,,,,,,,,,181.0,2.1,156.0,57.0,211.0,10.3,198.0,51.0,,44.0,16.1,,
1743,MERCY MEDICAL CENTER INC (210008),2022,Acute Care,Voluntary non-profit - Church,254.0,39.29255,-76.61355,MD,203.0,21.2,1840.0,15.5,58.0,20.4,901.0,2.9,,,,,249.0,4.6,,,,,203.0,28.6,169.0,60.0,109.0,0.4,105.0,31.0,6.5,2023.0,18.2,674.0,0.9
1744,"JOHNS HOPKINS HOSPITAL, THE (210009)",2022,Acute Care,Voluntary non-profit - Private,984.0,39.297502,-76.590807,MD,576.0,17.6,5533.0,14.8,134.0,19.4,,,208.0,14.9,229.0,12.5,923.0,2.8,208.0,62.2,203.0,59.0,576.0,-17.8,493.0,142.0,284.0,0.3,267.0,76.0,8.9,861.0,16.4,704.0,1.0
1745,SAINT AGNES HOSPITAL (210011),2022,Acute Care,Voluntary non-profit - Church,290.0,39.272628,-76.670816,MD,560.0,21.8,2421.0,13.9,393.0,19.0,298.0,3.8,134.0,15.5,,,128.0,3.9,134.0,7.4,130.0,35.0,560.0,4.3,468.0,156.0,379.0,24.8,367.0,82.0,7.1,177.0,16.9,203.0,1.1
1746,SINAI HOSPITAL OF BALTIMORE (210012),2022,Acute Care,Voluntary non-profit - Other,440.0,39.354645,-76.66233,MD,527.0,19.8,3105.0,14.7,177.0,18.5,232.0,3.8,292.0,15.0,184.0,13.7,261.0,5.1,292.0,50.6,285.0,76.0,527.0,21.4,448.0,140.0,413.0,0.3,395.0,88.0,8.1,519.0,17.4,300.0,1.1
1747,"GRACE MEDICAL CENTER, INC (210013)",2022,Acute Care,Voluntary non-profit - Private,89.0,39.288027,-76.648633,MD,27.0,21.7,,,,,,,,,,,,,,,,,27.0,8.6,24.0,8.0,32.0,41.5,30.0,11.0,,,,,
1748,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER (210015),2022,Acute Care,Voluntary non-profit - Private,364.0,39.350335,-76.481012,MD,969.0,21.2,4035.0,14.4,627.0,18.3,107.0,3.9,165.0,16.4,,,381.0,4.0,165.0,21.4,164.0,51.0,969.0,10.5,773.0,259.0,714.0,18.8,669.0,184.0,9.6,670.0,15.7,228.0,1.2
1749,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER (210016),2022,Acute Care,Voluntary non-profit - Private,216.0,39.0506,-76.956948,MD,395.0,20.9,2592.0,15.2,120.0,21.2,59.0,4.2,210.0,15.2,163.0,11.2,,,210.0,32.6,208.0,57.0,395.0,23.7,340.0,117.0,260.0,58.1,252.0,67.0,,77.0,15.0,228.0,1.1
1750,GARRETT COUNTY MEMORIAL HOSPITAL (210017),2022,Acute Care,Voluntary non-profit - Private,36.0,39.413325,-79.40273,MD,94.0,21.5,446.0,13.9,65.0,19.5,110.0,3.8,,,,,41.0,4.6,,,,,94.0,-2.8,86.0,36.0,75.0,1.9,72.0,16.0,7.0,647.0,16.3,91.0,1.2
1751,MEDSTAR MONTGOMERY MEDICAL CENTER (210018),2022,Acute Care,Voluntary non-profit - Private,126.0,39.153858,-77.056819,MD,255.0,20.5,1698.0,14.6,121.0,18.1,174.0,3.3,43.0,14.9,,,58.0,3.7,43.0,8.4,42.0,11.0,255.0,13.1,234.0,74.0,438.0,5.4,402.0,99.0,7.9,347.0,13.6,109.0,1.0
1752,PENINSULA REGIONAL MEDICAL CENTER (210019),2022,Acute Care,Voluntary non-profit - Private,298.0,38.363068,-75.599489,MD,576.0,18.7,4649.0,13.7,453.0,17.9,341.0,3.1,411.0,14.3,238.0,10.2,217.0,5.2,411.0,0.3,398.0,126.0,576.0,-2.8,504.0,178.0,697.0,3.9,639.0,179.0,6.9,1169.0,16.6,426.0,1.0
1753,SUBURBAN HOSPITAL (210022),2022,Acute Care,Voluntary non-profit - Private,229.0,38.997251,-77.10922,MD,593.0,20.6,4242.0,14.5,151.0,19.6,461.0,3.5,253.0,14.9,86.0,13.6,,,253.0,2.5,247.0,67.0,593.0,4.0,522.0,145.0,574.0,22.2,526.0,113.0,,63.0,16.1,265.0,1.0
1754,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC (210023)",2022,Acute Care,Voluntary non-profit - Private,376.0,38.991115,-76.536058,MD,1314.0,21.3,6766.0,15.3,587.0,20.8,795.0,3.7,337.0,16.3,,,304.0,4.1,337.0,10.7,326.0,95.0,1314.0,-0.3,1068.0,356.0,981.0,13.0,918.0,229.0,7.2,531.0,14.9,563.0,1.0
1755,MEDSTAR UNION MEMORIAL HOSPITAL (210024),2022,Acute Care,Voluntary non-profit - Other,208.0,39.330382,-76.61438,MD,620.0,18.8,2963.0,13.7,189.0,18.4,587.0,3.8,382.0,15.4,206.0,13.1,,,382.0,27.9,378.0,114.0,620.0,-24.2,532.0,167.0,195.0,-33.0,191.0,43.0,,87.0,16.2,330.0,1.7
1756,WESTERN MARYLAND REGIONAL MEDICAL CENTER (210027),2022,Acute Care,Voluntary non-profit - Private,226.0,39.650091,-78.732777,MD,522.0,20.1,2800.0,13.1,365.0,19.6,382.0,4.3,249.0,13.6,81.0,11.4,367.0,5.1,249.0,-3.4,240.0,58.0,522.0,9.5,443.0,148.0,512.0,13.5,459.0,127.0,8.3,620.0,18.8,274.0,1.0
1757,MEDSTAR SAINT MARY'S HOSPITAL (210028),2022,Acute Care,Voluntary non-profit - Private,95.0,38.299239,-76.640383,MD,377.0,20.2,1854.0,15.8,208.0,20.5,291.0,3.7,35.0,14.5,,,78.0,3.8,35.0,-5.0,34.0,16.0,377.0,13.4,290.0,108.0,320.0,0.5,298.0,77.0,6.7,,,143.0,1.1
1758,JOHNS HOPKINS BAYVIEW MEDICAL CENTER (210029),2022,Acute Care,Voluntary non-profit - Private,441.0,39.287285,-76.552134,MD,564.0,20.1,3398.0,15.6,295.0,20.8,201.0,4.2,143.0,15.5,,,140.0,3.3,143.0,47.0,140.0,37.0,564.0,-1.1,472.0,152.0,304.0,-0.9,282.0,73.0,8.2,551.0,20.7,229.0,0.8
1759,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN (210030),2022,Acute Care,Voluntary non-profit - Private,29.0,39.216845,-76.064492,MD,37.0,20.1,209.0,14.2,45.0,18.4,,,,,,,54.0,4.0,,,,,37.0,-38.7,36.0,14.0,75.0,-25.6,73.0,13.0,7.9,530.0,18.6,,
1760,UNION HOSPITAL OF CECIL COUNTY (210032),2022,Acute Care,Voluntary non-profit - Private,120.0,39.60801,-75.831028,MD,168.0,19.0,1107.0,15.1,251.0,20.4,94.0,3.8,28.0,15.0,,,72.0,4.4,28.0,-8.1,27.0,12.0,168.0,-22.2,149.0,62.0,224.0,10.9,203.0,50.0,8.1,568.0,15.2,83.0,1.1
1761,CARROLL HOSPITAL CENTER (210033),2022,Acute Care,Voluntary non-profit - Private,161.0,39.556135,-76.991655,MD,614.0,17.6,2827.0,13.5,369.0,20.1,294.0,4.7,130.0,14.3,,,,,130.0,13.1,129.0,32.0,614.0,-9.7,510.0,146.0,801.0,21.6,739.0,187.0,,193.0,18.7,234.0,1.1
1762,MEDSTAR HARBOR HOSPITAL (210034),2022,Acute Care,Voluntary non-profit - Private,144.0,39.251349,-76.615048,MD,227.0,19.9,911.0,14.3,242.0,19.3,,,,,,,,,,,,,227.0,14.5,195.0,70.0,208.0,13.0,193.0,44.0,,138.0,15.0,,
1763,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER (210035),2022,Acute Care,Voluntary non-profit - Private,106.0,38.529266,-76.970818,MD,283.0,21.6,1741.0,14.7,232.0,18.9,163.0,4.3,,,,,,,,,,,283.0,35.3,239.0,88.0,332.0,19.4,310.0,83.0,,248.0,18.4,163.0,1.3
1764,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON (210037),2022,Acute Care,Voluntary non-profit - Private,169.0,38.769655,-76.075825,MD,316.0,18.6,1790.0,12.7,205.0,16.6,198.0,3.8,156.0,14.2,,,245.0,5.7,156.0,25.9,156.0,44.0,316.0,-21.4,284.0,86.0,393.0,-15.1,359.0,89.0,7.3,421.0,17.0,316.0,0.9
1765,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS (210038),2022,Acute Care,Voluntary non-profit - Other,177.0,39.300389,-76.62086,MD,65.0,22.7,574.0,14.7,50.0,20.8,,,,,,,,,,,,,65.0,28.2,56.0,28.0,60.0,70.2,58.0,25.0,,308.0,17.6,96.0,1.0
1766,CALVERTHEALTH MEDICAL CENTER (210039),2022,Acute Care,Voluntary non-profit - Other,92.0,38.558601,-76.597788,MD,397.0,21.8,1644.0,15.5,155.0,19.5,95.0,4.5,,,,,61.0,3.8,,,,,397.0,9.6,321.0,121.0,380.0,25.5,350.0,112.0,8.7,395.0,16.3,195.0,1.1
1767,NORTHWEST HOSPITAL CENTER (210040),2022,Acute Care,Voluntary non-profit - Private,242.0,39.359208,-76.782944,MD,494.0,21.2,1715.0,14.5,211.0,20.1,244.0,3.2,64.0,14.8,,,37.0,4.2,64.0,13.3,62.0,17.0,494.0,19.8,433.0,146.0,443.0,25.3,425.0,105.0,7.5,418.0,16.3,106.0,0.9
1768,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER (210043),2022,Acute Care,Voluntary non-profit - Other,298.0,39.138784,-76.622247,MD,711.0,19.7,3639.0,13.8,467.0,17.1,89.0,4.0,161.0,14.4,,,,,161.0,-3.1,159.0,43.0,711.0,0.4,609.0,179.0,634.0,-1.8,606.0,160.0,,406.0,16.9,261.0,1.0
1769,GREATER BALTIMORE MEDICAL CENTER (210044),2022,Acute Care,Voluntary non-profit - Private,329.0,39.393497,-76.628092,MD,513.0,19.4,2937.0,14.1,199.0,19.9,222.0,4.1,,,,,212.0,3.2,,,,,513.0,-18.4,452.0,119.0,502.0,16.0,474.0,90.0,8.5,1691.0,13.5,393.0,1.0
1770,HOWARD COUNTY GENERAL HOSPITAL (210048),2022,Acute Care,Voluntary non-profit - Private,247.0,39.214405,-76.887198,MD,689.0,22.3,3718.0,14.9,240.0,18.7,86.0,4.5,132.0,14.2,,,,,132.0,-2.6,131.0,28.0,689.0,13.7,577.0,178.0,656.0,2.3,607.0,143.0,,92.0,15.9,230.0,1.1
1771,UMD UPPER CHESAPEAKE MEDICAL CENTER (210049),2022,Acute Care,Voluntary non-profit - Other,171.0,39.519469,-76.348354,MD,635.0,20.3,3706.0,14.9,340.0,18.5,119.0,4.3,292.0,14.0,,,,,292.0,-5.9,285.0,76.0,635.0,2.6,554.0,176.0,542.0,2.4,506.0,119.0,,381.0,21.9,294.0,1.0
1772,"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC (210051)",2022,Acute Care,Proprietary,198.0,38.980428,-76.864641,MD,570.0,18.8,2607.0,13.2,204.0,17.7,184.0,5.1,29.0,14.6,,,,,29.0,30.8,29.0,15.0,570.0,6.5,489.0,166.0,385.0,32.0,361.0,95.0,,257.0,19.7,194.0,1.0
1773,MEDSTAR GOOD SAMARITAN HOSPITAL (210056),2022,Acute Care,Voluntary non-profit - Other,260.0,39.359301,-76.588684,MD,454.0,19.5,1855.0,14.4,245.0,19.8,,,37.0,14.7,,,,,37.0,33.3,37.0,10.0,454.0,-13.3,378.0,137.0,265.0,7.9,250.0,70.0,,993.0,19.2,75.0,1.3
1774,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER (210057),2022,Acute Care,Voluntary non-profit - Church,346.0,39.098046,-77.201027,MD,392.0,16.7,3004.0,13.8,154.0,18.7,464.0,4.6,168.0,14.1,,,,,168.0,-0.5,165.0,43.0,392.0,-17.1,334.0,82.0,620.0,38.9,577.0,143.0,,367.0,16.8,289.0,1.1
1775,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR (210060),2022,Acute Care,Voluntary non-profit - Other,30.0,38.728813,-76.991588,MD,117.0,22.4,486.0,15.4,81.0,19.3,40.0,4.2,,,,,,,,,,,117.0,27.1,107.0,35.0,153.0,58.4,149.0,58.0,,278.0,14.7,30.0,1.0
1776,ATLANTIC GENERAL HOSPITAL (210061),2022,Acute Care,Voluntary non-profit - Private,51.0,38.338604,-75.210472,MD,230.0,21.4,1044.0,14.9,212.0,19.2,58.0,4.1,,,,,,,,,,,230.0,-4.4,201.0,85.0,250.0,-8.1,234.0,64.0,,1302.0,18.0,207.0,1.0
1777,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER (210062),2022,Acute Care,Voluntary non-profit - Private,206.0,38.75025,-76.874997,MD,509.0,23.0,2190.0,14.9,187.0,18.8,137.0,3.7,206.0,14.6,,,,,206.0,7.8,205.0,50.0,509.0,23.3,436.0,159.0,348.0,19.7,332.0,84.0,,339.0,15.7,159.0,1.0
1778,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER (210063),2022,Acute Care,Voluntary non-profit - Private,250.0,39.388123,-76.613278,MD,573.0,19.1,4236.0,14.1,204.0,18.8,730.0,3.7,393.0,15.6,333.0,11.0,,,393.0,16.0,383.0,88.0,573.0,-11.7,504.0,142.0,419.0,13.7,399.0,97.0,,980.0,15.7,283.0,1.1
1779,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL (210064),2022,Acute Care,Voluntary non-profit - Private,330.0,39.353266,-76.665024,MD,,,446.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,HOLY CROSS GERMANTOWN HOSPITAL (210065),2022,Acute Care,Voluntary non-profit - Private,83.0,39.179034,-77.242442,MD,139.0,22.2,753.0,15.4,54.0,20.0,66.0,3.9,,,,,,,,,,,139.0,13.6,124.0,43.0,146.0,3.4,139.0,41.0,,30.0,16.0,32.0,0.9
1781,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE (21020F),2022,Acute Care (VA),Government - Federal,,,,,493.0,22.9,1962.0,15.5,200.0,19.8,57.0,5.1,55.0,16.6,,,,,55.0,36.3,52.0,21.0,493.0,18.2,343.0,125.0,173.0,17.4,162.0,46.0,,,,,
1782,"HEALTHALLIANCE HOSPITALS, INC (220001)",2022,Acute Care,Voluntary non-profit - Other,125.0,42.541193,-71.763033,MA,278.0,23.6,1301.0,15.7,163.0,20.2,54.0,4.7,36.0,14.6,,,106.0,4.4,36.0,-19.4,34.0,9.0,278.0,35.2,232.0,89.0,313.0,15.7,288.0,85.0,7.1,283.0,17.6,117.0,1.0
1783,MOUNT AUBURN HOSPITAL (220002),2022,Acute Care,Voluntary non-profit - Private,202.0,42.374917,-71.134107,MA,489.0,22.2,2536.0,15.7,160.0,19.8,192.0,3.8,164.0,15.9,59.0,12.2,99.0,3.4,164.0,49.5,158.0,44.0,489.0,38.4,379.0,118.0,442.0,20.1,406.0,90.0,7.7,2115.0,14.9,256.0,1.0
1784,STURDY MEMORIAL HOSPITAL (220008),2022,Acute Care,Voluntary non-profit - Other,129.0,41.942695,-71.275279,MA,345.0,21.2,2082.0,16.2,271.0,21.4,269.0,4.7,,,,,98.0,4.1,,,,,345.0,10.1,285.0,92.0,593.0,11.6,506.0,159.0,8.4,1356.0,14.5,183.0,1.0
1785,LAWRENCE GENERAL HOSPITAL (220010),2022,Acute Care,Voluntary non-profit - Private,188.0,,,MA,466.0,21.7,1813.0,14.9,196.0,21.4,71.0,4.1,128.0,16.3,,,,,128.0,14.3,127.0,44.0,466.0,15.3,374.0,116.0,339.0,35.2,305.0,82.0,,478.0,16.7,149.0,1.0
1786,CAMBRIDGE HEALTH ALLIANCE (220011),2022,Acute Care,Government - Local,257.0,42.374186,-71.104455,MA,233.0,19.1,784.0,15.0,136.0,20.4,,,,,,,,,,,,,233.0,-11.3,187.0,59.0,147.0,15.2,138.0,39.0,,571.0,15.4,54.0,1.1
1787,CAPE COD HEALTHCARE (220012),2022,Acute Care,Voluntary non-profit - Private,259.0,41.652823,-70.274847,MA,857.0,22.3,6079.0,15.5,252.0,21.5,566.0,4.9,579.0,14.8,81.0,10.2,353.0,5.3,579.0,-4.5,555.0,142.0,857.0,16.0,718.0,242.0,1343.0,5.1,1173.0,311.0,7.6,678.0,15.3,650.0,0.9
1788,"COOLEY DICKINSON HOSPITAL INC,THE (220015)",2022,Acute Care,Voluntary non-profit - Private,140.0,42.331626,-72.653372,MA,310.0,21.9,1515.0,15.8,135.0,18.7,308.0,3.6,,,,,162.0,3.6,,,,,310.0,5.2,266.0,88.0,291.0,14.4,273.0,73.0,8.4,1948.0,13.9,201.0,0.9
1789,BAYSTATE FRANKLIN MEDICAL CENTER (220016),2022,Acute Care,Voluntary non-profit - Private,89.0,42.595606,-72.591287,MA,272.0,21.7,972.0,15.1,92.0,22.2,38.0,4.0,,,,,65.0,4.2,,,,,272.0,-2.7,207.0,68.0,223.0,2.6,201.0,49.0,8.2,866.0,14.6,64.0,1.1
1790,CARNEY HOSPITAL (220017),2022,Acute Care,Proprietary,134.0,42.278108,-71.066442,MA,121.0,23.7,426.0,16.3,69.0,20.9,,,,,,,,,,,,,121.0,6.6,100.0,37.0,130.0,-7.2,120.0,35.0,,359.0,16.3,34.0,1.4
1791,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL (220019),2022,Acute Care,Voluntary non-profit - Private,125.0,42.077182,-72.042065,MA,203.0,23.8,706.0,16.7,156.0,22.5,64.0,4.6,,,,,52.0,4.4,,,,,203.0,46.4,170.0,67.0,208.0,27.2,193.0,62.0,8.0,715.0,17.6,101.0,1.0
1792,SAINT ANNE'S HOSPITAL (220020),2022,Acute Care,Proprietary,182.0,41.693321,-71.163642,MA,333.0,20.1,2310.0,17.1,199.0,22.3,483.0,5.2,43.0,14.7,,,179.0,3.9,43.0,-3.5,42.0,13.0,333.0,-3.4,269.0,82.0,499.0,47.6,447.0,131.0,8.2,4639.0,14.7,568.0,1.1
1793,HOLYOKE MEDICAL CENTER (220024),2022,Acute Care,Voluntary non-profit - Private,191.0,42.199616,-72.627087,MA,222.0,20.5,915.0,16.4,151.0,21.1,31.0,4.7,27.0,15.7,,,48.0,3.9,27.0,-3.8,27.0,12.0,222.0,2.1,193.0,54.0,239.0,25.8,216.0,57.0,7.8,732.0,14.6,100.0,1.1
1794,ANNA JAQUES HOSPITAL (220029),2022,Acute Care,Voluntary non-profit - Private,138.0,42.814358,-70.889783,MA,242.0,24.3,1379.0,14.8,215.0,20.7,330.0,4.9,,,,,55.0,4.3,,,,,242.0,50.5,198.0,75.0,302.0,-8.3,266.0,74.0,8.7,1151.0,15.9,162.0,1.2
1795,BAYSTATE WING HOSPITAL (220030),2022,Acute Care,Voluntary non-profit - Other,72.0,42.168727,-72.341031,MA,295.0,18.9,934.0,14.2,109.0,19.5,40.0,4.6,,,,,,,,,,,295.0,-28.9,251.0,76.0,193.0,-11.3,170.0,55.0,,481.0,14.6,71.0,1.0
1796,BOSTON MEDICAL CENTER (220031),2022,Acute Care,Voluntary non-profit - Private,438.0,42.33481,-71.07448,MA,484.0,23.1,1998.0,15.7,107.0,20.4,99.0,3.8,97.0,15.8,,,197.0,3.8,97.0,70.1,93.0,29.0,484.0,53.4,366.0,140.0,174.0,45.7,160.0,58.0,6.9,1154.0,17.7,187.0,1.1
1797,NORTHEAST HOSPITAL CORPORATION (220033),2022,Acute Care,Voluntary non-profit - Private,360.0,42.567592,-70.876201,MA,745.0,23.5,4124.0,15.3,289.0,20.3,591.0,4.9,231.0,14.5,,,87.0,3.7,231.0,6.6,220.0,50.0,745.0,18.2,614.0,204.0,817.0,-3.4,728.0,177.0,9.0,2419.0,16.3,310.0,1.0
1798,NORTH SHORE MEDICAL CENTER - (220035),2022,Acute Care,Voluntary non-profit - Private,376.0,42.511747,-70.907251,MA,1058.0,22.0,4228.0,15.3,310.0,21.5,301.0,4.9,115.0,14.7,,,,,115.0,-19.0,114.0,28.0,1058.0,13.0,824.0,271.0,769.0,26.4,682.0,190.0,,3177.0,11.5,277.0,0.9
1799,ST ELIZABETH'S MEDICAL CENTER (220036),2022,Acute Care,Proprietary,270.0,42.349773,-71.14812,MA,302.0,22.3,2410.0,17.1,47.0,20.1,127.0,4.1,312.0,17.1,254.0,13.2,,,312.0,21.7,306.0,103.0,302.0,14.7,254.0,101.0,154.0,21.4,139.0,39.0,,678.0,15.6,106.0,1.3
1800,BERKSHIRE MEDICAL CENTER (220046),2022,Acute Care,Voluntary non-profit - Other,271.0,42.458748,-73.249004,MA,945.0,21.6,3298.0,15.5,231.0,18.6,282.0,3.9,48.0,15.5,,,346.0,4.8,48.0,-14.9,47.0,18.0,945.0,4.3,733.0,264.0,729.0,-11.5,632.0,156.0,8.9,2889.0,12.8,356.0,1.2
1801,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL (220049),2022,Acute Care,Voluntary non-profit - Private,67.0,42.354317,-71.553864,MA,188.0,21.1,775.0,16.5,91.0,21.8,59.0,4.0,,,,,,,,,,,188.0,-5.7,153.0,50.0,212.0,-9.1,196.0,60.0,,507.0,14.3,80.0,1.0
1802,SIGNATURE HEALTHCARE BROCKTON HOSPITAL (220052),2022,Acute Care,Voluntary non-profit - Other,214.0,42.08621,-70.991083,MA,258.0,23.2,1605.0,15.1,262.0,20.8,200.0,4.9,74.0,14.8,,,108.0,3.5,74.0,52.7,72.0,19.0,258.0,49.4,225.0,73.0,205.0,51.1,193.0,61.0,9.2,726.0,18.1,118.0,0.8
1803,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH (220060),2022,Acute Care,Voluntary non-profit - Private,160.0,41.944246,-70.64472,MA,557.0,21.9,3878.0,16.0,296.0,21.4,637.0,5.2,183.0,13.8,,,194.0,3.7,183.0,-7.4,180.0,35.0,557.0,21.0,454.0,152.0,734.0,33.5,648.0,211.0,7.9,2974.0,12.3,464.0,0.9
1804,ADCARE HOSPITAL OF WORCESTER INC (220062),2022,Acute Care,Proprietary,114.0,42.276182,-71.795576,MA,,,329.0,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
